method,celltype,n_total,n_evaluable,n_nonzero,fraction_nonzero,mean_proportion,median_proportion,max_proportion,usage_status
DWLS,Endothelial,190,190,190,1,0.10879989190611992,0.101664870775796,0.28598101606534,used
DWLS,Astrocytes2,190,190,190,1,0.09651749563019624,0.09745533877253296,0.241505754863131,used
DWLS,Microglia2,190,190,190,1,0.06707550701647712,0.06049414307146625,0.180079497342878,used
DWLS,SMC,190,190,190,1,0.05468860962891395,0.05574049456174425,0.141026009039526,used
DWLS,Oligodendrocytes2,190,190,190,1,0.04004164759622302,0.03821185315626695,0.123340520384459,used
DWLS,Microglia3,190,190,190,1,0.03999689325185024,0.04410157841120385,0.0784275351854007,used
DWLS,Microglia5,190,190,190,1,0.03925395997486001,0.04003259819199545,0.0905616420518447,used
DWLS,VLMC1,190,190,190,1,0.024371051408245043,0.020214485513934448,0.106184139447145,used
DWLS,Fibroblast,190,190,190,1,0.023397973072423105,0.0266842959091654,0.0460904296616068,used
DWLS,Pericytes,190,190,189,0.9947368421052631,0.011548730356991043,0.01009508726721255,0.0406068516695995,used
DWLS,OPC3,190,190,188,0.9894736842105263,0.010272092636780071,0.00990601781750626,0.0304813518350598,used
DWLS,Astrocytes5,190,190,187,0.9842105263157894,0.015507937546558732,0.01570292397125745,0.0659880973548224,used
DWLS,ExNeuron1,190,190,184,0.968421052631579,0.16899805746019528,0.1502866745909705,0.631221740919147,used
DWLS,ExNeuron13,190,190,184,0.968421052631579,0.08630885846372667,0.0938919797851515,0.34463617078487,used
DWLS,InhNeuron2,190,190,172,0.9052631578947369,0.036308699836124426,0.02522577523016915,0.121612513357028,used
DWLS,ExNeuron12,190,190,170,0.8947368421052632,0.07658809982769184,0.08106961514801235,0.204938476976021,used
DWLS,ExNeuron6,190,190,159,0.8368421052631579,0.04769271396027734,5.077018724133115e-6,0.260071791030629,used
DWLS,Microglia1,190,190,145,0.7631578947368421,0.0056135892715743815,4.696654926173185e-7,0.0390552845224644,used
DWLS,InhNeuron5,190,190,135,0.7105263157894737,0.021470209362420428,9.703929418815395e-19,0.133220795409103,used
DWLS,InhNeuron4,190,190,125,0.6578947368421053,0.003476256766878184,3.61678912290232e-19,0.0511545299537363,used
DWLS,ExNeuron9,190,190,123,0.6473684210526316,5.099572687023207e-4,1.0599053612856e-18,0.0109879343006928,used
DWLS,VLMC2,190,190,121,0.6368421052631579,1.5192844460696007e-4,3.11786205515075e-18,0.00711752229824582,used
DWLS,ExNeuron14,190,190,120,0.631578947368421,0.004312442053785206,1.441160795655955e-18,0.0574175577739596,used
DWLS,InhNeuron3,190,190,116,0.6105263157894737,0.0018768510528640505,7.85287506142058e-20,0.0505556908819707,used
DWLS,ExNeuron7,190,190,111,0.5842105263157895,0.0034685429040249697,3.66546882642943e-18,0.0747760120161884,used
DWLS,Oligodendrocytes4,190,190,111,0.5842105263157895,8.339428745675702e-8,1.980619932591905e-18,2.32768150001904e-6,used
DWLS,Oligodendrocytes1,190,190,109,0.5736842105263158,1.4318154968189307e-7,1.159641509077675e-17,5.42767248705503e-6,used
DWLS,ExNeuron8,190,190,108,0.5684210526315789,2.4730184111880894e-17,7.816851405795044e-18,1.92829929107439e-16,used
DWLS,Microglia4,190,190,105,0.5526315789473685,5.811278572312057e-8,3.948769140986255e-18,1.67664180725607e-6,used
DWLS,Oligodendrocytes5,190,190,105,0.5526315789473685,1.0521251916266667e-17,2.69778000881822e-18,1.5590813201599799e-16,used
DWLS,Oligodendrocytes8,190,190,104,0.5473684210526316,1.9257774707233164e-5,8.544497816064999e-19,0.00365728482413692,used
DWLS,Oligodendrocytes6,190,190,102,0.5368421052631579,2.2150262496206304e-18,1.993601086733e-19,2.17366859500879e-17,used
DWLS,Oligodendrocytes7,190,190,101,0.531578947368421,5.114617064056954e-8,2.66632491378203e-18,2.26257287222608e-6,used
DWLS,Astrocytes4,190,190,100,0.5263157894736842,2.8627958139121302e-5,2.864757974945245e-19,0.0030998303534063,used
DWLS,ExNeuron10,190,190,99,0.5210526315789473,3.0482730791035665e-17,4.434528900381895e-18,2.61856399112326e-16,used
DWLS,InhNeuron1,190,190,98,0.5157894736842106,2.4017562536695708e-4,6.124907869416275e-22,0.0144326230719668,used
DWLS,OPC2,190,190,98,0.5157894736842106,1.2544371084189778e-4,2.415013565468e-19,0.0119614246877138,used
DWLS,Oligodendrocytes3,190,190,98,0.5157894736842106,8.614069655112772e-10,1.59546134774706e-18,1.31258082491016e-7,used
DWLS,Astrocytes3,190,190,97,0.5105263157894737,1.770774945325163e-4,1.116006626587045e-18,0.0120626613678466,used
DWLS,ExNeuron2,190,190,96,0.5052631578947369,2.6322225155224328e-17,3.81097599870147e-18,2.66413774297439e-16,used
DWLS,OPC1,190,190,95,0.5,1.4811082308488725e-17,2.545361085802e-20,1.0567974596053001e-16,used
DWLS,Astrocytes1,190,190,95,0.5,9.766752480330005e-18,1.6865380799340747e-19,1.05052854535499e-16,used
DWLS,ExNeuron5,190,190,93,0.48947368421052634,0.011161084041701077,0,0.204991173998153,used
DWLS,ExNeuron3,190,190,91,0.4789473684210526,2.3464044103630067e-17,0,1.79377942787113e-16,used
DWLS,ExNeuron11,190,190,89,0.46842105263157896,2.2066248991548397e-17,0,1.7425647345787498e-16,used
DWLS,ExNeuron4,190,190,88,0.4631578947368421,2.2497357044469824e-17,0,2.66370131367043e-16,used
