"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Translation Initiation Complex Formation R-HSA-72649",3.29378294922272e-29,3.32672077871495e-26,1.40258870935552,-0.74563434155268,-5.60482253327192,57,"RPS12;RPS6;RPS16;RPS3;EIF3A;FAU;RPS17;EIF4H;RPS20;RPS19;RPS9;PABPC1;RPS29;EIF4B;RPS14;EIF1AX;RPS27A;RPS7;RPS13;EIF4A1;RPS15;EIF3K;RPS25;EIF3C;RPS23;EIF3G;RPS2;RPS27;RPS8;EIF3J;EIF4G1;RPS3A;RPS28;RPS5;EIF3F;RPS11;RPS4X;RPS10"
"Ribosomal Scanning And Start Codon Recognition R-HSA-72702",8.43932779096363e-29,4.26186053443663e-26,1.39518713415833,-0.740316002048405,-5.5648453656014,57,"RPS12;RPS6;RPS16;RPS3;EIF3A;FAU;RPS17;EIF4H;RPS20;RPS19;RPS9;RPS29;EIF4B;RPS14;EIF1AX;RPS27A;RPS7;RPS13;EIF4A1;RPS15;EIF3K;RPS25;EIF3C;RPS23;EIF3G;RPS2;RPS27;RPS8;EIF3J;EIF4G1;RPS3A;RPS28;RPS5;EIF3F;RPS11;RPS4X;RPS10"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",2.22409404052525e-27,7.48778326976836e-25,1.3575740855908,-0.726946178596812,-5.35727186318332,58,"RPS12;RPS6;RPS16;RPS3;EIF3A;FAU;RPS17;EIF4H;RPS20;RPS19;RPS9;PABPC1;RPS29;EIF4B;RPS14;EIF1AX;RPS27A;RPS7;RPS13;EIF4A1;RPS15;EIF3K;RPS25;EIF3C;RPS23;EIF3G;RPS2;RPS27;RPS8;EIF3J;EIF4G1;RPS3A;RPS28;RPS5;EIF3F;RPS11;RPS4X;RPS10"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",7.69745964596094e-24,1.94360856060514e-21,1.26273988547916,-0.727673974819736,-5.18549910864246,50,"RPS12;RPS6;RPS16;RPS3;EIF3A;FAU;RPS17;RPS20;RPS19;RPS9;RPS29;RPS14;EIF1AX;RPS27A;RPS7;RPS13;RPS15;EIF3K;RPS25;EIF3C;RPS23;EIF3G;RPS2;RPS27;RPS8;EIF3J;RPS3A;RPS28;RPS5;EIF3F;RPS11;RPS4X;RPS10"
"SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678",2.96139925866755e-17,5.98202650250846e-15,1.06720998682811,-0.625614990195991,-4.05336157192002,47,"SNRPD3;RPS12;RPS6;RPS16;RPS3;FAU;RPS17;RPS20;RPS19;RPS9;RPS29;RPS14;RPS27A;RPS7;RPS13;RPS15;RPS25;RPS23;RPS2;RPS27;RPS8;RPS3A;RPS28;RPS5;SMN1;SNRPG;RPS11;RPS4X;RPS10"
"Complex I Biogenesis R-HSA-6799198",2.22301294441672e-10,3.74207178976815e-08,0.826657301178302,-0.461657556473135,-3.30976771471625,51,"TMEM126B;NDUFV2;NDUFA1;ACAD9;NDUFB6;NDUFB8;NDUFV1;NDUFA13;NDUFB2;NDUFA10;NDUFS5;NDUFAB1;NDUFS2;NDUFS4;NDUFS6;NDUFA3;NDUFA2;NDUFAF3;NDUFB4;NDUFA12;NDUFB7;NDUFB10"
"Formation Of ATP By Chemiosmotic Coupling R-HSA-163210",1.56398910404702e-09,2.25661285012499e-07,0.788186810800237,-0.796385233908376,-3.51984522200678,16,"ATP5MC2;ATP5F1A;ATP5MC1;ATP5F1B;ATP5MC3;ATP5ME;ATP5F1D;ATP5PO;ATP5PF;ATP5F1C;ATP5MG;ATP5PB"
"Cristae Formation R-HSA-8949613",2.4175876160531e-08,3.05220436526704e-06,0.73376198835648,-0.536862428992,-3.06110141281978,29,"ATP5MC2;ATP5F1A;ATP5MC1;ATP5F1B;ATP5MC3;ATP5ME;ATP5F1D;ATP5PO;ATP5PF;ATP5F1C;ATP5MG;ATP5PB;HSPA9"
"Olfactory Signaling Pathway R-HSA-381753",3.52189281905279e-08,3.95234638582591e-06,0.719512826338911,0.333942643281928,1.58332564455689,381,"OR9A2;OR6C6;GNG13;OR2D3;OR6C75;OR1L1;OR6B3;OR3A1;OR5K4;OR10Z1;OR2A5;OR8H2;OR4C45;OR5B12;OR2L5;OR4C11;OR51F1;OR2D2;OR4D5;OR4D10;OR5B2;OR8J1;OR4K15;OR8I2;OR5J2;OR5D14;OR10Q1;OR52H1;OR4A15;OR13D1;OR13F1;OR52I1;OR10J4;OR7G2;OR8H3;OR51M1;OR9G9;OR4E2;OR5A2;OR2A7;OR1J1;OR5B17;OR6J1;GNAL;OR5H2;OR52L1;OR2T10;OR52E8;OR13J1;OR6C76;OR14K1;OR6X1;OR5B21;OR2W1;OR10G2;OR10V1;OR2T6;OR2AG2;OR8J3;OR52K1;OR51I2;OR10H1;OR2AK2;OR2T5;OR52N2;OR7A5;OR5K2;OR1G1;OR7G1;OR2T1;OR2M2;OR6C3;OR2B2;OR4K1;OR4D11;OR1I1;OR7G3;OR13C5;OR4C6;OR9A4;OR2W3;RTP1;OR11H1;OR5H15;OR10H2;OR52E5;OR5AC2;OR2B6;OR6P1;OR52R1;OR6C68;OR2F2;OR11A1;OR5AS1;OR3A2;OR5P3;OR5M10;OR5M9;OR5M3;OR6Q1;OR52N5;OR4D1;OR2L2;OR51G2;OR6K3;OR8D1;OR56A1;OR4C5;OR10A5;OR8D2;OR4K13;OR5T3;OR6C2;OR10W1;OR2V2;OR5AL1;OR2G6;OR1D2;OR52B6;OR12D3;OR6N1;OR13C4;OR6C65;OR4D2;OR8U1;OR4F6;OR2H1;OR5C1;OR2L13;OR8S1;OR10G6;OR4C3;OR2AE1;OR13A1;OR56A3;OR1J2;OR2J2;OR52I2;OR10G8;OR4C15;OR51E1;OR5K1;OR2T34;OR51F2;CNGA2;OR6B2;OR52A5;OR8B4;OR2T27;OR2C3;OR2L8;OR52E1;OR51A2;OR51V1;OR52E6;OR2J1;OR10X1;OR52N1;OR5M1;OR4P4;OR52D1;OR4N4;OR2K2;OR1N1;OR51D1;OR10AG1;OR5D18;OR6N2;OR8K1;OR1B1;OR6M1;OR8U3;OR9I1;OR5H14;OR5AN1;OR5T1;OR10J1;OR4K2;OR52A1;OR2AG1;OR52B2;OR51L1;OR10G7;OR8K5;OR6C70;OR1A2;OR5H1;OR51B5;OR4Q2;OR52E2;OR4F17;OR5T2;OR4K14;OR6C1;OR2T3;OR52W1;OR2C1;OR6K2;OR14C36;OR1Q1;OR11L1;OR5M8;OR51A7;OR1J4;OR2AJ1;OR1S2;OR8U9;OR9Q2;OR5AU1;OR1L8;OR52K2;OR51B4;OR2AP1;OR5L2;OR10H4;CNGA4;OR2S2;OR1M1;OR14J1;OR10K2;OR8K3;OR8A1;OR6V1;OR51I1;OR6K6"
"Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957",4.8008508869576e-08,4.84885939582717e-06,0.719512826338911,-0.570218751569173,-2.99938948372663,26,"TUBB4B;TUBA1C;TUBB4A;PFDN2;TUBB2B;VBP1;TUBA3D;PFDN5;PFDN1;CCT3;CCT7"
"Expression And Translocation Of Olfactory Receptors R-HSA-9752946",7.91749581104517e-08,7.26970069923238e-06,0.704975715167238,0.332965547234232,1.57703483329661,373,"OR9A2;OR6C6;OR2D3;OR6C75;OR1L1;OR6B3;OR3A1;OR5K4;OR10Z1;OR2A5;OR8H2;OR4C45;OR5B12;OR2L5;OR4C11;OR51F1;OR2D2;OR4D5;OR4D10;OR5B2;OR8J1;OR4K15;OR8I2;OR5J2;OR5D14;OR10Q1;OR52H1;OR4A15;OR13D1;OR13F1;OR52I1;OR10J4;OR7G2;OR8H3;OR51M1;OR9G9;OR4E2;OR5A2;OR2A7;OR1J1;OR5B17;OR6J1;OR5H2;OR52L1;OR2T10;OR52E8;OR13J1;OR6C76;OR14K1;OR6X1;OR5B21;OR2W1;OR10G2;OR10V1;OR2T6;OR2AG2;OR8J3;OR52K1;OR51I2;OR10H1;OR2AK2;OR2T5;OR52N2;OR7A5;OR5K2;OR1G1;OR7G1;OR2T1;OR2M2;OR6C3;OR2B2;OR4K1;OR4D11;OR1I1;OR7G3;OR13C5;OR4C6;OR9A4;OR2W3;RTP1;OR11H1;OR5H15;OR10H2;OR52E5;OR5AC2;OR2B6;OR6P1;OR52R1;OR6C68;OR2F2;OR11A1;OR5AS1;OR3A2;OR5P3;OR5M10;OR5M9;OR5M3;OR6Q1;OR52N5;OR4D1;OR2L2;OR51G2;OR6K3;OR8D1;OR56A1;OR4C5;OR10A5;OR8D2;OR4K13;OR5T3;OR6C2;OR10W1;OR2V2;OR5AL1;OR2G6;OR1D2;OR52B6;OR12D3;OR6N1;OR13C4;OR6C65;OR4D2;OR8U1;OR4F6;OR2H1;OR5C1;OR2L13;OR8S1;OR10G6;OR4C3;OR2AE1;OR13A1;OR56A3;OR1J2;OR2J2;OR52I2;OR10G8;OR4C15;OR51E1;OR5K1;OR2T34;OR51F2;OR6B2;OR52A5;OR8B4;OR2T27;OR2C3;OR2L8;OR52E1;OR51A2;OR51V1;OR52E6;OR2J1;OR10X1;OR52N1;OR5M1;OR4P4;OR52D1;OR4N4;OR2K2;OR1N1;OR51D1;OR10AG1;OR5D18;OR6N2;OR8K1;OR1B1;OR6M1;OR8U3;OR9I1;OR5H14;OR5AN1;OR5T1;OR10J1;OR4K2;OR52A1;OR2AG1;OR52B2;OR51L1;OR10G7;OR8K5;OR6C70;OR1A2;OR5H1;OR51B5;OR4Q2;OR52E2;OR4F17;OR5T2;OR4K14;OR6C1;OR2T3;OR52W1;OR2C1;OR6K2;OR14C36;OR1Q1;OR11L1;OR5M8;OR51A7;OR1J4;OR2AJ1;OR1S2;OR8U9;OR9Q2;OR5AU1;OR1L8;OR52K2;OR51B4;OR2AP1;OR5L2;OR10H4;OR2S2;OR1M1;OR14J1;OR10K2;OR8K3;OR8A1;OR6V1;OR51I1;OR6K6"
"Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958",9.88495415408672e-07,8.31983641302299e-05,0.643551836150722,-0.479473155428204,-2.80378620378968,30,"TUBB4B;TUBA1C;TUBB4A;PFDN2;TUBB2B;VBP1;TUBA3D;PFDN5;PFDN1;CCT3;CCT7"
"Uptake And Actions Of Bacterial Toxins R-HSA-5339562",4.64964973960354e-06,0.000361242018230737,0.610526878385931,-0.451598956253488,-2.45070355882574,28,"CD9;VAMP2;STX1B;MAP2K7;HSP90AB1;HSP90AA1;SNAP25;MAP2K4;VAMP1"
"RHO GTPases Activate PAKs R-HSA-5627123",6.4960680723687e-06,0.00046864491093517,0.610526878385931,-0.530702614002927,-2.56317936740686,21,"MYL12B;RNASE1;PPP1CB;MYLK;CTTN;MYL6;CDC42"
"RHO GTPases Activate PKNs R-HSA-5625740",8.51465781960868e-06,0.000573320293186984,0.593325476396405,-0.309147321788065,-2.34273247116443,59,"MYL12B;YWHAE;RNASE1;PPP1CB;H3-3B;RHOA;YWHAQ;MYL6;H2AJ;H2AZ1;H2AC6;H4C15;KDM1A;MYH10;RHOB;YWHAB;YWHAZ;H2AC19;YWHAH;MYH14;H2BC4"
"RHO GTPases Activate CIT R-HSA-5625900",1.04473600131644e-05,0.000659489600831005,0.593325476396405,-0.538028940416601,-2.51980174979228,19,"MYL12B;RNASE1;PPP1CB;CDKN1B;RHOA;MYL6;LLGL1;MYH10;RHOB"
"Iron Uptake And Transport R-HSA-917937",1.11597732763945e-05,0.000663021824068144,0.593325476396405,-0.301208997961676,-2.26414327361099,57,"ATP6V0B;ATP6AP1;FTH1;SLC22A17;ATP6V0E2;TF;ATP6V0A1;RPS27A;ATP6V1B2;SKP1;SLC11A2;ATP6V1F;ATP6V0C;ATP6V0D1;ATP6V1E1;ATP6V1G2;NEDD8;FBXL5;CUL1;UBA52"
"Keratinization R-HSA-6805567",1.25740094627686e-05,0.000705541642077572,0.593325476396405,0.355983384668171,1.63444235749001,192,"KRT4;SPRR2B;PERP;KLK13;KRT14;KRTAP25-1;KRT2;LIPM;KRTAP1-5;KRTAP6-3;KRT17;KRTAP4-3;KRT9;KRTAP19-4;KRT84;KRTAP19-8;KRT32;SPRR2E;KRT3;CDSN;RPTN;LCE1A;KRT31;KRTAP15-1;SPINK9;LCE1F;KRT24;KRT5;KRTAP9-6;KRTAP10-11;KRT25;SPRR2A;KRTAP13-1;KRTAP4-4;CASP14;KRT19;KRTAP21-2;LCE3C;KRTAP9-1;KRTAP1-4;SPRR2G;SPRR1B;KRTAP19-2;EVPL;KLK5;KRTAP26-1;KRT72;KRT16;KRTAP20-1;LCE2A;KRTAP13-4;KRTAP10-8;KRT23;KRTAP10-4;LCE2D;KRTAP3-2;KRTAP13-3;KRTAP10-6;TGM1;KRT81;KRTAP3-3;DSPP;LORICRIN;DSC3;KRTAP5-10;KRTAP6-1;DSG3;KLK12;KRTAP19-6;KRT40;KRTAP21-3;KRTAP17-1;KRTAP4-1;LIPJ;KRT27;TCHH;KRTAP12-1;KRT1;KRT82;PPL;DSG2;KRTAP4-2;PRSS8;CSTA;LCE3B;KRTAP1-3;KRT78;KRT39;KRT10;SPRR1A;KRTAP22-1;KRTAP19-7;LCE2B;KRTAP19-5;KRTAP5-4;KRT26;KRTAP3-1;KRT7;KRT15;PKP1;KRTAP10-5;KRT71;KRTAP23-1;KRTAP2-2;KRT79;LIPK;KRT6A;TGM5"
"Post-chaperonin Tubulin Folding Pathway R-HSA-389977",1.95320993112781e-05,0.00103828527917847,0.575610261071129,-0.507546561167258,-2.4513406176195,21,"TUBB4B;TUBA1C;TUBB4A;ARL2;TBCB;TUBB2B;TUBA3D;TBCA"
"HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497",2.39379570057011e-05,0.0012088668287879,0.575610261071129,-0.36181096250463,-2.16293588955747,38,"DYNC1H1;HSPA2;DYNC1LI2;ACTR10;DNAJA2;DYNC1I2;HSP90AB1;HSP90AA1;STIP1;DYNLL2"
"Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505",3.19398706052095e-05,0.00137190624661502,0.557332238758646,-0.358881002464917,-2.0941487743601,35,"HNRNPA2B1;PDCD4;HNRNPDL;PPIA;RPLP0;CDC42;SNRPA1;TALDO1;SOD1;HSPA9"
"Negative Regulation Of NOTCH4 Signaling R-HSA-9604323",3.25997523948124e-05,0.00137190624661502,0.557332238758646,-0.30497456215523,-2.21872516758801,52,"PSMB7;PSMB6;RBX1;RPS27A;SKP1;PSMC5;SEM1;PSMD14;PSMA1;PSMD3;FBXW7;PSMD4;YWHAZ;PSMD8;PSMD10;PSMC1;CUL1;UBA52;PSME1"
"RHO GTPases Activate WASPs And WAVEs R-HSA-5663213",2.96345008779619e-05,0.00137190624661502,0.575610261071129,-0.376360465426295,-2.19780015181244,33,"ARPC5;RNASE1;ACTR3;GRB2;CDC42;ACTR2;WASL;ABI2;PTK2;ARPC1A;WASF2;ARPC2"
"Selective Autophagy R-HSA-9663891",3.02614931223188e-05,0.00137190624661502,0.575610261071129,-0.299178745856572,-2.24316152266343,60,"DYNC1H1;DYNC1LI2;SQSTM1;TOMM7;DYNC1I2;RPS27A;HSP90AA1;VCP;PLIN3;TOMM20;EPAS1;PINK1;ATG12;DYNLL2;VDAC1;PEX5;UBA52;PARK7;NBR1;CSNK2B;TOMM40"
"GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114",4.81776484208609e-05,0.00190873709808616,0.557332238758646,-0.310719566813121,-2.21422792693164,50,"PSMB7;PSMB6;RBX1;RPS27A;SKP1;PSMC5;SEM1;PSMD14;PSMA1;PSMD3;PSMD4;PSMD8;PSMD10;PSMC1;CUL1;UBA52;PSME1;PSMA2;GSK3B;PSMB2"
"Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370",4.91358064853864e-05,0.00190873709808616,0.557332238758646,-0.302354430454153,-2.22133032204285,55,"RPS6;SQSTM1;NPM1;GRB2;RBX1;TPM3;PIK3R1;SKP1;PPM1B;CLTC;PRKAR1A;STAT3;HIP1;KLC1;TPM4;CUL1;TPR"
"Semaphorin Interactions R-HSA-373755",5.99547649486709e-05,0.00224275231845028,0.557332238758646,-0.271362658499839,-1.98725340641646,63,"MYL12B;RNASE1;DPYSL2;RHOA;MYL6;SEMA6A;SEMA4D;HSP90AB1;HSP90AA1;PLXNB1;PLXNB3;CRMP1;MYH10;DPYSL5;ITGB1;RHOB;FYN"
"NIK To Noncanonical NF-kB Signaling R-HSA-5676590",7.07730786050771e-05,0.00255288604968314,0.538434096309916,-0.274996100926593,-2.06710482221854,57,"FBXW11;PSMB7;PSMB6;RPS27A;SKP1;PSMC5;SEM1;UBA3;PSMD14;PSMA1;PSMD3;PSMD4;PSMD8;PSMD10;PSMC1;CUL1;UBA52;PSME1"
"Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960",0.000115007598030338,0.00400543703484972,0.538434096309916,-0.418194298065766,-2.09847246677575,24,"TUBB4B;TUBA1C;TUBB4A;TUBB2B;TUBA3D"
"Sema4D In Semaphorin Signaling R-HSA-400685",0.000163671278884239,0.00551026638910271,0.518848077743792,-0.431360974524076,-2.17238550183238,23,"MYL12B;RNASE1;RHOA;MYL6;SEMA4D;PLXNB1;MYH10;RHOB"
"Signaling By ERBB4 R-HSA-1236394",0.000236425949097282,0.00770290995445984,0.518848077743792,-0.27310458757985,-1.99658664557921,56,"PSENEN;APOE;S100B;STMN1;GRB2;PIK3R1;RPS27A;PSEN1;GFAP;LLGL1;ERBB3;WWOX;SPARC"
"Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523",0.000298279194281346,0.00912915109770179,0.49849310876659,-0.437742756567076,-2.11420326989071,21,"APP;VAMP2;SEC61G;PRNP;GET1;STX1A;CAMLG;STX5;CYB5A;ALDH3A2;SEC61B;SGTA;VAPA;GET3;SERP1;OTOF;UBE2J2;EMD;HMOX1"
"SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577",0.000296252614306522,0.00912915109770179,0.49849310876659,-0.262258483052574,-1.93272904309185,58,"PSMB7;CDKN1B;PSMB6;RPS27A;SKP1;PSMC5;SEM1;PSMD14;PSMA1;PSMD3;PSMD4;PSMD8;PSMD10;PSMC1;CUL1;UBA52;PSME1"
"EPHA-mediated Growth Cone Collapse R-HSA-3928663",0.000345915390641219,0.0102757218984597,0.49849310876659,-0.523142465600269,-2.17588397138788,15,"MYL12B;RHOA;MYL6;MYH10;FYN;MYH14;YES1"
"Chaperone Mediated Autophagy R-HSA-9613829",0.000371623100529761,0.0104260925426405,0.49849310876659,-0.459922562517424,-2.12047310440803,18,"LAMP2;RNASE1;RPS27A;HSP90AB1;HSP90AA1;GFAP;PLIN3;UBA52;PARK7"
"Interleukin-12 Family Signaling R-HSA-447115",0.000363287453450671,0.0104260925426405,0.49849310876659,-0.268563167502364,-2.02574659003857,54,"HNRNPA2B1;PDCD4;HNRNPDL;CANX;PPIA;EBI3;RPLP0;CDC42;SNRPA1;TALDO1;STAT3;SOD1;HSPA9"
