"gene","statistic","p.value","p_adj"
"BASP1",0.456674845928084,3.53266302791312e-11,4.65382931536749e-07
"TMA7",0.350745100097539,7.00196088348129e-07,0.000871790809732644
"ATP1B1",0.344780800167959,1.1085822355215e-06,0.00108967799108419
"MAST3",0.341419867294764,1.43025392621755e-06,0.00127197249171614
"KLHDC3",0.337686275024385,1.89155672706607e-06,0.00153594406237765
"FAIM2",0.328532500535807,3.69696802846626e-06,0.00238084741033227
"KCNQ3",0.322998595966356,5.48632270614872e-06,0.00292348443999642
"H4C12",0.32244922953107,5.70318137837947e-06,0.00292348443999642
"CALM3",0.319942089079592,6.8003878842352e-06,0.00302390581252325
"RGS7BP",0.316518171519549,8.62567504255491e-06,0.00348272841746566
"ADAM15",0.316150760846269,8.84704942867782e-06,0.00348272841746566
"TSC22D1",0.314240225345213,1.0087711455726e-05,0.00373276164058983
"CPLX2",0.314185988531538,1.01252302172942e-05,0.00373276164058983
"TTC33",0.311715589147389,1.19813926213366e-05,0.00392569278238742
"CTSB",0.311143478241852,1.24550084879527e-05,0.00401051273312076
"DLGAP1",0.3091069733671,1.42887566322985e-05,0.00444761364774677
"TMSB10",0.308002991772625,1.53867553779301e-05,0.00463488779739068
"GABBR2",0.306473863541926,1.70399831565899e-05,0.00474983172287274
"NCDN",0.30367104497719,2.0514973198695e-05,0.00497066278030442
"BTBD6",0.299813232907749,2.64039075664137e-05,0.00528063488663552
"PTBP1",0.298508050230288,2.87340626683724e-05,0.00532183250783734
"UQCRHL",0.296931683484453,3.18069598565576e-05,0.00533130098193128
"INA",0.296625507923386,3.24386496459302e-05,0.00533130098193128
"GRIN2A",0.296340327257935,3.30376416924102e-05,0.00533130098193128
"PGK1",0.295775214650938,3.42555214088538e-05,0.00533130098193128
"CLTB",0.293911917665018,3.85776043115029e-05,0.00567303415843802
"RUVBL2",0.292781692451023,4.14441980322057e-05,0.00573913049926077
"MAP1A",0.291962891521999,4.36448902575868e-05,0.00573913049926077
"PDZD2",0.291609477445796,4.46283362477509e-05,0.00573913049926077
"MYO5A",0.291361037847673,4.53321082027377e-05,0.00573913049926077
"NAP1L2",0.291033867390991,4.62748426626171e-05,0.00573913049926077
"MGST3",0.290991877599759,4.63971619944267e-05,0.00573913049926077
"PTPRN",0.29051249414986,4.78153682907502e-05,0.00579870011816916
"GRIN2B",0.286061576279267,6.30755282218227e-05,0.00623279664058603
"MYL12B",0.284842122758904,6.7993774981719e-05,0.00657665028329016
"RPL36",0.284765141474979,6.83160288583365e-05,0.00657665028329016
"TMEM30A",0.284074059494285,7.12738789072907e-05,0.00672421102697724
"SCN1B",0.282837110227576,7.68702435583137e-05,0.00707206240736486
"ALDOA",0.275628862732748,0.000118583193704756,0.00916669365514203
"DNM1",0.275131983536503,0.000122126732876581,0.00930954638042054
"PAFAH1B2",0.274867797766668,0.00012405088269652,0.0093228157168628
"TMEM130",0.27367283829119,0.000133113577483111,0.00969925808975385
"BSG",0.273105976109558,0.000137625797054472,0.00969925808975385
"CCNI",0.272892528004129,0.000139361580873088,0.00969925808975385
"LRRC47",0.272787553526049,0.000140222728862366,0.00969925808975385
"HECTD4",0.272556609674273,0.000142134785089242,0.00974344067353224
"CADM3",0.27252161818158,0.000142426606547135,0.00974344067353224
"TUBB4B",0.272140210911222,0.000145643969773823,0.00987278294231788
"CKB",0.271925013231158,0.000147489100498323,0.00987278294231788
"PACSIN1",0.271648580438881,0.000149891310025237,0.00996217119584102
"KLC1",0.271464875102241,0.000151507871573868,0.00999844879686769
"DGKZ",0.271057224212363,0.000155153424196168,0.0101671766676759
"SNURF",0.270922506965494,0.00015637607188489,0.0102114668479797
"TOLLIP",0.270485113306827,0.000160408003027681,0.0104073062272319
"R3HDM4",0.269587581519243,0.000168987218990971,0.0107713491531583
"C1orf115",0.268726790798987,0.000177615785584043,0.011235317597484
"ENO2",0.26784325560848,0.000186898437548841,0.0114230050624357
"KCNT1",0.267533580898144,0.000190257633601176,0.011465560956917
"ADARB1",0.266352618019744,0.000203591623060173,0.0118975908229312
"DOC2A",0.26613742033968,0.000206113249748845,0.011909330993211
"CFL1",0.265631793270261,0.000212153008917587,0.0119703008898636
"SYNPO",0.265213644932576,0.000217271950497661,0.0122222016490793
"ZER1",0.264174397599584,0.000230496838337998,0.0125870144818727
"USP22",0.264093917166389,0.000231551639167869,0.0126077504755077
"DHRS1",0.263691515000415,0.00023689337730377,0.0127569110867522
"RANGAP1",0.263474567745717,0.000239820640547651,0.0127569110867522
"GNAS",0.262097652508234,0.000259198365181592,0.0134466351892539
