"gene","statistic","p.value","p_adj"
"TRIM9",0.0969465548688475,0.18330937803709,0.253047966902262
"STRN",0.0969465548688475,0.18330937803709,0.253047966902262
"UGT2B15",0.0969133129507888,0.183460336931688,0.253237638768382
"HEY1",0.0969080642268848,0.183484180895854,0.253251833745544
"MTAP",0.0968940676298075,0.183547775934097,0.253302169758752
"TXNDC16",0.0968835701819995,0.183595482841308,0.253341540434929
"UPF1",0.0968818206073648,0.18360343487828,0.253341540434929
"RAB11FIP5",0.0968643248610181,0.183682969168308,0.253432560002018
"WFDC13",0.0968520778385755,0.183738658231779,0.25347194424115
"DNAAF3",0.0968275837936902,0.183850073572053,0.253580432579431
"XRN2",0.0968258342190555,0.18385803370947,0.253580432579431
"MACIR",0.0967838444278235,0.184049152973752,0.25380654071755
"PIP5K1A",0.0967838444278235,0.184049152973752,0.25380654071755
"TIMM8B",0.0967803452785541,0.184065086163645,0.253809771795055
"RPGR",0.0967663486814768,0.18412882905481,0.253878922955159
"QRFPR",0.0967121118678021,0.184375985899725,0.25416341250836
"STAT6",0.0966841186736475,0.184503646000582,0.254320620909799
"SLC26A8",0.0966736212258394,0.184551535266616,0.25436785775936
"BPIFA3",0.0966683725019355,0.184575483321693,0.254382091839418
"KCNK12",0.0966438784570501,0.184687271079957,0.254490824485099
"SCN4A",0.0966421288824155,0.184695257821323,0.254490824485099
"LHPP",0.0966281322853381,0.184759160880337,0.254560095064639
"CLCN7",0.0966246331360688,0.184775139180793,0.254563329842173
"PAGE1",0.0966193844121648,0.184799108533364,0.25457757254327
"LRRC26",0.0966106365389914,0.184839062526237,0.254613831814428
"PIGG",0.0966001390911835,0.184887015686875,0.254642323375227
"GABRR2",0.0966001390911835,0.184887015686875,0.254642323375227
"PRELP",0.0965756450462981,0.184998941904615,0.254769914770366
"KCTD18",0.0965738954716634,0.18500693853693,0.254769914770366
"ANKEF1",0.0965494014267781,0.185118918027412,0.254905324270438
"MYO1E",0.0965371544043354,0.185174926421122,0.254963648322093
"RAD54L",0.0965126603594501,0.185286980511243,0.255099126282933
"CHSY1",0.0965091612101808,0.185302992298974,0.25510236504317
"OSBPL8",0.0965056620609114,0.185319005101928,0.255105604723491
"FREM3",0.0964759192921221,0.185455154920466,0.255255396366322
"EIF2B2",0.0964689209935834,0.185487200833798,0.255280689961091
"THTPA",0.0964251816277168,0.185687579833215,0.255537634733264
