"gene","statistic","p.value","p_adj"
"EPB41L1",0.576669422246716,3.12168918762043e-18,6.625075825909e-16
"SYN2",0.572804611878737,5.86191900376253e-18,1.23008089117156e-15
"DYNLL1",0.570008791612539,9.19963877851997e-18,1.90902726475154e-15
"RUNDC3A",0.569744605842704,9.59776713790851e-18,1.96975713261076e-15
"PLEKHG5",0.569382443893328,1.01710672195216e-17,2.06472664556288e-15
"RBFOX3",0.568917057040507,1.09571865249578e-17,2.17881034430385e-15
"SEPTIN5",0.568911808316603,1.09663831850804e-17,2.17881034430385e-15
"CABP1",0.568285460597392,1.21198574561574e-17,2.38228598278202e-15
"CAMKV",0.568220726335909,1.22456336660459e-17,2.38228598278202e-15
"SYT1",0.567188477301456,1.44326611809796e-17,2.76348301611003e-15
"LY6H",0.567158734532667,1.45010353169192e-17,2.76348301611003e-15
"CAMK2G",0.567053760054587,1.47448992729743e-17,2.78157311941483e-15
"PDZD4",0.566775577687675,1.54107155846537e-17,2.87810524258992e-15
"FAM171B",0.566478149999781,1.61551446379847e-17,2.9611116770723e-15
"BAIAP3",0.566457155104165,1.62090024439105e-17,2.9611116770723e-15
"TSPAN7",0.566409916589029,1.63308258052285e-17,2.9611116770723e-15
"PEA15",0.565669846518565,1.83605737447316e-17,3.29713533900584e-15
"PDXP",0.56551413437608,1.88180628989764e-17,3.34710612096459e-15
"STMN3",0.565389914577018,1.91910086969536e-17,3.38123847570099e-15
"TMEM59L",0.56490703197785,2.07107153255081e-17,3.61489083569335e-15
"RASD1",0.564767066007077,2.11728071233823e-17,3.66132727626192e-15
"GPI",0.561673818052986,3.4389052967861e-17,5.89220140575937e-15
"CST3",0.559201669094201,5.04890519387562e-17,8.57212303643827e-15
"KIFC2",0.556545814798777,7.60030998497409e-17,1.27876927278717e-14
"SLC1A3",0.554962449754403,9.68239857950301e-17,1.61453996313213e-14
"ZMIZ2",0.553748244957945,1.16477440428295e-16,1.92507316587508e-14
"ATP1B2",0.553610028561806,1.18948032601243e-16,1.9486609270709e-14
"NRXN2",0.553384333433934,1.23092877057209e-16,1.99902832340908e-14
"TBR1",0.553069409999694,1.29113277522575e-16,2.07872376811346e-14
"CALY",0.552752736990819,1.35457201060764e-16,2.14446510507866e-14
"FUT9",0.552750987416184,1.35493083315101e-16,2.14446510507866e-14
"PKD1",0.552500798243427,1.40721105842093e-16,2.19975181476516e-14
"CPE",0.552427316108771,1.42293735475398e-16,2.19975181476516e-14
"GABRB2",0.552416818660963,1.42519795238051e-16,2.19975181476516e-14
"PFKP",0.552343336526307,1.44112076794455e-16,2.20609602148627e-14
"SLC12A5",0.55188319839739,1.54485713085184e-16,2.3456708760804e-14
"EZR",0.551311087491853,1.68406069456553e-16,2.53641270416982e-14
"BTBD2",0.550340073569613,1.94889773956933e-16,2.91180913473575e-14
"NPIPA1",0.550161616956877,2.00181692841737e-16,2.96713753612085e-14
"GP1BB",0.549837945649464,2.1014058770767e-16,3.09022489451058e-14
"ANK2",0.549358562199565,2.25786314476474e-16,3.2943634446583e-14
"SHANK1",0.549159110691213,2.32626309035686e-16,3.36785189732595e-14
"RAP1GAP",0.548763706823778,2.46790484320318e-16,3.54543006551251e-14
"CHN1",0.547869674185464,2.81996931506224e-16,4.0054543795001e-14
"SLC8A2",0.547843430565944,2.83101294760127e-16,4.0054543795001e-14
"ALDOA",0.547442777974605,3.00495655301707e-16,4.2044803360066e-14
"MAP1A",0.547416534355085,3.01670788726111e-16,4.2044803360066e-14
"LMO4",0.544932138373858,4.3584356651765e-16,6.0294921839138e-14
"PDE2A",0.54373717889838,5.19663322902411e-16,7.13620016068046e-14
"CAMK2B",0.542995359253281,5.79419131281024e-16,7.89870926701052e-14
"PDE4DIP",0.542484483459959,6.24424015308444e-16,8.45053834050761e-14
"MAP3K10",0.542339268765281,6.37828323437236e-16,8.5698429989308e-14
"PHYHIP",0.541203794827383,7.52796129405486e-16,1.00423003662692e-13
"NRCAM",0.540547704339382,8.28211394511455e-16,1.08927295802084e-13
"ABAT",0.540384993898358,8.48028175377488e-16,1.10753665757692e-13
"CAMK2N1",0.540260774099297,8.63468284851799e-16,1.11987039499251e-13
"ITPKA",0.539979092583116,8.99505139189905e-16,1.1585626192766e-13
"TMEM130",0.539622179357644,9.47282989496117e-16,1.21174363779654e-13
"PPP3R1",0.538362485620683,1.13656709907311e-15,1.44398143825098e-13
"ACO2",0.536675895672864,1.44879375375365e-15,1.82822109088535e-13
"GABBR1",0.535582411526198,1.694476559485e-15,2.12389558556657e-13
"ATP1A3",0.534613147178592,1.94594822961306e-15,2.42283527575024e-13
"EHD3",0.532634378266784,2.57763905186906e-15,3.16710440346753e-13
"AKT3",0.532541650811146,2.61170361028946e-15,3.18798540037686e-13
"LZTS3",0.532452422504778,2.64489763191547e-15,3.20753949179567e-13
"TPI1",0.53155314114256,3.0033007239527e-15,3.61868673035746e-13
"PRXL2A",0.531059761095584,3.21965013073048e-15,3.85449909240529e-13
"RAB3A",0.530746587235978,3.36479776618574e-15,4.00260911345763e-13
