"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",-0.0893292131701815,0.110868527927217,Inf,-0.306627534926499,0.127969108586136,-0.805722010026368,0.420403155617077,"Astrocytes1","Arteries",0.841840242056211
"AD_Amyloid_vs_Control",-0.606238806749208,0.285854042529551,Inf,-1.16650243494231,-0.0459751785561071,-2.12079843749817,0.0339387682560814,"Astrocytes2","Arteries",0.344265028559013
"AD_Amyloid_vs_Control",-0.0564798154262618,0.0942555714610877,Inf,-0.241217340832235,0.128257709979711,-0.599219914014088,0.549026244819268,"Astrocytes3","Arteries",0.841840242056211
"AD_Amyloid_vs_Control",-0.0533058296778472,0.0885045688209435,Inf,-0.226771597034143,0.120159937678449,-0.602294665552148,0.54697801107757,"Astrocytes4","Arteries",0.841840242056211
"AD_Amyloid_vs_Control",-0.102479021454195,0.114972059145098,Inf,-0.327820116606997,0.122862073698606,-0.891338488813734,0.372747606202993,"Astrocytes5","Arteries",0.836021490314047
"AD_Amyloid_vs_Control",0.136436376488989,0.0904927605929223,Inf,-0.0409261751347446,0.313798928112722,1.50770487710881,0.131630076738825,"Endothelial","Arteries",0.756872941248243
"AD_Amyloid_vs_Control",-0.279551067228998,0.193961200363742,Inf,-0.65970803434009,0.100605899882095,-1.44127313454828,0.149507534001643,"ExNeuron1","Arteries",0.764149618230622
"AD_Amyloid_vs_Control",-0.311897019694323,0.263642080941127,Inf,-0.828626003148125,0.204831963759479,-1.18303200528891,0.236796463351794,"ExNeuron10","Arteries",0.766591426710386
"AD_Amyloid_vs_Control",-0.0717774882082018,0.0820465928463745,Inf,-0.232585855241317,0.0890308788249138,-0.874838134261093,0.381661984708587,"ExNeuron11","Arteries",0.836021490314047
"AD_Amyloid_vs_Control",0.474351810650597,0.45711310492625,Inf,-0.421573411866131,1.37027703316733,1.03771212318914,0.299404099165443,"ExNeuron12","Arteries",0.766591426710386
"AD_Amyloid_vs_Control",-0.0640011425460149,0.305452174591218,Inf,-0.662676403744243,0.534674118652213,-0.209529176315954,0.834035161425507,"ExNeuron13","Arteries",0.932753471947053
"AD_Amyloid_vs_Control",0.294906903640541,0.284522808922058,Inf,-0.262747554626865,0.852561361907947,1.03649652819689,0.299970558277977,"ExNeuron14","Arteries",0.766591426710386
