"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Mitotic Anaphase R-HSA-68882",0.000760203591706224,0.00408828383189476,0.477270815362862,-0.265092074969773,-1.51503173136575,224,"TUBA4A;TUBB2A;TUBB4B;DYNC1H1;DYNLL1;TUBA1C;PPP2R5B;RANGAP1;PSMC5;PPP2CA;PPP2R1A;RAN;TUBB2B;PSMD8;DYNC1I1;PAFAH1B1;PSMD2;PPP2R5D;DYNLL2;SUMO1;PSMA1;PSMD7;PSMB7;TUBB4A;PPP2CB;PSMF1;CLIP1;PPP1CC;TUBA8;KPNB1;CENPT;ANAPC5;UBB;RANBP2;ANAPC11;PSMD14;CHMP4B;PSMB1;PSMB3;PDS5B;PSMC1;BANF1;PSMC3;PSMC2;VPS4A;PPP2R2A;CLASP1;XPO1;UBE2E1;UBE2D1;TAOK1;CHMP7;BUB3;PSMB2;PSMB5;CDC16;SEH1L;BIRC5;CENPQ;PSMB6;PPP2R5C;NUDC"
"PTEN Regulation R-HSA-6807070",0.000793051892074726,0.00424537411950094,0.477270815362862,-0.317080755967601,-1.68648985152684,137,"CBX6;MAPK1;PSMC5;MAPK3;AKT3;PSMD8;PSMD2;RRAGA;RBBP7;PSMA1;MTA1;PSMD7;PSMB7;STUB1;MTA3;PSMF1;CSNK2B;HDAC5;LAMTOR2;UBB;PSMD14;JUN;PSMB1;PSMB3;TNRC6A;AKT1;CHD3;MLST8;PSMC1;AGO1;PHC2;LAMTOR5;PSMC3;USP7;EED;PSMC2;GATAD2B;PTEN;PSMB2;PSMB5;RING1;PSMB6;PSMC4;LAMTOR3;RCOR1;ATN1"
"Vif-mediated Degradation Of APOBEC3G R-HSA-180585",0.000805166914884033,0.004290546984793,0.477270815362862,-0.42870075842604,-1.89612711717014,52,"PSMC5;PSMD8;PSMD2;ELOB;PSMA1;PSMD7;PSMB7;PSMF1;UBB;PSMD14;PSMB1;PSMB3;PSMC1;PSMC3;PSMC2;RBX1;PSMB2;PSMB5;PSMB6;PSMC4"
"PKA-mediated Phosphorylation Of CREB R-HSA-111931",0.000821688773621411,0.00435868544916448,0.477270815362862,-0.625041670533283,-2.09697194271055,19,"CALM1;PRKAR1B;ADCY1;PRKACB;PRKAR2B;PRKAR1A;PRKCA;NBEA;ADCY2"
"G Alpha (Z) Signaling Events R-HSA-418597",0.000832472395773323,0.00439590627089352,0.477270815362862,-0.454698144737396,-1.96768203070498,47,"GNAS;GNB1;RGS4;ADCY1;PRKCB;PRKCG;GNG2;GNB2;GNG3;GNB5;GNG7;PRKCA;GNAZ;GNAI2;ADCY2"
"Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652",0.000848474262069883,0.00446022281007006,0.477270815362862,-0.530777968895297,-2.02288128348062,29,"UBE2K;UBA1;UBE2D2;UBE2B;USP5;UBE2W;UBE2L3;UBE2E3;UBB;USP7;UBE2E1;UBE2D1"
"MAP Kinase Activation R-HSA-450294",0.000910799496622755,0.00476638122223657,0.477270815362862,-0.396351569832271,-1.78823855882137,61,"MEF2C;SKP1;MAPK10;MAP2K1;MAPK1;PPP2CA;PPP2R1A;MAPK3;PPP2R5D;DUSP3;PPP2CB;MAPK8;UBE2V1;UBB;MAP3K7;JUN;MAP2K4;TAB3;MEF2A;CUL1;MAP2K7;MAPK9;CREB1"
"Aquaporin-mediated Transport R-HSA-445717",0.00093221740998219,0.00484540220470376,0.477270815362862,-0.439083236052319,-1.94206784782765,49,"GNAS;GNB1;PRKAR1B;ADCY1;GNG2;GNB2;GNG3;PRKACB;PRKAR2B;PRKAR1A;GNB5;GNG7;AQP4;PRKCA;RAB11A"
"Eukaryotic Translation Termination R-HSA-72764",0.000934203509904324,0.00484540220470376,0.477270815362862,-0.36308517474778,-1.79214066048942,89,"RPL41;RPL27;RPS15;FAU;RPS21;RPL35A;RSL24D1;RPL23;RPL36;RPL15;RPL31;RPL26;RPL38;RPL14;RPS4Y1;RPLP1;RPL18;RPL4;RPL8;RPS25;RPL22;RPL7A;RPL29;RPL10A;RPS20;RPS14;RPS11;APEH"
"Post-chaperonin Tubulin Folding Pathway R-HSA-389977",0.00100938653156449,0.00521218620502547,0.45505986738723,-0.593573188552318,-2.05467516642358,21,"TUBA4A;TUBB2A;TUBB4B;TUBA1C;TUBB2B;TBCA;ARL2;TUBB4A;TUBA8"
"Mitochondrial Calcium Ion Transport R-HSA-8949215",0.00105561709749696,0.0054184333290033,0.45505986738723,-0.592009579547015,-2.04926267702016,21,"VDAC1;SPG7;MICU3;VDAC2;MICU1;AFG3L2;AKAP1;PMPCB;SMDT1;PMPCA;MCU;MICU2;MAIP1;MCUB"
"Negative Regulation Of MAPK Pathway R-HSA-5675221",0.00105861422366131,0.0054184333290033,0.45505986738723,-0.46105971843636,-1.91504875470957,40,"PEBP1;YWHAB;MAP2K1;PPP2R5B;MAPK1;PPP2CA;PPP2R1A;MAPK3;PPP2R5D;PPP2CB;MAP2K2;UBB;BRAF"
"Mitochondrial Translation Elongation R-HSA-5389840",0.0011138612801258,0.00567631490788999,0.45505986738723,-0.363476171380139,-1.74939886011543,82,"MRPS21;DLGAP3;MRPL41;MRPL33;MRPL50;TUFM;MRPS18A;MRPL16;MRPL20;MRPL1;GADD45GIP1;MRPL18;MRPL15;MRPL57;MRPL3;MRPL21;MRPS35;MRPS16;MRPS23;MRPL51;MRPS30;OXA1L;MRPL42;CHCHD1;MRPS18B;MRPS34"
"Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406",0.0011451896909166,0.00581059290999856,0.45505986738723,-0.42047064488458,-1.84893256766632,51,"BSG;LDHB;SDHB;MDH2;VDAC1;IDH3G;ACO2;PDK2;SDHA;PDHB;PDK3;LDHA;IDH3B;IDH3A;SUCLG1;NNT;CS;MPC2;SUCLA2"
"Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562",0.0011544558406183,0.00583225093507169,0.45505986738723,-0.438843958457749,-1.94575114983361,50,"OAZ1;PSMC5;OAZ2;PSMD8;PSMD2;PSMA1;PSMD7;PSMB7;AZIN1;PSMF1;PSMD14;PSMB1;PSMB3;PSMC1;PSMC3;PSMC2;PSMB2;PSMB5;PSMB6;PSMC4"
"ROS And RNS Production In Phagocytes R-HSA-1222556",0.00117027213804906,0.00588667062544507,0.45505986738723,-0.484538692011123,-1.9491502839191,36,"ATP6V1B2;ATP6V0C;ATP6V0A1;ATP6V1A;ATP6V0E2;ATP6V1H;ATP6V1F;ATP6V1G2;ATP6V1D;ATP6V1C1;ATP6V0D1;ATP6V1E1"
"Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960",0.00118568506418467,0.00593860287512234,0.45505986738723,-0.557515744909999,-2.00967563553621,24,"TUBA4A;TUBB2A;TUBB4B;TUBA1C;TUBB2B;CCT2;TUBB4A;TUBA8"
"NIK To Noncanonical NF-kB Signaling R-HSA-5676590",0.00125392029582363,0.00625352557788963,0.45505986738723,-0.412151142999734,-1.84192665789838,57,"SKP1;PSMC5;PSMD8;PSMD2;UBE2M;PSMA1;PSMD7;PSMB7;PSMF1;UBB;PSMD14;PSMB1;PSMB3;PSMC1;PSMC3;CUL1;PSMC2;PSMB2;PSMB5;PSMB6;PSMC4"
"Selenocysteine Synthesis R-HSA-2408557",0.00128358773093232,0.00637424205105538,0.45505986738723,-0.358420469210636,-1.76911628757711,89,"RPL41;SARS1;RPL27;RPS15;FAU;RPS21;RPL35A;RSL24D1;RPL23;RPL36;RPL15;RPL31;RPL26;RPL38;RPL14;RPS4Y1;RPLP1;RPL18;RPL4;RPL8;RPS25;RPL22;RPL7A;RPL29;RPL10A;RPS20"
"N-glycan Trimming In ER And Calnexin/Calreticulin Cycle R-HSA-532668",0.00129738003399916,0.00641543432066536,0.45505986738723,-0.466490494228469,-1.8494551873865,34,"MARCHF6;AMFR;VCP;OS9;RAD23B;CANX;CALR;UBB;PSMC1;NGLY1;PRKCSH;MAN1B1;SEL1L"
"RET Signaling R-HSA-8853659",0.0013168076841041,0.00648402771033538,0.45505986738723,-0.455108400862068,-1.89032947680739,40,"CLSTN1;GRB2;PIK3R1;RAP1GAP;SHC3;SHANK3;PRKACB;PIK3R2;PRKCA;DOK6;PLCG1;IRS2;PIK3CA"
"Sema4D Induced Cell Migration And Growth-Cone Collapse R-HSA-416572",0.00137458798644275,0.00674010159738945,0.45505986738723,-0.614317055927095,-2.06099159614202,19,"RND1;MYL12B;ARHGEF11;MYH10;ARHGEF12;RHOB;ROCK2;MYL6;MYH9;LIMK1"
"Intrinsic Pathway For Apoptosis R-HSA-109606",0.00147695930881621,0.00721176365434528,0.45505986738723,-0.406696706255084,-1.79059895429339,55,"PPP3R1;YWHAG;YWHAH;CYCS;YWHAB;DYNLL1;YWHAE;MAPK1;MAPK3;AKT3;DYNLL2"
"Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912",0.00160663506914864,0.00781226302373525,0.45505986738723,-0.337910739029339,-1.68714902858704,96,"TUBA4A;YWHAG;TUBB4B;DYNC1H1;DYNLL1;DCTN3;YWHAE;PPP2R1A;MARK4;PRKAR2B;PAFAH1B1;DCTN1;PRKCA;CSNK1E;CSNK1D;RAB11A;TUBB4A;HSP90AA1;HAUS3;TTBK2;AHI1"
"Transcriptional Regulation By TP53 R-HSA-3700989",0.00163123940558419,0.00789898915484128,0.45505986738723,-0.234214131883761,-1.42729305508925,351,"YWHAG;YWHAH;PRDX2;COX6C;COX4I1;COX8A;COX6B1;CDK5R1;CYCS;YWHAB;COX6A1;PRDX5;COX5B;PLK2;YWHAE;NUAK1;COX7C;PPP2CA;POLR2E;PPP2R1A;POLR2A;COX7B;PIP4K2B;MEAF6;AKT3;COX7A2L;FASN;SUPT4H1;COX5A;ELOB;SESN3;RRAGA;PRDX1;RBBP7;KAT5;PDZD2;BNIP3L;TAF6;MNAT1;PPP2CB;SSRP1;CDK13;PIP4K2C;CSNK2B;HIPK1;LAMTOR2;UBB;TAF11;TAF13;JUN;STK11;GSR;ERCC3;TNRC6A;UBL4A;AKT1;CHD3;MLST8;AGO1;ZNF385A;LAMTOR5;USP7;SMYD2;GTF2F1;POLR2K;PIP4P1"
"Signaling By VEGF R-HSA-194138",0.00171055900140974,0.0082488527051453,0.45505986738723,-0.335349750372448,-1.69146099107419,102,"CALM1;PRKCB;PIK3R1;CYFIP2;PRKCZ;ABI2;ITPR1;PTK2B;AHCYL1;AKT3;PRKACB;PIK3R2;AAMP;ARHGEF7;PRKCA;ABI1;ROCK2;SYNGAP1;HSP90AA1;VAV2;WASF1;CTNNB1;AKT1;MLST8;PLCG1;CDC42;PIK3CA;FYN;PIK3CB;BAIAP2;PDPK1;HRAS;VEGFB;MAPKAP1;ITGAV;BRK1;NCKAP1"
"Degradation Of DVL R-HSA-4641258",0.00175517912075061,0.00839236921046121,0.45505986738723,-0.419869627209005,-1.84997618227659,54,"PSMC5;PSMD8;CUL3;HECW1;PSMD2;PSMA1;PSMD7;PSMB7;PSMF1;UBB;PSMD14;PSMB1;PSMB3;PSMC1;PSMC3;PSMC2;RBX1;PSMB2;PSMB5;PSMB6;PSMC4"
"SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113",0.00176107806729321,0.00839236921046121,0.45505986738723,-0.411424499342726,-1.81911997907412,53,"SKP1;PSMC5;PSMD8;PSMD2;PSMA1;PSMD7;PSMB7;PSMF1;UBB;PSMD14;PSMB1;PSMB3;PSMC1;PSMC3;CUL1;PSMC2;PSMB2;PSMB5;PSMB6;PSMC4"
"Sema4D In Semaphorin Signaling R-HSA-400685",0.00176189413587232,0.00839236921046121,0.45505986738723,-0.554163372424519,-1.95393631213641,23,"RND1;MYL12B;ARHGEF11;MYH10;ARHGAP35;ARHGEF12;RHOB;ROCK2;RNMT;MYL6;MYH9;LIMK1"
