"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",1.44606460262172e-48,1.68755739125955e-45,1.81454230543492,-0.823704270096269,-4.27236580448077,107,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;EIF3J;RPLP2;RPS15;RPL6;EIF4B;RPL11;RPL23;RPL7A;EIF3F;RPL22;RPL26;RPLP1;RPL31;RPS15A;PABPC1;RPL15;EIF3L;RPLP0;EIF4H;RPS21;RPL36;RPL14;RPL35A;RPL36AL;UBA52;RPL8;EIF3G;RPL39L;EIF2S2;RPL10A;RPS27L"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",2.19046406318041e-47,1.27813578086577e-44,1.79157248947691,-0.818009674871644,-4.23420000335168,108,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;EIF3J;RPLP2;RPS15;RPL6;EIF4B;RPL11;RPL23;RPL7A;EIF3F;RPL22;RPL26;RPLP1;RPL31;RPS15A;RPL15;EIF3L;RPLP0;EIF4H;RPS21;RPL36;RPL14;RPL35A;RPL36AL;UBA52;RPL8;EIF3G;RPL39L;EIF2S2;RPL10A;RPS27L;EIF5"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",7.81305856937191e-47,3.03927978348567e-44,1.78578387179408,-0.834272145061881,-4.23376030711215,97,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;EIF3J;RPLP2;RPS15;RPL6;RPL11;RPL23;RPL7A;EIF3F;RPL22;RPL26;RPLP1;RPL31;RPS15A;RPL15;EIF3L;RPLP0;RPS21;RPL36;RPL14;RPL35A;RPL36AL;UBA52;RPL8;EIF3G;RPL39L;RPL10A;RPS27L"
"Cap-dependent Translation Initiation R-HSA-72737",4.15615872584951e-46,1.21255930826659e-43,1.76830432671752,-0.798975655467694,-4.16694823655885,115,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;EIF3J;RPLP2;RPS15;RPL6;EIF4B;RPL11;RPL23;RPL7A;EIF3F;RPL22;RPL26;RPLP1;RPL31;RPS15A;PABPC1;RPL15;EIF3L;RPLP0;EIF4H;RPS21;RPL36;RPL14;RPL35A;RPL36AL;UBA52;RPL8;EIF3G;RPL39L;EIF2S2;RPL10A;RPS27L;EIF5"
"Peptide Chain Elongation R-HSA-156902",4.22765201430628e-45,9.86733980139086e-43,1.75065026404932,-0.859377771379202,-4.24984655365858,83,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;RPLP2;RPS15;RPL6;RPL11;RPL23;RPL7A;RPL22;RPL26;RPLP1;RPL31;RPS15A;RPL15;RPLP0;RPS21;RPL36;RPL14;RPL35A;RPL36AL;UBA52;RPL8;RPL39L;RPL10A;RPS27L"
"Selenocysteine Synthesis R-HSA-2408557",6.41372589455403e-45,1.24746968649076e-42,1.74472588068307,-0.845797636759975,-4.2322791367811,89,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;RPLP2;RPS15;RPL6;RPL11;RPL23;RPL7A;RPL22;RPL26;RPLP1;RPL31;RPS15A;RPL15;RPLP0;RPS21;RPL36;RPL14;RPL35A;SECISBP2;RPL36AL;UBA52;RPL8;RPL39L;RPL10A;RPS27L"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",2.45352730799739e-44,4.09038052633279e-42,1.73281634980283,-0.840927064592751,-4.24548620666936,91,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;RPLP2;RPS15;RPL6;RPL11;RPL23;RPL7A;RPL22;RPL26;RPLP1;RPL31;RPS15A;PABPC1;RPL15;RPLP0;RPS21;RPL36;RPL14;RPL35A;RPL36AL;UBA52;RPL8;RPL39L;RPL10A;RPS27L"
"Eukaryotic Translation Elongation R-HSA-156842",3.39031757436232e-44,4.94562576160104e-42,1.73281634980283,-0.848226371836923,-4.22892228280584,87,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;EEF1D;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;EEF1B2;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;RPLP2;RPS15;RPL6;RPL11;RPL23;RPL7A;RPL22;RPL26;RPLP1;EEF1G;RPL31;RPS15A;RPL15;RPLP0;RPS21;RPL36;RPL14;RPL35A;RPL36AL;UBA52;RPL8"
"Viral mRNA Translation R-HSA-192823",4.05971682897735e-44,5.26409948824064e-42,1.73281634980283,-0.842052820124792,-4.21354048272566,89,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;RPL36A;RPLP2;RPS15;RPL6;RPL11;RPL23;RPL7A;RPL22;RPL26;RPLP1;RPL31;RPS15A;RPL15;RPLP0;RPS21;RPL36;RPL14;RPL35A;RPL36AL;UBA52;RPL8;RPL39L;RPL10A;RPS27L"
"SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339",2.84946221224347e-43,3.32532240168813e-41,1.71479697260989,-0.801539178111542,-4.13751939263306,106,"RPS12;RPL21;RPL30;RPL19;RPS27A;RPL39;RPS6;RPL32;RPL37A;RPS8;RPS13;RPS29;RPS27;RPL12;RPS11;RPS20;RPS23;RPL27A;RPS9;RPL37;RPS3A;RPL5;RPS25;RPS17;RPS14;RPS7;RPL34;RPS28;RPS16;RPL28;RPS3;FAU;RPS19;RPSA;RPL7;RPS2;RPS10;RPL38;RPL18A;RPS24;RPL35;RPL9;RPS4X;RPL18;RPL29;RPL4;RPS5;SSR4;RPL36A;RPLP2;RPS15;RPL6;RPL11;RPL23;RPL7A;RPL22;RPL26;RPLP1;RPL31;RPS15A;RPL15;SEC61G;RPLP0;RPS21;RPL36;RPL14;SEC61B;RPL35A;RPL36AL;UBA52;RPL8"
