"gene","statistic","p.value","p_adj"
"TMEM237",0.376591566175474,8.54756119940416e-08,1.08594729904811e-05
"ABHD16B",0.375695783962524,9.22260773356412e-08,1.1637933921084e-05
"FAM78B",0.375251392005319,9.57621023906425e-08,1.20030404311922e-05
"TNFSF11",0.375114925183815,9.68738468633008e-08,1.20614397601267e-05
"ETS1",0.374894478779847,9.86959662555574e-08,1.22069262635019e-05
"CCDC178",0.373883224641009,1.07484762871146e-07,1.31201662181799e-05
"NUDT10",0.373724013349254,1.08935179197775e-07,1.32108662772575e-05
"KSR2",0.372994440726598,1.15825354289787e-07,1.38165590624861e-05
"STON1",0.372815984113862,1.17573332273254e-07,1.38974655287044e-05
"ZNF596",0.372110905536091,1.24730438264623e-07,1.45324367317656e-05
"PCDH18",0.372058418297051,1.25279626997979e-07,1.45324367317656e-05
"GAB4",0.371944695945798,1.26477507955632e-07,1.45808267813543e-05
"PWWP3B",0.371440818451014,1.31918567256109e-07,1.51147924053687e-05
"DEUP1",0.371127644591409,1.35412773192334e-07,1.54205423910978e-05
"JCHAIN",0.370996426493809,1.36903075323842e-07,1.54384183034065e-05
"BIN3",0.370968433299654,1.37223036965383e-07,1.54384183034065e-05
"AKR1C4",0.370606271350278,1.41427778492681e-07,1.57455868064422e-05
"MYOZ2",0.370576528581489,1.41778535008074e-07,1.57455868064422e-05
"SCAMP3",0.37051704304391,1.42482553560117e-07,1.57455868064422e-05
"OLFML2A",0.370426065162907,1.43565779282414e-07,1.57719676110492e-05
"NXPH2",0.370156630669169,1.46820338911113e-07,1.58498072225662e-05
"COX8C",0.369392066553819,1.56445638860845e-07,1.64011346306024e-05
"SMTNL2",0.369337829740144,1.57150958638408e-07,1.64011346306024e-05
"IL12A",0.369334330590875,1.57196567727449e-07,1.64011346306024e-05
"BYSL",0.369173369724486,1.59308366088382e-07,1.65291280281479e-05
"SCRT1",0.368739475215088,1.65137456623884e-07,1.69456436258662e-05
"EDRF1",0.36862750243847,1.66674625732111e-07,1.69960072506257e-05
"TLCD4",0.36857151605016,1.67448347296805e-07,1.69960072506257e-05
"APEH",0.368464791997446,1.68932806484825e-07,1.70539951022194e-05
"SDC1",0.368379062840347,1.70134373963474e-07,1.70829546674292e-05
"OR2D3",0.367483280627397,1.83189838295274e-07,1.81018699471033e-05
"SLC22A10",0.366981152707248,1.90922709326058e-07,1.87666974703866e-05
"GABRR3",0.366886675676976,1.92412239826986e-07,1.88140889581612e-05
"REG3G",0.366557755645659,1.97685419119737e-07,1.92290254556261e-05
"PVRIG",0.366426537548059,1.99827507397944e-07,1.93366763117306e-05
"C1orf158",0.365754700888346,2.11148260748561e-07,2.02225893217442e-05
"CCDC69",0.365499262991685,2.15611759019968e-07,2.0368694226653e-05
"UBE2Q1",0.365462521924357,2.16261161976007e-07,2.0368694226653e-05
"CRYAA",0.365378542341893,2.17752559251651e-07,2.0368694226653e-05
"MINDY4",0.365357547446277,2.18126946098233e-07,2.0368694226653e-05
"OR2H1",0.365158095937925,2.21714528821087e-07,2.06006992052867e-05
"SCARF1",0.365075865930096,2.23210025615715e-07,2.06369823683124e-05
"RGS9BP",0.364752194622682,2.29191024097095e-07,2.09336661747102e-05
"SMG9",0.364729450152432,2.29617036736898e-07,2.09336661747102e-05
"TBCC",0.364689209935834,2.30372611206952e-07,2.09336661747102e-05
"LECT2",0.36460523035337,2.31957145159873e-07,2.09336661747102e-05
"ERAS",0.364601731204101,2.32023393562059e-07,2.09336661747102e-05
"DEFB107A",0.364454766934789,2.34822259421753e-07,2.10843294084647e-05
"LGALS4",0.364171335843973,2.40311711427194e-07,2.14067869223941e-05
"CCL20",0.364092604985413,2.41858251565873e-07,2.14067869223941e-05
"UNC5C",0.364034869022469,2.42998437971062e-07,2.14067869223941e-05
"CYLC1",0.364034869022469,2.42998437971062e-07,2.14067869223941e-05
"NAGLU",0.363877407305349,2.46134277318085e-07,2.14803914167877e-05
"CASP3",0.363641214729669,2.50910848299687e-07,2.17377614965246e-05
"KRTAP10-4",0.363616720684784,2.51411248835367e-07,2.17377614965246e-05
"PCNX3",0.363557235147205,2.52630491556109e-07,2.17425210152161e-05
"KRT2",0.363125090212442,2.616595636104e-07,2.231711554437e-05
"TBX21",0.363123340637807,2.61696739356234e-07,2.231711554437e-05
"C12orf54",0.362657953784986,2.71767271164288e-07,2.30705707102921e-05
"CFAP161",0.362535483560559,2.74478495614088e-07,2.3195295855605e-05
"WDR72",0.362281795238533,2.80177266677469e-07,2.3570228074182e-05
"CCDC105",0.361895139244271,2.89081536021276e-07,2.42102545593424e-05
"NBPF3",0.361784916042287,2.91669103487837e-07,2.43179115032984e-05
"IQANK1",0.361160317897711,3.06756249821777e-07,2.53162670503926e-05
"GRID2IP",0.361121827255748,3.07710035362985e-07,2.53162670503926e-05
"WDFY4",0.360938121919108,3.12301455520546e-07,2.55743060113227e-05
"RUFY4",0.360857641485914,3.14333538247435e-07,2.55743060113227e-05
"DOCK8",0.360833147441028,3.14954507528605e-07,2.55743060113227e-05
"CYP3A43",0.360654690828292,3.19514304503328e-07,2.58322474065115e-05
"MME",0.360568961671194,3.21727210472889e-07,2.58990404430676e-05
"PDILT",0.360476234215556,3.24137283071946e-07,2.5981063942711e-05
"KRTAP12-1",0.360133317587162,3.33201073240264e-07,2.64802691227028e-05
"SOHLH2",0.359863883093423,3.40492372039336e-07,2.69450658483332e-05
"CA6",0.359267278143001,3.57184946906609e-07,2.80285128925539e-05
"AGER",0.359183298560537,3.59596624292939e-07,2.80996926999788e-05
"MS4A2",0.35861818595354,3.76235298566395e-07,2.9277376816775e-05
"GLT6D1",0.358511461900825,3.79459237452417e-07,2.94057291230761e-05
"F11",0.358156298249988,3.90379609292274e-07,3.00030023997634e-05
"NTN1",0.357920105674308,3.97807787120924e-07,3.04485993125835e-05
"ACCS",0.357808132897689,4.01376383650002e-07,3.05912319088938e-05
"SLC12A8",0.357759144807919,4.02947261168766e-07,3.05912319088938e-05
"SOX30",0.357701408844975,4.04806207238451e-07,3.06079381635033e-05
"CLDN18",0.357608681389337,4.07808976163804e-07,3.07106469307871e-05
"SDR16C5",0.357514204359065,4.10890320460549e-07,3.08184241964707e-05
"TMEM106A",0.357146793685785,4.23086489971354e-07,3.160625314682e-05
"VWC2L",0.357019074737454,4.27406684868963e-07,3.17859505285086e-05
"CFAP20DC",0.356975335371588,4.28895884192769e-07,3.17859505285086e-05
"SLFN13",0.35680387705739,4.34781570041296e-07,3.20021225254044e-05
"C5AR2",0.35670240172858,4.38301260215391e-07,3.20021225254044e-05
