"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Synthesis Of PC R-HSA-1483191",0.0401267159450898,0.60629289840299,0.231126709673834,0.428812741665848,1.45576407597805,27,"LPIN1;LPIN3;PCYT1B;PCYT1A;PCTP;STARD7;SLC44A5;STARD10;BCHE;ABHD3;LPIN2;SH2D3C;CHPT1;SLC44A3;CHKA"
"Interferon Alpha/Beta Signaling R-HSA-909733",0.0474773464492002,0.622353649840118,0.321775918075361,-0.190771564730218,-1.34891254500012,67,"HLA-B;IRF9;HLA-C;IFITM3;HLA-A;IFI6;IFITM2;HLA-E;IFITM1;USP18;IFNA14;IFNA16;JAK1;BST2;KPNB1;PTPN11"
"Late SARS-CoV-2 Infection Events R-HSA-9772573",0.0443120179796457,0.622353649840118,0.321775918075361,-0.204870995271779,-1.32729005978092,57,"DAD1;RPS27A;SRPK2;CANX;ST3GAL2;MAN2A1;PRMT1;GOLGA7;ST6GALNAC3;ZDHHC20;MAGT1;ZDHHC3;ZDHHC11"
"Neurexins And Neuroligins R-HSA-6794361",0.0458715596330275,0.622353649840118,0.211400189384923,0.35377512357707,1.36481294914337,57,"SHANK1;SYT7;SHANK2;GRIN2D;SHANK3;DLGAP1;EPB41L1;SIPA1L1;NRXN2;MPP3;APBA1;HOMER1;SYT1;LRRTM1;STXBP1;DLGAP3;LRRTM4;GPRIN1;LRRTM3;STX1A;HOMER2;NRXN1;NRXN3;EPB41L3;GRM5;EPB41;SYT12;NLGN1;NLGN4X;CASK;LIN7C;LIN7A;SYT10"
"Nucleotide Salvage R-HSA-8956321",0.0457933972310969,0.622353649840118,0.216542836735348,0.442724389034473,1.45745590726286,23,"HPRT1;AMPD3;TK1;TK2;PUDP;SCO2;ADAL;AMPD1;PPY;UCKL1;UPP2;ADA;CDA"
"Polymerase Switching On C-strand Of Telomere R-HSA-174411",0.044881694469442,0.622353649840118,0.321775918075361,-0.292745697281647,-1.49260298517319,25,"POLD2;TERF2IP;TINF2;CTC1;POLD1;POLD3;POLD4;TERF2;PCNA;POT1;CHTF8;STN1;POLA2;PRIM2;PRIM1;ACD;POLA1;CHTF18;DSCC1;TERF1;SLC19A1;RFC3;RFC5;RFC2;RFC4"
"Protein-protein Interactions At Synapses R-HSA-6794362",0.0462311557788945,0.622353649840118,0.208955027549354,0.324956665118207,1.3140422514498,88,"SHANK1;SLITRK3;SYT7;SHANK2;PPFIA4;SLITRK5;SLITRK4;GRIN2D;GRIA4;SHANK3;DLGAP1;EPB41L1;SIPA1L1;NRXN2;MPP3;PPFIA1;APBA1;HOMER1;GRIA1;SYT1;LRRTM1;STXBP1;IL1RAPL2;LRFN3;DLGAP3;LRRTM4;GRIA3"
"SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577",0.0465276188786279,0.622353649840118,0.321775918075361,-0.206835720128628,-1.37363450766165,58,"PSMB7;CDKN1B;PSMB6;RPS27A;PSME1;PSMD4;PTK6;PSMD3;SEM1;CDK2;PSMD8;PSMC4;PSMB1;UBA52;PSMD14;PSMA2"
"cGMP Effects R-HSA-418457",0.0474040632054176,0.622353649840118,0.219250346703755,0.506742202309966,1.49360174666675,15,"ITPR1;PDE1B;PDE1A;PDE2A;IRAG1;PDE5A;PRKG1;KCNMB1;PDE11A"
"Cardiac Conduction R-HSA-5576891",0.0500500500500501,0.632881939597003,0.199915231309662,0.307526141177629,1.27602777763785,125,"CAMK2A;FXYD7;CACNB1;FXYD1;ITPR1;CAMK2B;NPPA;SLC8A2;CALM1;PRKCA;AKAP9;KCND3;FGF13;ORAI2;CAMK2G;ATP1A2;SCN1B;PLN;SCN10A;SLC8A1;SCN2B;KCNE5;ATP1A3;FGF12;SCN2A;SLC8A3;TNNI3;KCNK16;KCNK10;SCN9A;SCN5A;SLN;ATP2B3;CACNB2;SCN1A;KCNIP2;KCNK18;ORAI1;KCNK3;NPPC;DMPK;SCN7A;FXYD3;NPRL2;ATP2A2;CACNA2D2;CORIN;ATP1B3;KCNJ14;TRDN;SCN4A;NKX2-5;NANOS1;CACNA1C;ATP1B2;SCN11A;RYR3;SCN3B;CLIC2;SCN3A;HIPK1;RYR2;ATP2B1;KCNE4;KCNK12"
"Defensins R-HSA-1461973",0.0500510725229826,0.632881939597003,0.20207170902116,0.387799796805293,1.40170946919001,39,"DEFB115;DEFB107A;DEFB128;DEFB118;DEFB132;DEFB135;DEFB131A;CCR2;DEFB119;DEFB121;DEFB124;CCR6;DEFB106A;DEFB126;DEFB136;DEFB127;DEFB130A"
"Dopamine Neurotransmitter Release Cycle R-HSA-212676",0.0489882854100106,0.632881939597003,0.208955027549354,0.440506693638404,1.45015521785978,23,"CPLX1;PPFIA4;SYN2;PPFIA1;RIMS1;APBA1;SYT1;SLC18A2;STXBP1;STX1A;SNAP25;SYN3;RAB3A;CASK;LIN7C;LIN7A;SYN1"
"Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360",0.0506072874493927,0.632881939597003,0.199915231309662,0.33845133584639,1.32882374641313,67,"CAPZA1;EZR;ESPNL;USH1C;CLIC5;PJVK;EPB41L1;TMC1;BSN;TMC2;GRXCR2;MYO3A;GRXCR1;TRIOBP;CABP1;MYO3B;CACNB2;KCNMB1;EPS8;STX1A;RIPOR2;CAPZA2;TWF1;CACNA1D;CACNA2D2;CIB2;SNAP25;MYO1E;EPB41L3;CABP2;RAB3A;XIRP2;SPTAN1;ATP2B1;CASK;ESPN;SPTBN1;STRC;LHFPL5;SYN1;TWF2"
"Aggrephagy R-HSA-9646399",0.0537891128190431,0.633496974540473,0.321775918075361,-0.276038807876895,-1.37418897734512,23,"DYNC1LI2;DYNC1I2;RPS27A;DYNC1H1;VCP;HSP90AA1"
"Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769",0.0540827147401909,0.633496974540473,0.197822021315103,0.427309568232554,1.42532390902427,25,"CASP3;TLR4;DCC;FASLG;CASP8;TANK;UNC5B"
"GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475",0.0527577094446142,0.633496974540473,0.321775918075361,-0.288198682943858,-1.44160854708915,26,"B3GAT3;HSPG2;XYLT1;BGN;B4GALT7;DCN;B3GALT6;NCAN;GPC4;AGRN;CSPG4"
"Intraflagellar Transport R-HSA-5620924",0.0521472392638037,0.633496974540473,0.197822021315103,0.381002825614788,1.38741870649394,41,"KIF3C;KIF17;IFT20;HSPB11;TTC21B;WDR35;DYNC2LI1;DYNLRB2;DYNLT2B;IFT88;IFT140;KIF3B;DYNC2I2;IFT57;TRAF3IP1;IFT74;DYNLL1;DYNLT5;IFT80;CLUAP1;IFT81"
"Kinesins R-HSA-983189",0.0552712384851586,0.633496974540473,0.191892240384838,0.374536016680805,1.36873681641664,42,"KIF3C;KIF4A;KIF5A;KIF20A;KIF26B;KIF15;KIF27;KIF16B;KIF3B;KIFC2;KIF23;KIF19;KIF9;KIF18A;KIF2B;KIF6;KIF1B;KIF21B;KIF25;KIF22;KIF13B;KLC4;KLC3;KIF4B;KIF20B;KIF2A;KIFC1;CENPE;KIF11;KIFAP3;KIF3A;KLC1;KIF26A"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314",0.0539460539460539,0.633496974540473,0.191892240384838,0.291209229789626,1.24328280345985,182,"CAMK2A;CACNG3;NEFL;GLRB;NRGN;PRKAR1B;GNG13;KIF17;KCNJ6;NBEA;GRIN2D;GABRB1;GRIA4;GABRA2;CAMK2B;ADCY1;EPB41L1;CALM1;PRKCA;LGALS12;KCNJ15;CHRNB2;UBD;GABBR2;CAMK2G;CHRNA6;MPP3;HTR3C;CACNG2;APBA1;CHRNA9;GRIA1;GABRB2;PLCB2;CAMK1;ADCY2;PRKAB2;PRKAG3;GNB1;MAPK1;GNB4;GNG10;PRKCB;PRKAA2;GABRR3;GABRA5;CHRNA5;GABRA3;MDM2;KPNA2;GLRA3;GRIN3B;ARHGEF9;GRIA3;PRKAG2;PPM1E;MAPT;GPRIN1;PLCB1;NPTN;GABRB3;GNAL;MAPK3;GNG4"
"RNA Polymerase III Transcription Termination R-HSA-73980",0.0553145336225597,0.633496974540473,0.197822021315103,0.442340324047275,1.42144965148972,21,"POLR3C;NFIA;POLR3G;POLR3H;CRCP;POLR1D;SSB;POLR3GL;POLR3F;POLR3D"
"TRP Channels R-HSA-3295583",0.0551431601272534,0.633496974540473,0.195789002148949,0.427161194154723,1.42482899588322,25,"TRPC4;TRPV1;TRPC6;TRPM6;TRPC7;TRPM3;TRPM8;TRPM2;TRPC5;TRPM1;TRPV6;MCOLN2;TRPV2;MCOLN3;TRPC4AP;TRPM7;TRPA1;TRPM4;TRPV3"
"PKA Activation R-HSA-163615",0.0593505039193729,0.665704621281214,0.193813302725311,0.479371253796532,1.4545890394171,17,"PRKAR1B;NBEA;ADCY1;CALM1;PRKCA;ADCY2;PRKACG;ADCY5;ADCY7"
"RAF Activation R-HSA-5673000",0.0588235294117647,0.665704621281214,0.188204146308491,0.411948711685009,1.42893072106437,31,"CAMK2A;JAK2;CAMK2B;RNASE3;CALM1;MRAS;CAMK2G;PPP2R5C"
"Signaling By FLT3 Fusion Proteins R-HSA-9703465",0.0623949468343342,0.692711246487302,0.321775918075361,-0.314629116990731,-1.48378040581898,18,"GAB2;PIK3R1;GRB2;LONP1;GOLGB1;ZMYM2;CDKN1A;STAT5B;TRIP11;HRAS;ETV6;NRAS;NOX4;PIK3CA;MYO18A;SPTBN1;SOS1"
"IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467",0.06494960806271,0.69493278179938,0.184706471207739,0.471784391496122,1.43156770332666,17,"CNTF;JAK2;IL31RA;IL11;CRLF1;CLCF1;CNTFR;TYK2;OSMR"
"NIK To Noncanonical NF-kB Signaling R-HSA-5676590",0.064493172911009,0.69493278179938,0.287805130535564,-0.197024547117606,-1.27645556939439,57,"FBXW11;PSMB7;PSMB6;RPS27A;UBA3;NFKB2;PSME1;PSMD4;PSMD3;SEM1;PSMD8;PSMC4;PSMB1;UBA52;PSMD14;PSMA2"
"Nucleotide Catabolism R-HSA-8956319",0.0651499482936918,0.69493278179938,0.176694268938498,0.391116405367686,1.38697331788891,34,"NT5C3A;XDH;ENTPD2;ENTPD4;NT5C2;SCO2;ENTPD7;DPYS;PPY;NUDT9;NT5M;NT5C1A;UPP2;UPB1;NUDT15;SAMHD1;ADPRM;NT5E;ENTPD5;ITPA;GDA;ENTPD1;NUDT16;NUDT5"
"RET Signaling R-HSA-8853659",0.0633946830265849,0.69493278179938,0.178219874951973,0.376976962380937,1.36743811502475,40,"SHC3;DOK6;SHANK3;GFRA4;DOK4;PRKCA;GDNF;GFRA2;PSPN;DOK5;PIK3R3;DOK1;RAP1GAP;RET;FRS2;DOK2;GRB7;PRKACG"
"Nucleotide-like (Purinergic) Receptors R-HSA-418038",0.0699774266365688,0.735264546982369,0.178219874951973,0.487332334524346,1.4363919617011,15,"ADORA2B;P2RY12;ADORA1;LPAR6;P2RY6;P2RY14;P2RY2;LPAR4;P2RY13;P2RY1;ADORA3"
"Processing Of Capped Intronless Pre-mRNA R-HSA-75067",0.0702826405203735,0.735264546982369,0.287805130535564,-0.269840878396633,-1.47025651863065,29,"SNRPD3;SNRPG;CPSF2;CSTF3;WDR33;PCF11;SNRPB;SNRPE;CPSF7;NCBP2;CSTF2;CSTF2T;FIP1L1;PAPOLA;CSTF1;NCBP1;PABPN1;CPSF3;CPSF1;COLEC12;SYMPK;NUDT21;CPSF6;ZNF473;SNRPF;SLBP;LSM10;CPSF4"
"Interaction Between L1 And Ankyrins R-HSA-445095",0.0720250521920668,0.746316731285416,0.16823816568964,0.406923184375066,1.40174938234038,29,"L1CAM;SPTBN2;ANK2;KCNQ2;SCN1B;SCN10A;SCN2B;SPTBN4;SCN2A;SCN9A;SCN5A;SCN1A;NRCAM;ANK1;SPTA1;SCN7A;SCN4A;SCN11A;SCN3B;SCN3A;SPTAN1;SPTBN5;SPTBN1;SCN4B"
"Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361",0.0733197556008147,0.752323509136404,0.16440575583821,0.348943828944373,1.33015710598676,53,"EZR;OTOG;OTOGL;CHRNA10;ESPNL;USH1C;CLIC5;PJVK;EPB41L1;TMC1;CHRNA9;TMC2;GRXCR2;MYO3A;GRXCR1;TRIOBP;MYO3B"
"Signal Transduction By L1 R-HSA-445144",0.0739876980492603,0.752323509136404,0.287805130535564,-0.301628330772478,-1.47306889327569,20,"RNASE1;NCAM1;ITGB1;ITGAV"
"Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427",0.0748042757379376,0.753583814841446,0.287805130535564,-0.300028599005248,-1.38462271267402,17,"HLA-DRB1;PTPRJ;HLA-DRA;CSK"
"Visual Phototransduction R-HSA-2187338",0.0763052208835341,0.761652113039313,0.159646701919906,0.313080727421202,1.27370092940497,95,"GPC2;AKR1C4;BCO1;AKR1C1;RGS9BP;CALM1;GUCA1C;PRKCA;LRP12;GPC3;NAPEPLD;ABCA4;GRK4;RIMBP2;GNB1;SDC1;GPC6;APOC2;GNAT1;TTR;METAP1;DHRS9;NMT2;SDC3;LRP8;RDH5;CAMKMT;GPIHBP1;PPEF1;RLBP1;RBP3;RDH10;RHO;GUCY2D;RDH8;APOA4;OPN1MW3;HSD17B6;DHRS3;PLB1;LDLR;GRK1;OPN1LW;GRK7;LPL"
"Class I Peroxisomal Membrane Protein Import R-HSA-9603798",0.0772578890097933,0.76415075675141,0.165656695205483,0.432764126051248,1.37497268857208,20,"PEX13;ACBD5;GDAP1;PEX26;ABCD2;PEX14;SLC25A17;PXMP4"
"Phase I - Functionalization Of Compounds R-HSA-211945",0.0790790790790791,0.775117459802144,0.156312403073186,0.309417312434036,1.26239836127151,100,"FMO3;CYP3A5;ADH7;CYP24A1;ADH1A;MTARC1;CYP21A2;CYP1A1;CYP3A43;CYP4F2;CYP39A1;NR1H4;MTARC2;CYP2E1;CYP1A2;CYP4B1;CES3;CYP11A1;CYP2F1;BPHL;AOC2;MAOB;ADH6;AHR;CYP2C9;TBXAS1;FMO4;NCOA1;SMOX;CYP26A1;CYP4F11;CYP8B1;ACSS1;CYP2C19;FDXR;CYP26C1;CYP3A4;CYP2C18;AOC1;CMBL;CYP2B6;CYP7A1;CYP2R1;CYP27B1;FMO1;ALDH1A1;CYP2U1;ACSS2;FDX1;ARNT2;POMC"
"Regulation Of MECP2 Expression And Activity R-HSA-9022692",0.0798319327731092,0.775510204081633,0.159646701919906,0.395098023760845,1.3704805670454,31,"CAMK2A;CAMK2B;CALM1;PRKCA;AURKB;HDAC3;AGO4;CAMK2G;TNRC6C"
"BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922",0.080937167199148,0.779288831085602,0.159646701919906,0.421918089869068,1.38896123116645,23,"BBS7;BBS12;BBS9;TTC8;BBS4;LZTFL1;RAB3IP;SMOX"
"Interleukin-6 Family Signaling R-HSA-6783589",0.0850159404888417,0.804324723929215,0.155241966228839,0.412425953723113,1.36552292768259,24,"CNTF;JAK2;IL31RA;IL11;CRLF1;CBL;CLCF1;CNTFR;TYK2;IL6R;OSMR"
"NRIF Signals Cell Death From Nucleus R-HSA-205043",0.0844768778568001,0.804324723929215,0.287805130535564,-0.347050027074774,-1.46738260163179,15,"PSENEN;SQSTM1;RPS27A;PSEN1"
"Cytochrome P450 - Arranged By Substrate Type R-HSA-211897",0.0871327254305978,0.80446589130609,0.149207542435322,0.329148825532816,1.28373320525257,62,"CYP3A5;CYP24A1;CYP21A2;CYP1A1;CYP3A43;CYP4F2;CYP39A1;NR1H4;CYP2E1;CYP1A2;CYP4B1;CYP11A1;CYP2F1;AHR;CYP2C9;TBXAS1;NCOA1;CYP26A1;CYP4F11;CYP8B1;CYP2C19;FDXR;CYP26C1;CYP3A4;CYP2C18;CYP2B6;CYP7A1;CYP2R1;CYP27B1;CYP2U1;FDX1;ARNT2;POMC"
"Netrin-1 Signaling R-HSA-373752",0.08646998982706,0.80446589130609,0.150169802128406,0.345537643633764,1.30054741013166,49,"EZR;NTN1;TRPC4;UNC5C;DCC;MAPK8;MAPK11;SLIT2;TRPC6;UNC5B;TRPC7;AGAP2;HJV;ROBO1;TRPC5;ABLIM2;MAPK12;MAPK14;RGMB;NTN4;ABLIM1;MAPK13"
"TRAF6 Mediated NF-kB Activation R-HSA-933542",0.0872490580644473,0.80446589130609,0.287805130535564,-0.275828327649966,-1.39772796478002,24,"HMGB1;S100B;SAA2;APP"
"Negative Regulation Of NOTCH4 Signaling R-HSA-9604323",0.0908252144309102,0.823481944173586,0.287805130535564,-0.188044595358749,-1.21475151815788,52,"PSMB7;PSMB6;RPS27A;RBX1;PSME1;PSMD4;PSMD3;SEM1;PSMD8;PSMC4;PSMB1;UBA52;PSMD14;PSMA2"
"RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243",0.0904715895922481,0.823481944173586,0.287805130535564,-0.237919349340819,-1.38584860323498,34,"CBX4;SMARCB1;SMARCE1;HIPK2;CBFB;CBX2"
"RHO GTPases Activate WASPs And WAVEs R-HSA-5663213",0.0935373719741493,0.841063311635326,0.287805130535564,-0.236954881117537,-1.35340546390062,33,"RNASE1;ARPC5;CDC42;WASF2;ABL1;ACTR3;GRB2;PTK2"
