"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Ribosomal Scanning And Start Codon Recognition R-HSA-72702",1.5009621560969e-34,6.91475643864756e-32,1.52970525162309,0.846499030953757,5.17712778903464,57,"RPS20;RPS29;RPS12;RPS14;RPS17;RPS27A;RPS7;RPS28;RPS6;RPS10;RPS23;RPS8;RPS3A;RPS19;RPS3;FAU;RPS25;RPS21;RPS27;RPS4X;RPS11;RPSA;RPS9;RPS16;RPS24;EIF4B;RPS15;RPS13;RPS2;EIF3L;RPS5;EIF4H;EIF3C;EIF3A;EIF3J;EIF5;EIF3K;EIF3F;EIF4A2;RPS15A;RPS4Y1"
"Translation Initiation Complex Formation R-HSA-72649",1.13565257249865e-34,6.91475643864756e-32,1.52970525162309,0.847353575695067,5.18235412381523,57,"RPS20;RPS29;RPS12;RPS14;RPS17;RPS27A;RPS7;RPS28;RPS6;RPS10;RPS23;RPS8;RPS3A;RPS19;RPS3;FAU;RPS25;RPS21;RPS27;PABPC1;RPS4X;RPS11;RPSA;RPS9;RPS16;RPS24;EIF4B;RPS15;RPS13;RPS2;EIF3L;RPS5;EIF4H;EIF3C;EIF3A;EIF3J;EIF3K;EIF3F;EIF4A2;RPS15A;RPS4Y1"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",2.06410639959629e-34,6.91475643864756e-32,1.52292160289117,0.838829752321167,5.27318492359899,58,"RPS20;RPS29;RPS12;RPS14;RPS17;RPS27A;RPS7;RPS28;RPS6;RPS10;RPS23;RPS8;RPS3A;RPS19;RPS3;FAU;RPS25;RPS21;RPS27;PABPC1;RPS4X;RPS11;RPSA;RPS9;RPS16;RPS24;EIF4B;RPS15;RPS13;RPS2;EIF3L;RPS5;EIF4H;EIF3C;EIF3A;EIF3J;EIF3K;EIF3F;EIF4A2;RPS15A;RPS4Y1"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",1.01959156495852e-30,2.56172380695828e-28,1.43902565267782,0.849943208661239,4.76925166388811,50,"RPS20;RPS29;RPS12;RPS14;RPS17;RPS27A;RPS7;RPS28;RPS6;RPS10;RPS23;RPS8;RPS3A;RPS19;RPS3;FAU;RPS25;RPS21;RPS27;RPS4X;RPS11;RPSA;RPS9;RPS16;RPS24;RPS15;RPS13;RPS2;EIF3L;RPS5;EIF3C;EIF3A;EIF3J;EIF3K;EIF3F;RPS15A;RPS4Y1"
"SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678",2.70474275149847e-23,5.43653293051193e-21,1.24623277191648,0.798887428333844,4.37250464508776,47,"RPS20;RPS29;RPS12;RPS14;RPS17;RPS27A;RPS7;RPS28;RPS6;RPS10;RPS23;RPS8;RPS3A;RPS19;RPS3;FAU;RPS25;RPS21;RPS27;RPS4X;RPS11;RPSA;RPS9;RPS16;RPS24;RPS15;RPS13;RPS2;RPS5;SNRPD3;SMN1;RPS15A;RPS4Y1;SNRPD2"
"Complex I Biogenesis R-HSA-6799198",3.73447967250856e-09,6.25525345145183e-07,0.761460801445585,0.482986998799501,2.69497240083507,51,"NDUFA3;NDUFA1;NDUFB8;NDUFB7;NDUFS5;NDUFB2;NDUFS2;NDUFV2;TMEM126B;NDUFB3;NDUFB1;NDUFAF3;NDUFB6;NDUFA10;NDUFA13;NDUFAB1;NDUFS3;NDUFB4;NDUFS6;NDUFS4;COA1;NDUFA5;NDUFB10;NDUFA12;ACAD9"
"Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958",9.70567967572131e-09,1.39345829629999e-06,0.747739663149885,0.607559052561329,2.98870999671185,30,"TUBA1C;TUBB4B;TUBB4A;CCT3;PFDN5;TUBB2B;CCT4;PFDN1;CCT5;CCT8;VBP1;PFDN2;CCT7;TUBA4A"
"Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957",1.30807040108363e-08,1.64326344136131e-06,0.747739663149885,0.6583588416936,3.08122510898627,26,"TUBA1C;TUBB4B;TUBB4A;CCT3;PFDN5;TUBB2B;CCT4;PFDN1;CCT5;CCT8;VBP1;PFDN2;CCT7;TUBA4A"
"Selective Autophagy R-HSA-9663891",5.0971159496493e-08,5.69177947710839e-06,0.719512826338911,0.41825533521779,2.62120606342666,60,"RPS27A;DYNC1LI2;TOMM7;DYNLL2;HSP90AA1;UBA52;TOMM40;PARK7;DYNLL1;SQSTM1;DYNC1H1;NBR1;PINK1;VDAC1;UBE2V1;HSPA8;DYNC1I2;MFN1;PEX5;TOMM5;CSNK2B;TOMM20;TOMM6;VCP;CSNK2A2;EPAS1;PLIN3;MFN2;ATG12"
"HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497",1.24732787195093e-07,1.25356451131068e-05,0.690132458796796,0.526141348636091,2.73169445756648,38,"DYNC1LI2;HSPA2;DYNLL2;HSP90AA1;CAPZB;HSP90AB1;DYNLL1;DYNC1H1;FKBP4;ACTR10;STIP1;DCTN5;DNAJA1;HSPA8;DYNC1I2;HSPA1A;PTGES3"
