"gene","statistic","p.value","p_adj"
"USP17L12",0.580646205391314,1.61815867520333e-18,2.36099464203885e-16
"NXF2",0.510979893013511,4.97349065028442e-14,3.70059407907219e-12
"USP17L11",0.507972374216519,7.3805777726636e-14,5.44820831945713e-12
"GPAT2",0.499663644276485,2.15299448997753e-13,1.48923426277112e-11
"KRTAP10-3",0.496297462679386,3.29504457389981e-13,2.18997339722964e-11
"PXK",0.495249467473221,3.75827940165399e-13,2.48899383352092e-11
"PRMT8",0.491267435604719,6.17006376751834e-13,3.98727027412361e-11
"TRIM72",0.488571341092697,8.59981051634432e-13,5.50034456175502e-11
"MBP",0.487763037611481,9.49456740516894e-13,5.97038858110893e-11
"USP17L3",0.48598197063339,1.17976844681645e-12,7.39374346065234e-11
"USP17L15",0.484960219046744,1.33555264986853e-12,8.25919910229953e-11
"PHAX",0.479638013008087,2.53142738996672e-12,1.48669616147857e-10
"MUC5B",0.478448302256514,2.91601616092993e-12,1.68084931547924e-10
"OR2A14",0.477526276424044,3.25260380814253e-12,1.86909626833446e-10
"KRTAP12-3",0.474028876729345,4.9079501533116e-12,2.76086979106167e-10
"SGCA",0.473577486473601,5.17383688651375e-12,2.87579100275389e-10
"NKX6-2",0.471679197994987,6.45362685778818e-12,3.52420863146351e-10
"BMERB1",0.47021830317504,7.64321528193756e-12,4.13752720595553e-10
"PERCC1",0.469030341998102,8.76528121507368e-12,4.70403425208954e-10
"PLEKHG6",0.467168794586816,1.08524419962826e-11,5.70930159781899e-10
"C11orf21",0.466869617324288,1.12300957800426e-11,5.87488147865758e-10
"ELOA3P",0.466558193039317,1.16367657863877e-11,6.05371136007178e-10
"KRTAP5-8",0.466215276410923,1.21011136504802e-11,6.26039885142296e-10
"PLLP",0.465420969526784,1.32469019190734e-11,6.83423039338715e-10
"KRTAP4-7",0.463664396593578,1.61674582445102e-11,8.2049850590889e-10
"AURKAIP1",0.461591150651498,2.04237923813212e-11,1.02536222181063e-09
"CD99",0.461059279962559,2.16802397496576e-11,1.08262074215135e-09
"SPDYE16",0.460177494346687,2.39304626971502e-11,1.19180085688527e-09
"GJC2",0.454536865724521,4.47105501913365e-11,2.12471815616641e-09
"MOBP",0.453604342444243,4.95235659764624e-11,2.34008892589493e-09
"ELN",0.45309696580019,5.23496975614142e-11,2.46267746009313e-09
"TRAF3IP2",0.447615548469778,9.47954202798286e-11,4.36058933287212e-09
"SLC31A2",0.447337366102866,9.76680478762418e-11,4.47070701504091e-09
"CRYAB",0.446572801987517,1.06004919356733e-10,4.81690480269183e-09
"CGB2",0.445734755737511,1.15935693460752e-10,5.24265135853027e-09
"RSF1",0.445598288916007,1.17635973977206e-10,5.3066894927495e-09
"COL1A2",0.444933450554834,1.26271226603679e-10,5.66884958665942e-09
"TMEM255B",0.443456809563175,1.47705339239816e-10,6.5213827792974e-09
"CTAGE9",0.442202364550119,1.68649798860187e-10,7.39367052467806e-09
"ORAI3",0.442153376460348,1.69523548680945e-10,7.41457094886492e-09
"GH1",0.441056393164412,1.90278957210902e-10,8.26430187179257e-09
"MKRN3",0.440011897107516,2.12317346692161e-10,9.11549141798346e-09
"TP53INP2",0.439088121700412,2.33853993622217e-10,9.94864962389185e-09
"PAIP2B",0.438122356502075,2.58628717561111e-10,1.09527209278261e-08
"BCAS1",0.437812681791739,2.67097869746803e-10,1.12349545391696e-08
"TMEM88B",0.437165339176913,2.85678290547234e-10,1.19358562735126e-08
"PTK6",0.437077860445179,2.88283235946788e-10,1.20178073985317e-08
