"inferred_celltype","best_marker_celltype","best_rho","self_rho","self_is_best"
"ExNeuron3","ExNeuron1",0.880874962274797,-0.11812865497076,FALSE
"ExNeuron4","ExNeuron1",0.87723234788542,-0.205213732411307,FALSE
"ExNeuron1","ExNeuron1",0.818929522759779,0.818929522759779,TRUE
"ExNeuron6","ExNeuron1",0.763716446438959,NA,FALSE
"Astrocytes4","ExNeuron1",0.737560305650689,0.318710388536787,FALSE
"Astrocytes2","ExNeuron1",0.71086529587494,0.0138872486626689,FALSE
"ExNeuron7","ExNeuron1",0.656568996662686,0.348381424766104,FALSE
"Astrocytes1","ExNeuron1",0.64551868327013,0.135382960017846,FALSE
"ExNeuron8","ExNeuron1",0.60622323697551,0.235173448455344,FALSE
"ExNeuron9","ExNeuron1",0.57719954336102,0.162868777528463,FALSE
"VLMC1","SMC",0.561691313799332,0.465748139983466,FALSE
"ExNeuron12","ExNeuron1",0.554164643720995,NA,FALSE
"ExNeuron14","ExNeuron1",0.543364519501196,0.0696181990753498,FALSE
"Microglia5","Microglia5",0.519320115296968,0.519320115296968,TRUE
"ExNeuron2","Pericytes",0.504490720693531,0.408033171935073,FALSE
"OPC3","OPC1",0.489722561202308,0.343927007746242,FALSE
"ExNeuron5","Astrocytes4",0.482138155161026,0.331286331010773,FALSE
"Fibroblast","InhNeuron1",0.46512704098816,0.403865685155297,FALSE
"ExNeuron10","Pericytes",0.458039514143124,NA,FALSE
"OPC1","OPC1",0.444711254576231,0.444711254576231,TRUE
"Oligodendrocytes5","Microglia5",0.444685010956711,0.367934670883142,FALSE
"Astrocytes5","Astrocytes2",0.442412313506279,0.23779606083271,FALSE
"Microglia1","Microglia5",0.431598192689402,0.287555713017273,FALSE
"ExNeuron13","Astrocytes4",0.430476715348581,0.22232807148762,FALSE
"InhNeuron5","Astrocytes4",0.413322136055671,0.301520817751184,FALSE
"Microglia3","ExNeuron7",0.40715488546847,0.362717439322565,FALSE
"InhNeuron1","Astrocytes2",0.407126892274316,0.319312242211112,FALSE
"InhNeuron4","Astrocytes4",0.401129350426677,0.400679709745568,FALSE
"SMC","OPC2",0.399922143928757,0.259760220796319,FALSE
"Oligodendrocytes7","Oligodendrocytes8",0.398709688706933,-0.00255175460466174,FALSE
"Pericytes","SMC",0.397591710515381,0.338767512148609,FALSE
"InhNeuron3","InhNeuron3",0.394717159390623,0.394717159390623,TRUE
"Oligodendrocytes6","Oligodendrocytes8",0.39467866874866,0.214388501795501,FALSE
"Oligodendrocytes3","Microglia5",0.389503426979316,0.327895655368788,FALSE
"ExNeuron11","Astrocytes4",0.385587878946931,0.350538650290648,FALSE
"Oligodendrocytes1","Oligodendrocytes8",0.360266285259396,-0.194910487387754,FALSE
"Microglia4","Oligodendrocytes8",0.359400245815236,0.100877849072944,FALSE
"VLMC2","Oligodendrocytes8",0.348992026313602,0.178726922017085,FALSE
"Astrocytes3","Astrocytes2",0.329639981279551,0.26061926194194,FALSE
"Oligodendrocytes4","Microglia5",0.329171095277461,0.210042558402988,FALSE
"InhNeuron2","ExNeuron2",0.325911637733076,0.268488848648672,FALSE
"OPC2","Oligodendrocytes8",0.295407803977658,0.103843378078705,FALSE
"Oligodendrocytes2","Oligodendrocytes2",0.282364725076216,0.282364725076216,TRUE
"Endothelial","SMC",0.243483927970012,0.19729690718944,FALSE
"Oligodendrocytes8","ExNeuron1",0.225062656641604,0.151872700949582,FALSE
"Microglia2","Oligodendrocytes5",0.134984057001142,0.0692297935064537,FALSE
