"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Peptide Chain Elongation R-HSA-156902",9.21841403703979e-19,1.05089920022254e-15,1.11466447751729,-0.567282132662894,-3.37932898367184,83,"RPLP2;RPS16;RPS6;RPS29;RPLP0;RPS12;RPL11;RPS17;RPL12;RPL23;RPS19;RPL36;RPS3;RPL19;RPS27A;RPS7;RPL30;RPL18;RPL39;RPS9;RPLP1;RPL8;RPS13;RPL21;RPL27;RPL18A;RPL28;RPL37;RPS2;RPL36AL;RPL29;RSL24D1;RPL9;RPS27;RPL32;RPS20;RPL5;RPS23;RPL34;RPS5;RPS14;RPL27A"
"Eukaryotic Translation Elongation R-HSA-156842",3.81670876948721e-18,2.17552399860771e-15,1.0959292864312,-0.548649817522395,-3.37718401522464,87,"RPLP2;RPS16;RPS6;RPS29;RPLP0;RPS12;RPL11;RPS17;EEF1D;RPL12;RPL23;RPS19;RPL36;RPS3;RPL19;RPS27A;RPS7;RPL30;RPL18;RPL39;RPS9;RPLP1;RPL8;RPS13;RPL21;RPL27;RPL18A;RPL28;RPL37;RPS2;EEF1B2;RPL36AL;RPL29;RSL24D1;RPL9;RPS27;RPL32;RPS20;RPL5;RPS23;RPL34;RPS5;RPS14;RPL27A"
"Selenocysteine Synthesis R-HSA-2408557",7.61581885273725e-18,2.89401116404016e-15,1.0864405425825,-0.53522755604032,-3.38422266422118,89,"RPLP2;RPS16;RPS6;RPS29;RPLP0;RPS12;RPL11;RPS17;RPL12;RPL23;RPS19;RPL36;RPS3;RPL19;RPS27A;RPS7;RPL30;RPL18;RPL39;RPS9;RPLP1;RPL8;RPS13;RPL21;RPL27;RPL18A;RPL28;RPL37;RPS2;RPL36AL;RPL29;RSL24D1;RPL9;RPS27;RPL32;RPS20;RPL5;RPS23;RPL34;RPS5;RPS14;RPL27A"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",1.27609478386135e-17,3.63687013400485e-15,1.0864405425825,-0.533078553118372,-3.44985057136434,91,"RPLP2;RPS16;RPS6;RPS29;RPLP0;RPS12;RPL11;RPS17;RPL12;RPL23;RPS19;RPL36;RPS3;RPL19;RPS27A;RPS7;RPL30;RPL18;RPL39;RPS9;RPLP1;RPL8;RPS13;RPL21;RPL27;RPL18A;RPL28;RPL37;PABPC1;RPS2;RPL36AL;RPL29;RSL24D1;RPL9;RPS27;RPL32;RPS20;RPL5;RPS23;RPL34;RPS5;RPS14;RPL27A"
"Neuronal System R-HSA-112316",1.82486070112655e-17,4.16068239856853e-15,1.07686819261983,0.446801901601536,1.85408112418409,386,"KCNAB2;NRGN;NEFL;PRKAR1B;SHANK1;CAMK2A;SYN2;SLC1A2;SYT1;CAMK2G;CALM1;EPB41L1;ADCY1;GABRB2;STXBP1;SYT7;GLRB;CACNB1;SLC17A7;NRXN2;PRKCB;CAMK2B;NPTN;MAPK1;GNB1;STX1A;CACNB4;GABBR2;CACNG3;ADCY2;TSPAN7;GRIA1;APBA1;RAB3A;SHANK3;KCNQ2;DLGAP1;GRIA2;MAPT;KCNC1;PRKCA;SNAP25;GRIA4;CPLX1;GABRA2;ABAT;NSF;CACNA1E;NRXN1;CACNB3;CACNA1B;PANX1;GIT1;KCNB1;GABRA5;PRKCG;LRRTM4;CACNA2D1;HOMER1;CACNA2D3;HCN1;SLITRK3;GNG2;PLCB1;AP2M1;KCNQ5;KCNN1;DLGAP3;KCNJ6;GNG13;SHANK2;ARHGEF9;HSPA8;SLC1A3;GABRA1;CHRNB2;KCNV1;HCN2;SIPA1L1;CACNA1A;SYN1;GABRB3;GABRB1;PPFIA4;SLITRK5;PRKAG2;DLGAP4;GABRA4;CAMKK2;CACNG2;LRRTM1;CAMK1;GPRIN1;KCND3;AP2A1;LRRC4B;RTN3;GABRA3;RIMS1;FLOT1;PRKAR2B;ARHGEF7;KCNA4;PPFIBP1;GRM5;NBEA;LRFN3;NTRK3;KCNK10;SLITRK4;KCNA2;CAMK2D"
"Eukaryotic Translation Termination R-HSA-72764",3.38108150948538e-17,6.42405486802223e-15,1.06720998682811,-0.524835364071993,-3.31851324550153,89,"RPLP2;RPS16;RPS6;RPS29;RPLP0;RPS12;RPL11;RPS17;RPL12;RPL23;RPS19;RPL36;RPS3;RPL19;RPS27A;RPS7;RPL30;RPL18;RPL39;RPS9;RPLP1;RPL8;RPS13;RPL21;RPL27;RPL18A;RPL28;RPL37;RPS2;RPL36AL;RPL29;RSL24D1;RPL9;RPS27;RPL32;RPS20;RPL5;RPS23;RPL34;RPS5;RPS14;RPL27A"
"Viral mRNA Translation R-HSA-192823",1.23053497477048e-16,2.00401410176906e-14,1.04762648849882,-0.516023738966418,-3.26279768853073,89,"RPLP2;RPS16;RPS6;RPS29;RPLP0;RPS12;RPL11;RPS17;RPL12;RPL23;RPS19;RPL36;RPS3;RPL19;RPS27A;RPS7;RPL30;RPL18;RPL39;RPS9;RPLP1;RPL8;RPS13;RPL21;RPL27;RPL18A;RPL28;RPL37;RPS2;RPL36AL;RPL29;RSL24D1;RPL9;RPS27;RPL32;RPS20;RPL5;RPS23;RPL34;RPS5;RPS14;RPL27A"
"Transmission Across Chemical Synapses R-HSA-112315",7.88505229537296e-15,1.12361995209065e-12,0.986546283587582,0.476647293854494,1.93922234484642,246,"NRGN;NEFL;PRKAR1B;CAMK2A;SYN2;SLC1A2;SYT1;CAMK2G;CALM1;EPB41L1;ADCY1;GABRB2;STXBP1;GLRB;CACNB1;SLC17A7;PRKCB;CAMK2B;NPTN;MAPK1;GNB1;STX1A;CACNB4;GABBR2;CACNG3;ADCY2;TSPAN7;GRIA1;APBA1;RAB3A;GRIA2;MAPT;PRKCA;SNAP25;GRIA4;CPLX1;GABRA2;ABAT;NSF;CACNA1E;CACNB3;CACNA1B;GIT1;GABRA5;PRKCG;CACNA2D1;CACNA2D3;GNG2;PLCB1;AP2M1;KCNJ6;GNG13;ARHGEF9;HSPA8;SLC1A3;GABRA1;CHRNB2;CACNA1A;SYN1;GABRB3;GABRB1;PPFIA4;PRKAG2;GABRA4;CAMKK2;CACNG2;CAMK1;GPRIN1;AP2A1;GABRA3;RIMS1;PRKAR2B;ARHGEF7"
"Ion Homeostasis R-HSA-5578775",2.12147476520445e-09,2.68720136925898e-07,0.774939030136436,0.640340642230152,2.24607251106799,49,"FXYD7;CAMK2A;SLC8A1;CAMK2G;SLC8A2;CALM1;ATP1A2;FXYD1;CAMK2B;ATP1A3;ATP2A2;ITPR1;ATP1B2;PRKCA;ATP2B1;SRI;RYR2;ATP1B3;ORAI2;CAMK2D;ATP2B3;PLN"
"Protein-protein Interactions At Synapses R-HSA-6794362",1.36281123852151e-08,1.55360481191452e-06,0.747739663149885,0.530470104343903,2.00373347599533,88,"SHANK1;SYT1;EPB41L1;STXBP1;SYT7;NRXN2;STX1A;GRIA1;APBA1;SHANK3;DLGAP1;GRIA4;NRXN1;LRRTM4;HOMER1;SLITRK3;DLGAP3;SHANK2;SIPA1L1;PPFIA4;SLITRK5;DLGAP4;LRRTM1;GPRIN1;LRRC4B;RTN3;FLOT1;PPFIBP1;GRM5;LRFN3;NTRK3;SLITRK4"
