"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827",0.695588235294118,0.849112416933301,0.0482149710025564,-0.227037858140045,-0.868438154449893,73,"PRPF19;COPS4;ERCC3;COPS8;MNAT1;COPS7A;POLR2K;GTF2H1;GTF2H5;COPS5;POLR1A;POLR2C;DDB1;POLR2F;UBB;POLR2H;RFC5;POLR1B;COPS2;PPIE;PCNA;GTF2H4;ERCC2;XPA;EP300;CUL4B"
"Signaling By FGFR2 R-HSA-5654738",0.696350364963504,0.849154520284649,0.0478299633114229,-0.229355031138328,-0.872920995316064,70,"FGF13;PIK3R1;PPP2R1A;GRB2;MAPK1;FGF7;POLR2K;MAPK3;PIK3CA;FGF20;PPP2CA;FGFBP3;SOS1;FGF10;POLR2C;HNRNPM;POLR2F;FGF8;FGFBP2;NCBP2;UBB;POLR2H"
"Metabolism Of Cofactors R-HSA-8978934",0.697452229299363,0.849610387883462,0.0517405459873163,-0.291458107739811,-0.839792414669303,19,"CALM1;PTS;GCH1;COQ6;COQ3;AKT1;IDH1;COQ2"
"Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444",0.7,0.851824817518248,0.0453152441270267,-0.218158326460663,-0.874387010282144,91,"RANGAP1;PPP2R1A;PAFAH1B1;DYNC1H1;DYNLL1;CENPQ;PPP2R5B;CLIP1;PPP2R5D;ITGB3BP;ZWILCH;SKA2;DYNC1I1;NDC80"
"RAS Processing R-HSA-9648002",0.701369863013699,0.852602739726027,0.0778840111977068,0.276669572183639,0.840502058286174,17,"GOLGA7;RCE1;FNTA;BCL2L1;ABHD17A;PRKCQ"
"ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994",0.703812316715543,0.853793111857628,0.0813027345384498,0.252158229347939,0.85366617791567,27,"KHSRP;EXOSC6;CCL2;ATF3;EXOSC5;ATF4;DDIT3;HERPUD1;DIS3;EXOSC2;EXOSC3"
"SHC-mediated cascade:FGFR1 R-HSA-5654688",0.703349282296651,0.853793111857628,0.0514264916187015,-0.291872585142884,-0.844601043012098,20,"FGF13;GRB2;FGF20;SOS1;FGF10;FGF8"
"Signaling By ERBB4 R-HSA-1236394",0.705794947994057,0.855309142584698,0.0480220415968251,-0.235113416117756,-0.859898059119534,56,"GABRB2;GABRB3;PIK3R1;GABRA1;GABRB1;GRB2;GABRG2;ADAP1;PIK3CA;EGFR"
"E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654",0.707025411061285,0.855911467539959,0.0482149710025564,-0.236027651355949,-0.85263462273352,53,"UBE2D3;UBE2D2;UBE2B;PEX13;UBE2D1;HLTF;H2BC14;UBE2V2;H2BC13;H2BC11;PEX14;LEO1;VCP;H2BC9;H2BC15;H2BC3;UBB;UBE2N;RRAGA;RTF1"
"Protein Methylation R-HSA-8876725",0.708722741433022,0.857077139121592,0.0499913914024592,-0.29912947708742,-0.815697331714055,15,"CALM1;HSPA8;KIN;ETFBKMT"
"Biosynthesis Of DHA-derived SPMs R-HSA-9018677",0.714733542319749,0.858675564681725,0.0498907356726307,-0.294065371048599,-0.815207575773254,16,"CYP2C8;CYP2E1;CYP1A1;CYP2C9;GPX4;ALOX5"
