row_index,ROI_ID,Scan_ID,disease_status,pathology,region
74,2845_E_004,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries
75,2845_E_005,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries
76,2845_E_006,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries
77,2845_E_007,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries
78,2845_E_008,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries
79,2845_F_001,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
80,2845_F_002,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
81,2845_F_003,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
82,2845_F_004,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
83,2845_F_005,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
84,2845_F_006,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
85,2845_F_007,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
86,2845_F_008,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
87,2845_F_009,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
88,2845_F_010,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma
89,2509_A_001,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries
90,2509_A_002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries
91,2509_A_003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries
92,2509_C_001,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
93,2509_C_002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
94,2509_C_003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
95,2509_C_004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
96,2509_C_005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
97,2509_C_006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
98,2509_C_007,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
99,2509_D_001,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
100,2509_D_002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
101,2509_D_003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
102,2509_D_004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
103,2509_D_005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
104,2509_D_006,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
105,2509_D_007,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
106,2509_E_001,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries
107,2509_E_002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries
108,2509_E_003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries
109,2509_E_004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries
110,2509_E_005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries
111,2509_F_001,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
112,2509_F_002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
113,2509_F_003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
114,2509_F_004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
115,2509_F_005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
116,2509_F_006,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
117,2509_F_007,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
118,2613_B_001,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries
119,2613_B_002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries
120,2613_B_003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries
121,2613_B_004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries
122,2613_B_005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries
123,2613_B_006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries
124,2613_C_001,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
125,2613_C_002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
126,2613_C_003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
