"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",7.92061784868393e-35,8.9740600225589e-32,1.53645895003215,-0.648782107184078,-4.47784273372917,97,"RPS16;RPS6;RPS3;RPS12;RPLP2;RPL23;RPL36;RPL8;RPL19;RPS7;RPLP0;EIF3A;RPL34;RPS29;RPL18;RPS9;RPL39;RPS17;RPS27A;RPL30;RPLP1;RPL37;RPS19;RPS14;RPS13;RPS2;FAU;RPL11;RPL12;RPL28;RSL24D1;RPL9;RPL18A;RPL29;RPS27;RPS20;RPL27A;RPL21;RPL27;RPS23;RPL5;RPL32;RPL36AL;EIF3F;EIF3B;RPS25;RPS15;RPL15;RPS28;RPS5;RPS8;EIF1AX;EIF3G;RPL4;RPL22;RPL37A;EIF3J"
"Eukaryotic Translation Elongation R-HSA-156842",1.71985497458112e-34,9.74297843100202e-32,1.52970525162309,-0.679726759349441,-4.58212597291288,87,"RPS16;RPS6;RPS3;RPS12;RPLP2;RPL23;EEF1D;RPL36;RPL8;RPL19;RPS7;RPLP0;RPL34;RPS29;RPL18;RPS9;RPL39;RPS17;RPS27A;RPL30;RPLP1;RPL37;RPS19;RPS14;RPS13;RPS2;FAU;RPL11;RPL12;RPL28;RSL24D1;RPL9;RPL18A;RPL29;RPS27;RPS20;RPL27A;RPL21;RPL27;RPS23;RPL5;EEF1B2;RPL32;RPL36AL;RPS25;RPS15;RPL15;RPS28;RPS5;RPS8"
"Peptide Chain Elongation R-HSA-156902",4.5287846140207e-34,1.71037098922848e-31,1.51610760180865,-0.690003064337251,-4.49028909530946,83,"RPS16;RPS6;RPS3;RPS12;RPLP2;RPL23;RPL36;RPL8;RPL19;RPS7;RPLP0;RPL34;RPS29;RPL18;RPS9;RPL39;RPS17;RPS27A;RPL30;RPLP1;RPL37;RPS19;RPS14;RPS13;RPS2;FAU;RPL11;RPL12;RPL28;RSL24D1;RPL9;RPL18A;RPL29;RPS27;RPS20;RPL27A;RPL21;RPL27;RPS23;RPL5;RPL32;RPL36AL;RPS25;RPS15;RPL15;RPS28;RPS5;RPS8"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",3.82950432234302e-33,1.08470709930366e-30,1.49547932629977,-0.656576014803373,-4.4137876793704,91,"RPS16;RPS6;RPS3;RPS12;RPLP2;RPL23;RPL36;RPL8;RPL19;RPS7;RPLP0;RPL34;PABPC1;RPS29;RPL18;RPS9;RPL39;RPS17;RPS27A;RPL30;RPLP1;RPL37;RPS19;RPS14;RPS13;RPS2;FAU;RPL11;RPL12;RPL28;RSL24D1;RPL9;RPL18A;RPL29;RPS27;RPS20;RPL27A;RPL21;RPL27;RPS23;RPL5;RPL32;RPL36AL;RPS25;RPS15;RPL15;RPS28;RPS5;RPS8"
"Selenocysteine Synthesis R-HSA-2408557",2.35979183729872e-31,5.34728830331889e-29,1.45334466856494,-0.648227664953221,-4.34515979284581,89,"RPS16;RPS6;RPS3;RPS12;RPLP2;RPL23;RPL36;RPL8;RPL19;RPS7;RPLP0;RPL34;RPS29;RPL18;RPS9;RPL39;RPS17;RPS27A;RPL30;RPLP1;RPL37;RPS19;RPS14;RPS13;RPS2;FAU;RPL11;RPL12;RPL28;RSL24D1;RPL9;RPL18A;RPL29;RPS27;RPS20;RPL27A;RPL21;RPL27;RPS23;RPL5;RPL32;RPL36AL;RPS25;RPS15;RPL15;RPS28;RPS5;RPS8"
"Eukaryotic Translation Termination R-HSA-72764",5.85341914454629e-31,1.10532064846182e-28,1.44620288250144,-0.643882544455648,-4.31603384851808,89,"RPS16;RPS6;RPS3;RPS12;RPLP2;RPL23;RPL36;RPL8;RPL19;RPS7;RPLP0;RPL34;RPS29;RPL18;RPS9;RPL39;RPS17;RPS27A;RPL30;RPLP1;RPL37;RPS19;RPS14;RPS13;RPS2;FAU;RPL11;RPL12;RPL28;RSL24D1;RPL9;RPL18A;RPL29;RPS27;RPS20;RPL27A;RPL21;RPL27;RPS23;RPL5;RPL32;RPL36AL;RPS25;RPS15;RPL15;RPS28;RPS5;RPS8"
"Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012",2.63504876294057e-30,4.26501464058809e-28,1.43181244608859,-0.605741026798525,-4.18077660486686,97,"RPS16;RPS6;RPS3;RPS12;RPLP2;RPL23;RPL36;RPL8;RPL19;RPS7;RPLP0;RPL34;RPS29;RPL18;RPS9;RPL39;RPS17;RPS27A;RPL30;RPLP1;RPL37;RPS19;RPS14;RPS13;RPS2;FAU;RPL11;RPL12;RPL28;RSL24D1;RPL9;RPL18A;RPL29;RPS27;ATF3;RPS20;RPL27A;RPL21;RPL27;RPS23;RPL5;RPL32;RPL36AL;RPS25;ATF4;RPS15;RPL15;RPS28;RPS5;RPS8"
"Viral mRNA Translation R-HSA-192823",3.85080029394671e-30,5.45369591630203e-28,1.42456271623384,-0.636482354211059,-4.26642934866614,89,"RPS16;RPS6;RPS3;RPS12;RPLP2;RPL23;RPL36;RPL8;RPL19;RPS7;RPLP0;RPL34;RPS29;RPL18;RPS9;RPL39;RPS17;RPS27A;RPL30;RPLP1;RPL37;RPS19;RPS14;RPS13;RPS2;FAU;RPL11;RPL12;RPL28;RSL24D1;RPL9;RPL18A;RPL29;RPS27;RPS20;RPL27A;RPL21;RPL27;RPS23;RPL5;RPL32;RPL36AL;RPS25;RPS15;RPL15;RPS28;RPS5;RPS8"
"Translation Initiation Complex Formation R-HSA-72649",1.17324528538255e-20,1.47698545370937e-18,1.1778932614942,-0.6483228655853,-4.02200909546954,57,"RPS16;RPS6;RPS3;RPS12;RPS7;EIF3A;PABPC1;RPS29;RPS9;RPS17;RPS27A;EIF4B;RPS19;RPS14;RPS13;RPS2;FAU;RPS27;RPS20;EIF4H;RPS23;EIF4A1;EIF3F;EIF3B;RPS25;RPS15;RPS28;RPS5;RPS8;EIF1AX;EIF3G;EIF4G1"
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",1.04892814182909e-19,1.18843558469236e-17,1.15122052214226,-0.632238175980417,-3.96122699741339,58,"RPS16;RPS6;RPS3;RPS12;RPS7;EIF3A;PABPC1;RPS29;RPS9;RPS17;RPS27A;EIF4B;RPS19;RPS14;RPS13;RPS2;FAU;RPS27;RPS20;EIF4H;RPS23;EIF4A1;EIF3F;EIF3B;RPS25;RPS15;RPS28;RPS5;RPS8;EIF1AX;EIF3G;EIF4G1"
