"gene","statistic","p.value","p_adj"
"SFI1",0.148030635051853,0.0415259588352843,0.0706641282193868
"PGLYRP4",0.148002641857698,0.041564932249545,0.0707240046184861
"ZNF787",0.147971149514274,0.0416088140591296,0.0707834741308485
"EPHA10",0.14796939993964,0.0416112530778853,0.0707834741308485
"KRTAP24-1",0.147964151215736,0.0416185708546282,0.0707894744336098
"CYSRT1",0.147946655469389,0.0416429712502726,0.0708245270075668
"BEND3",0.147923910999138,0.0416747097253012,0.0708697523920422
"TIPIN",0.147922161424504,0.041677151987674,0.0708697523920422
"ZC2HC1C",0.147883670782541,0.0417309121773077,0.0709547082869081
"RFX8",0.14786092631229,0.04176270692583,0.0709976974521848
"ACYP1",0.147857427163021,0.0417676002306251,0.0709976974521848
"PLEKHG1",0.147857427163021,0.0417676002306251,0.0709976974521848
"FCAMR",0.147850428864482,0.0417773882845701,0.0710078725521142
"CLDN3",0.14783818184204,0.0417945220136852,0.0710305299051401
"LGALS8",0.147825934819597,0.0418116616428272,0.0710444259796816
"MUS81",0.147824185244962,0.0418141106429996,0.0710444259796816
"MSL3",0.147817186946424,0.0418239078481753,0.0710546077478869
"TRPM5",0.147804939923981,0.0418410575951874,0.0710772777558414
"RELB",0.147787444177634,0.0418655674760552,0.0711124454918424
"DCBLD1",0.147764699707384,0.0418974483421755,0.0711601259765797
"TAS2R9",0.147741955237133,0.0419293495888492,0.0712078324016867
"TCOF1",0.147710462893709,0.0419735542099415,0.0712764228427775
"XBP1",0.147698215871266,0.0419907554585971,0.0712991498267805
"TBC1D20",0.147673721826381,0.0420251757096857,0.0713446215393228
"AGRP",0.147673721826381,0.0420251757096857,0.0713446215393228
"SPRING1",0.147664973953208,0.0420374743950957,0.0713590139795317
"ZMYND8",0.147640479908322,0.0420719267888,0.071411006517098
"ABRA",0.147631732035149,0.0420842369577237,0.0714189195295273
"COLEC10",0.147631732035149,0.0420842369577237,0.0714189195295273
"CRISP3",0.14762823288588,0.0420891618717888,0.0714207874902351
"TNP1",0.14760198926636,0.0421261141497445,0.0714769971709484
"ZNF605",0.147540754154146,0.0422124420394986,0.0716169665270418
"TRPV2",0.147532006280973,0.0422247867070815,0.0716290856615141
"ANXA10",0.147530256706338,0.0422272560041374,0.0716290856615141
"MYOCOS",0.147525007982434,0.042234664622464,0.0716351463526599
"LRRC53",0.147495265213645,0.0422766674011064,0.0716998765331513
"WIPF1",0.147481268616568,0.0422964455411624,0.0717269061043084
"LRRC59",0.147465522444856,0.0423187052294135,0.0717493047859428
"ITIH1",0.147463772870221,0.0423211791348225,0.0717493047859428
"ARMCX2",0.147449776273144,0.0423409747473989,0.0717763496761751
"MAP3K8",0.147428781377528,0.0423706827343503,0.0718201915725836
"RUNDC3B",0.147381542862392,0.042437589659183,0.0719270736432436
"FPR1",0.147364047116045,0.0424623924871987,0.0719625809519894
"AMIGO2",0.14733955307116,0.0424971368783896,0.0720083948775906
"C17orf80",0.14733605392189,0.0425021023093647,0.0720102751274332
"PAPOLB",0.147302812003832,0.0425492981846613,0.0720748328219404
"TAF1L",0.147301062429197,0.0425517833955191,0.0720748328219404
"GAS2",0.147276568384312,0.0425865891357509,0.0721183776062718
"GMNN",0.147262571787234,0.0426064888509253,0.0721413223735159
"NOD2",0.147259072637965,0.0426114649983433,0.0721432073528292
"PPP4C",0.147241576891618,0.0426363530489621,0.0721788007199435
"VEGFA",0.14723107944381,0.0426512917314407,0.0721859107359775
"CD248",0.147229329869176,0.0426537819386584,0.0721859107359775
"FTSJ1",0.147225830719906,0.0426587627189664,0.0721859107359775
"L3MBTL1",0.147222331570637,0.0426637439871343,0.0721859107359775
"COL5A3",0.147222331570637,0.0426637439871343,0.0721859107359775
"MRPL23",0.147211834122829,0.0426786907191542,0.0721957938628446
"EMC7",0.147211834122829,0.0426786907191542,0.0721957938628446
"LSM10",0.147210084548194,0.0426811822681338,0.0721957938628446
"AMPD3",0.147196087951117,0.0427011190525292,0.0722229758580906
"ABCB11",0.147185590503309,0.0427160767664142,0.0722417322910035
"RGSL1",0.14717859220477,0.0427260510169626,0.0722520580218031
"SYCP3",0.147147099861346,0.0427709593214624,0.07232145190472
"CYP2C8",0.147141851137442,0.0427784478863963,0.0723275658814356
"CGA",0.14707711687596,0.0428708973038838,0.0724707529007363
"RNF25",0.147057871554978,0.0428984145545126,0.0725107059661578
"NRBF2",0.147036876659362,0.0429284502638748,0.0725525742074146
"FLG2",0.147035127084728,0.042930954035454,0.0725525742074146
"MAB21L3",0.147014132189111,0.0429610088468962,0.0725967970706329
"BRDT",0.147001885166669,0.0429785489663297,0.0726198661445014
"TMOD3",0.146987888569591,0.0429986021693814,0.0726471769599572
