"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Capillaries","InhNeuron2","Amyloid_effect",0.0710216447799622,0.876617450595471,-0.246084216962234,0.962158589591638,0.891136944811676,4,TRUE,TRUE
"Capillaries","InhNeuron1","Amyloid_effect",-0.534154444642131,0.279525676168083,-1.27067955736514,0.0012525815488289,0.736525112723012,4,TRUE,TRUE
"Capillaries","InhNeuron3","Amyloid_effect",-0.158389267325538,0.716993139347178,-0.393104656590801,0.435502880265517,0.593892147591055,4,FALSE,TRUE
"Capillaries","ExNeuron12","Amyloid_effect",-0.312694747134261,0.594426918653681,-0.823919654845882,0.171900515292453,0.511224907711621,4,FALSE,TRUE
"Capillaries","ExNeuron7","Amyloid_effect",-0.272039875829178,0.631959432987151,-0.706306798075018,0.234125783638627,0.506165659467805,4,FALSE,TRUE
"Capillaries","Oligodendrocytes1","Amyloid_effect",-0.560844174977259,0.176807442997008,-1.05935490930726,-0.0560203229063379,0.504823852070921,4,TRUE,FALSE
"Arteries","Oligodendrocytes4","Amyloid_effect",0.445619884460875,0.0717342264554894,-0.0480447802618753,0.749559094647082,0.49366466472275,4,TRUE,TRUE
"Arteries","ExNeuron6","Amyloid_effect",0.415594199057275,0.173799401398588,-0.0483030276968478,0.578298149361897,0.463897226754123,4,FALSE,TRUE
"Arteries","Astrocytes1","Amyloid_effect",0.268149963845903,0.177239015005287,-0.193898026857089,0.48268940515511,0.462047990702992,4,FALSE,TRUE
"Capillaries","Oligodendrocytes6","Amyloid_effect",0.792125293364122,0.00537284835892182,0.35494564898799,1.10314871940008,0.437179644376132,4,TRUE,FALSE
"Capillaries","ExNeuron6","Amyloid_effect",0.131666238727115,0.75748255800637,-0.30217398333533,0.446491839531876,0.433840222062445,4,FALSE,TRUE
"Capillaries","OPC3","Amyloid_effect",0.0967820468721402,0.769512012317428,-0.148276782767338,0.522876752460837,0.426094705588697,4,FALSE,TRUE
"Capillaries","Astrocytes5","Amyloid_effect",0.853133417077141,0.00499240312427812,0.440590536802115,1.08682790691001,0.412542880275026,4,TRUE,FALSE
"Capillaries","ExNeuron10","Amyloid_effect",0.166040295535392,0.709555682427483,-0.222388974598777,0.546578146227199,0.388429270134169,4,FALSE,TRUE
"Capillaries","ExNeuron3","Amyloid_effect",0.418862981517477,0.0816525288727768,0.223138579009572,0.802946215875701,0.384083234358224,4,TRUE,FALSE
"Arteries","ExNeuron1","Amyloid_effect",0.258942980231323,0.242074609193107,-0.122918254267346,0.4491694912915,0.381861234498669,4,FALSE,TRUE
"Capillaries","Oligodendrocytes5","Amyloid_effect",-0.0913775990598916,0.854550704373749,-0.46162007391989,0.108936971687908,0.370242474859998,4,FALSE,TRUE
"Capillaries","ExNeuron2","Amyloid_effect",0.537006497142288,0.0485676895999984,0.366337197272005,0.901851964910207,0.364845467767919,4,TRUE,FALSE
"Capillaries","Pericytes","Amyloid_effect",-0.0130930534822844,0.984981222983221,-0.359325388781412,0.342886857732489,0.355979911214774,4,FALSE,TRUE
"Arteries","ExNeuron14","Amyloid_effect",-0.583148164403547,0.058180080713712,-0.935311571375411,-0.228502762567773,0.354645401835774,4,TRUE,FALSE
"Capillaries","SMC","Amyloid_effect",-0.358758563682388,0.505651665269676,-0.669690042746303,-0.0082083798128887,0.350550183869499,4,FALSE,FALSE
"Capillaries","Microglia3","Amyloid_effect",-0.0331922983552352,0.913804315237149,-0.151384751351938,0.308190452805703,0.341382751160938,4,FALSE,TRUE
"Capillaries","Oligodendrocytes4","Amyloid_effect",0.00556089962210515,0.984981222983221,-0.22585797014266,0.346453511007767,0.340892611385662,4,FALSE,TRUE
"Capillaries","Oligodendrocytes2","Amyloid_effect",0.130133451580996,0.709555682427483,-0.208948690579626,0.439696308007801,0.339082142160622,4,FALSE,TRUE
"Capillaries","OPC1","Amyloid_effect",0.319482925407936,0.361155928787221,0.0409694538347471,0.642420935539465,0.322938010131529,4,FALSE,FALSE
"Capillaries","Astrocytes4","Amyloid_effect",0.106631093143789,0.75748255800637,-0.193318746031856,0.428732777181965,0.322101684038176,4,FALSE,TRUE
"Capillaries","ExNeuron14","Amyloid_effect",-0.466098242440418,0.350815133560419,-0.579528592880539,-0.147870095083352,0.318228147357066,4,FALSE,FALSE
"Capillaries","Astrocytes2","Amyloid_effect",0.371991263138035,0.221036606081513,0.0612566645791959,0.675509017625084,0.310734598558839,4,FALSE,FALSE
"Capillaries","ExNeuron11","Amyloid_effect",0.069615357086478,0.854550704373749,-0.190717816677152,0.380259575224923,0.310644218138445,4,FALSE,TRUE
"Capillaries","ExNeuron5","Amyloid_effect",0.338103014039589,0.194997636340777,0.181662338587952,0.647007649106471,0.308904635066882,4,TRUE,FALSE
"Capillaries","Microglia5","Amyloid_effect",0.581506505875849,0.0191108463143032,0.277529565201985,0.796422166269109,0.303976940673864,4,TRUE,FALSE
"Capillaries","InhNeuron4","Amyloid_effect",0.409241389675207,0.101928621690758,0.111430443558257,0.578837733213134,0.29781094611695,4,TRUE,FALSE
"Arteries","Oligodendrocytes8","Amyloid_effect",-0.543931829481242,0.0766999624339151,-0.780257181846136,-0.246439394333575,0.297492435147667,4,TRUE,FALSE
"Capillaries","Oligodendrocytes8","Amyloid_effect",-0.258182120071732,0.639091026783841,-0.551404255661324,0.0296513428516564,0.293222135589592,4,FALSE,TRUE
"Arteries","Astrocytes3","Amyloid_effect",0.322965462316877,0.0829678368258797,0.0307538056093392,0.549600427090141,0.292211656707538,4,TRUE,FALSE
"Arteries","ExNeuron12","Amyloid_effect",0.249666229290045,0.415791539247917,-0.029444895496721,0.361393961478896,0.279111124786766,4,FALSE,TRUE
"Parenchyma","ExNeuron14","Amyloid_effect",-0.30966412870881,0.338257930917467,-0.482316755203962,-0.0306214981127365,0.279042630596074,4,FALSE,FALSE
"Arteries","ExNeuron10","Amyloid_effect",-0.569999600807017,0.058180080713712,-0.738746059318298,-0.294777366306958,0.275222234500058,4,TRUE,FALSE
"Parenchyma","ExNeuron10","Amyloid_effect",-0.58257390115347,0.0287325650758186,-0.676780573014943,-0.320840028746787,0.261733872406683,4,TRUE,FALSE
"Capillaries","Oligodendrocytes7","Amyloid_effect",0.590610436927381,0.0463102394874973,0.329561576325609,0.770295194167191,0.261048860601772,4,TRUE,FALSE
"Arteries","InhNeuron5","Amyloid_effect",0.310504484335884,0.0802417734432715,0.0497512910989594,0.471323794386928,0.260753193236924,4,TRUE,FALSE
"Arteries","Pericytes","Amyloid_effect",-0.665009700337529,0.058180080713712,-0.839774784531086,-0.407112648076217,0.257897052261313,4,TRUE,FALSE
"Arteries","Microglia4","Amyloid_effect",0.271156147852862,0.116587022518491,0.0204354197955319,0.512993443525122,0.25072072805733,4,TRUE,FALSE
"Arteries","Oligodendrocytes7","Amyloid_effect",-0.145778244341734,0.525126875544202,-0.29783314740621,0.0966139028973057,0.24239214723904,4,FALSE,TRUE
"Parenchyma","InhNeuron1","Amyloid_effect",0.125952909862614,0.774683157809582,-0.0377935934439433,0.365380960295342,0.239428050432729,4,FALSE,TRUE
"Parenchyma","Microglia1","Amyloid_effect",0.101269848010887,0.774683157809582,-0.103645727719215,0.339681009835822,0.238411161824935,4,FALSE,TRUE
"Arteries","OPC3","Amyloid_effect",0.310364143423351,0.177239015005287,0.0725926348732167,0.447580819757487,0.237771508550134,4,FALSE,FALSE
"Parenchyma","Microglia5","Amyloid_effect",-0.2467718391623,0.165114560412285,-0.317600462602442,-0.0092919512715666,0.237479887890733,4,FALSE,FALSE
"Capillaries","ExNeuron8","Amyloid_effect",0.458510554630849,0.0816525288727768,0.255194200899865,0.694568504997502,0.236057950366653,4,FALSE,FALSE
"Arteries","ExNeuron5","Amyloid_effect",0.492089956162277,0.0071182732451684,0.261598511680213,0.622177243736017,0.230491444482064,4,TRUE,FALSE
"Arteries","Astrocytes2","Amyloid_effect",-0.406881261340313,0.0829678368258797,-0.532619390953811,-0.180132997762834,0.226748263577479,4,TRUE,FALSE
"Arteries","VLMC2","Amyloid_effect",0.243770231315172,0.261856736871984,0.0171840775089128,0.421596846161087,0.226586153806259,4,FALSE,FALSE
"Parenchyma","Fibroblast","Amyloid_effect",-0.148428242676582,0.465334035050376,-0.269580265672782,0.0693774001230381,0.21780564279962,4,FALSE,TRUE
"Capillaries","ExNeuron9","Amyloid_effect",0.195805793327292,0.631959432987151,-0.0219180874761126,0.384249908911118,0.217723880803404,4,FALSE,TRUE
"Arteries","ExNeuron8","Amyloid_effect",0.34475836712654,0.0766999624339151,0.129011235222406,0.514856673024133,0.215747131904134,4,TRUE,FALSE
"Capillaries","Astrocytes3","Amyloid_effect",0.797893890565949,0.00537284835892182,0.582878534747228,0.925993828861145,0.215015355818721,4,TRUE,FALSE
"Arteries","InhNeuron1","Amyloid_effect",0.170850769662899,0.527301302953278,-0.0365056027597797,0.286972945005647,0.207356372422679,4,FALSE,TRUE
"Arteries","InhNeuron2","Amyloid_effect",-0.0429328956265363,0.853272526587698,-0.137968022941956,0.157728011766629,0.200660907393166,4,FALSE,TRUE
"Arteries","OPC2","Amyloid_effect",0.346824146296902,0.0944013151634002,0.155292266130543,0.504555506202491,0.191531880166358,4,TRUE,FALSE
"Arteries","InhNeuron3","Amyloid_effect",0.274677845576254,0.195911134825346,0.0832789152007667,0.454945703354023,0.191398930375487,4,FALSE,FALSE
"Arteries","Oligodendrocytes1","Amyloid_effect",0.512146766474996,0.0618377188224227,0.320933436974603,0.587784121746007,0.191213329500393,4,TRUE,FALSE
"Capillaries","VLMC2","Amyloid_effect",-0.266182952669082,0.350815133560419,-0.439235537281888,-0.0758071127304188,0.190375839938663,4,TRUE,FALSE
"Arteries","InhNeuron4","Amyloid_effect",0.0952647262003882,0.527301302953278,-0.0752471526406902,0.283028043865084,0.187763317664696,4,FALSE,TRUE
"Capillaries","Microglia1","Amyloid_effect",0.193474761919109,0.631959432987151,0.00669013308305117,0.362163345923444,0.186784628836058,4,FALSE,FALSE
"Arteries","ExNeuron7","Amyloid_effect",0.214713624575799,0.478208820081208,0.0310021630227778,0.319563658077167,0.183711461553021,4,FALSE,FALSE
"Parenchyma","Pericytes","Amyloid_effect",-0.586282338388356,0.0630676141778903,-0.73252171510615,-0.405542512266364,0.180739826121992,4,TRUE,FALSE
"Capillaries","Oligodendrocytes3","Amyloid_effect",-0.252123271226634,0.411440620415377,-0.387670257497465,-0.073543333728236,0.178579937498398,4,FALSE,FALSE
"Parenchyma","ExNeuron9","Amyloid_effect",0.0672729554135542,0.806009703064333,-0.108905449112958,0.199780824184752,0.176178404526512,4,FALSE,TRUE
"Parenchyma","InhNeuron2","Amyloid_effect",-0.470686805803857,0.109771983111049,-0.642232952006392,-0.295282777977828,0.175404027826029,4,FALSE,FALSE
"Arteries","Oligodendrocytes2","Amyloid_effect",-0.340754466200466,0.058180080713712,-0.435432602592055,-0.166151840616292,0.174602625584174,4,TRUE,FALSE
"Arteries","Oligodendrocytes5","Amyloid_effect",-0.694645755188892,0.058180080713712,-0.867277985034673,-0.547487343573916,0.172632229845781,4,TRUE,FALSE
"Capillaries","Astrocytes1","Amyloid_effect",0.587355098305416,0.062530894649622,0.44544967169948,0.759211891953783,0.171856793648368,4,TRUE,FALSE
"Capillaries","OPC2","Amyloid_effect",0.522594237028111,0.0463102394874973,0.430845231398672,0.69247384516804,0.169879608139929,4,TRUE,FALSE
"Capillaries","ExNeuron4","Amyloid_effect",-0.102167752810649,0.709555682427483,-0.271374931469851,-0.00720162644277,0.169207178659202,4,FALSE,FALSE
"Arteries","Astrocytes5","Amyloid_effect",0.154332299579478,0.348047174753815,0.0646231356547385,0.318783739501962,0.164451439922485,4,FALSE,FALSE
