"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",1.17810307644274e-41,1.37484629020868e-38,1.67817787124255,0.821412244301687,3.40186566331897,108,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;EIF3L;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;EIF4A2;RPS12;FAU;RPL30;EIF4B;RPL15;EIF5;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;EIF3C;EIF3K;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52;EIF2S2"
"Eukaryotic Translation Elongation R-HSA-156842",7.57091872396125e-41,1.79779218456635e-38,1.66579262543297,0.85550298563816,3.411086359887,87,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;EEF1G;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52;EEF1B2"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",4.34055630763193e-41,1.79779218456635e-38,1.67199671627594,0.836725388153418,3.42079283659239,97,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;EIF3L;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;EIF3C;EIF3K;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52"
"Peptide Chain Elongation R-HSA-156902",8.54284375330216e-41,1.79779218456635e-38,1.66579262543297,0.864821387713124,3.42003198329068,83,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52"
"Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012",7.61030149021567e-41,1.79779218456635e-38,1.66579262543297,0.835852793381641,3.41722539859325,97,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;ATF4;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52;EIF2S2"
"Selenocysteine Synthesis R-HSA-2408557",9.24314747849024e-41,1.79779218456635e-38,1.6595653414844,0.853671756632099,3.44050770204714,89,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;RPL12;RPS29;RPS6;RPL18;RPS3;SECISBP2;UBA52"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",1.51765766962387e-40,2.53015214350152e-38,1.6595653414844,0.817508446351576,3.39193062866021,107,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;EIF3L;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;EIF4A2;RPS12;FAU;RPL30;EIF4B;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;EIF3C;EIF3K;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52;EIF2S2"
"SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339",2.8132784784201e-40,4.10386998039532e-38,1.6533146023566,0.817818532020976,3.38826280828231,106,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;RPL12;RPS29;RPS6;RPL18;SPCS3;RPS3;UBA52"
"Cap-dependent Translation Initiation R-HSA-72737",3.58037567299375e-40,4.64255378931523e-38,1.6533146023566,0.801894745674656,3.35592918264854,115,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;EIF3L;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;EIF4A2;RPS12;FAU;RPL30;EIF4B;RPL15;EIF5;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;EIF3C;EIF3K;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52;EIF2S2"
"Eukaryotic Translation Termination R-HSA-72764",4.23504708895594e-40,4.94229995281158e-38,1.64704014100292,0.851123472533631,3.43023748870148,89,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;TRMT112;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52"
"Viral mRNA Translation R-HSA-192823",5.8477107611594e-39,6.20388950752093e-37,1.62807167569582,0.846209892964096,3.41043455130514,89,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52"
"Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957",6.59163692529455e-39,6.41036690984895e-37,1.62169955075295,0.802314558375949,3.34334148363673,111,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;CASC3;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;UPF3A;RPS5;RPL28;RPS17;RPS19;RPL12;RPS29;PNRC2;RPS6;RPL18;RPS3;UBA52;RNPS1"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",3.37845612638791e-37,3.03281407653438e-35,1.58945578468201,0.83349985519941,3.36255962607913,91,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52"
"Influenza Infection R-HSA-168255",9.83442873423947e-37,8.1976988091839e-35,1.57637362160047,0.729346569036909,3.15046327134225,155,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;HSP90AA1;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;POM121C;RPS13;RPS9;RPL19;RPS5;HSPA1A;RPL28;RPS17;RPS19;POLR2J;RPL12;EIF2AK2;RANBP2;RPS29;RPS6;RPL18;CANX;RPS3;UBA52;GTF2F2;RNASE7;NUP58;NUP62;NUP133;AAAS;RAN;BLOC1S6"
"Selenoamino Acid Metabolism R-HSA-2408522",2.37029841464203e-36,1.8440921665915e-34,1.56979165706381,0.788222953083195,3.29355825161215,112,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RPS13;RPS9;RPL19;RPS5;DARS1;RPL28;RPS17;RPS19;RPL12;RPS29;RPS6;RPL18;RPS3;SECISBP2;UBA52"
"Influenza Viral RNA Transcription And Replication R-HSA-168273",1.9852785068433e-35,1.44801251092884e-33,1.54987806027287,0.748984205916582,3.17492498521838,135,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;RPL39;RPL29;RPS23;HSP90AA1;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;POM121C;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;POLR2J;RPL12;RANBP2;RPS29;RPS6;RPL18;RPS3;UBA52;GTF2F2;RNASE7;NUP58;NUP62;NUP133;AAAS"
"Cellular Response To Starvation R-HSA-9711097",2.31982968345571e-35,1.59249484740754e-33,1.54987806027287,0.729495024621107,3.14293957424376,151,"RPS24;RPL31;RPS28;RPS3A;RPSA;RPS11;RPL6;RPL37A;RPL7A;RPL7;RPL26;RPS4X;RPL38;RPL14;RPL41;RPS21;RPS10;RPS8;RPL21;RPL35;RPL32;RPL4;RPL27A;RPS20;RPL34;RPS27;RPS14;RPS2;RPL10A;RPL5;RPL18A;SESN2;RPL39;RPL29;RPS23;ATF4;RPS25;RPL35A;RPL22;RPL37;RPL9;RPL36A;RPS15A;RPS7;RPS15;RPS27A;RPS12;FAU;RPL30;RPL15;RHEB;RPS13;RPS9;RPL19;RPS5;RPL28;RPS17;RPS19;ATP6V1H;RRAGD;RPL12;RPS29;RPS6;RPL18;RPS3;UBA52;EIF2S2"
