"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829",1.01418430700732e-06,7.97105168556961e-06,0.643551836150722,0.56644720438715,2.34120711466065,55,"SREBF2;FASN;HMGCS1;SC5D;ACACA;RAN;IDI1;SREBF1;CYP51A1;MVD;NCOA1;KPNB1;CARM1;FDFT1;SCD;SAR1B;LMBR1;HMGCR;SMARCD3;INSIG1;CREBBP;NFYC;DHCR7;GGPS1;CHD9;TBL1XR1;TBL1X;SQLE;ELOVL6"
"SARS-CoV Infections R-HSA-9679506",1.01884474826823e-06,7.97105168556961e-06,0.643551836150722,0.318854072798243,1.75050020173478,357,"ATP1A2;ATP1A3;YWHAG;FXYD7;YWHAB;YWHAH;ATP1B2;AP2M1;ATP1B1;YWHAE;HSP90AB1;GRB2;GJA1;ISCU;AP2A1;AP2B1;GSK3A;G3BP2;SNRPD2;MTA1;FXYD1;RPS21;DDX5;CNBP;RBX1;AKT3;GPC1;RPS15;YWHAQ;TUSC3;AP2S1;CANX;GSK3B;CUL3;BRD4;CHD3;VCP;RPS25;RBBP7;SDC3;ATP1B3;SNRPD3;MTA3;DDOST;CRBN;YWHAZ;SUMO1;SIGMAR1;VPS41;CHMP4B;MAP1LC3B;PRKCSH;AKT2;RPS4Y1;FAU;SEH1L;ROCK2;DDX20;SRPK2;RANBP2;LARP1;TUFM;ZDHHC8;IFNAR1;SAR1B;RPS20;FURIN;CHD4;IFNGR2;RPS14;RPS11;RBBP4;UBE2V1;RPS24;NR3C1;UBE2N;NUP98;IRAK1;SAP18;STAT2;RPN1;UBB"
"Selective Autophagy R-HSA-9663891",1.01418430700732e-06,7.97105168556961e-06,0.643551836150722,0.544865365292884,2.28467343090001,60,"PINK1;DYNLL1;DYNC1H1;PARK7;TOMM20;HSPA8;TOMM5;VCP;TOMM6;VDAC1;ULK1;DYNLL2;DYNC1I1;MAP1LC3B;MAP1LC3A;TOMM7;MFN2;ATG12;PEX5;UBE2V1;UBE2N;PRKAB1;NBR1;UBB;TOMM22"
"Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815",1.02455677192411e-06,7.97105168556961e-06,0.643551836150722,0.577302391151669,2.3350968097922,50,"PSMD7;PSMD2;PSMA1;GSK3B;PSMD8;PSMC5;PSMC3;PSMB7;SEM1;PSMA5;PSMB3;PSMB5;PSMD14;PSMB2;PSMD3;UBB;PSMC2;PSMF1;PSMB6;PSMA3;PSMC4;PSMA4;PSMC1;PSMC6"
"Cristae Formation R-HSA-8949613",1.12691026036e-06,8.70929982675573e-06,0.643551836150722,0.686586624535174,2.43051521499274,29,"ATP5F1B;ATP5F1D;ATP5F1A;ATP5PB;ATP5PD;ATP5MF;HSPA9;ATP5MC3;ATP5ME;ATP5PO;ATP5PF;ATP5MC2;ATP5F1C;MICOS10;APOO;MTX2;APOOL;MICOS13;IMMT;TMEM11;CHCHD3"
"Regulation Of RUNX2 Expression And Activity R-HSA-8939902",1.20332960048549e-06,9.23872134056953e-06,0.643551836150722,0.513910496760443,2.24297939513457,71,"SKP1;FBXW7;PSMD7;PSMD2;RBX1;PSMA1;GSK3B;STUB1;PSMD8;PSMC5;PSMC3;PSMB7;SEM1;PSMA5;PSMB3;PSMB5;PSMD14;PSMB2;NR3C1;CUL1;PSMD3;UBB;PSMC2;PSMF1;PSMB6;PSMA3;PSMC4;PSMA4;PSMC1;PSMC6"
"EPH-Ephrin Signaling R-HSA-2682334",1.22402321942527e-06,9.33617710502807e-06,0.643551836150722,0.481733997701847,2.17554958022779,87,"DNM1;AP2M1;CLTC;GIT1;AP2A1;CLTA;WASL;AP2B1;NGEF;EPHB6;CLTB;ARPC2;EPHA4;ACTR2;AP2S1;SYNGAP1;GRIN2B;GPRIN1;ARPC1A;CDC42;ACTR3;ROCK2;ARHGEF7;EPHA7;KALRN;FYN"
"Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408",1.28939686801873e-06,9.77094899336269e-06,0.643551836150722,0.499133163422594,2.21842726919267,79,"SKP1;PSMD7;PSMD2;PSMA1;PSMD8;ANAPC5;PSMC5;PSMC3;PSMB7;SEM1;CDC16;PSMA5;PSMB3;PSMB5;PSMD14;UBE2E1;ANAPC11;PSMB2;ANAPC16;BTRC;BUB3;CUL1;PSMD3;UBB;PSMC2;PSMF1;PSMB6;FZR1;PSMA3;PSMC4;PSMA4;PSMC1;CDC27;PSMC6;ANAPC7;ANAPC15;PSMB1;PSMA7;UBE2D1"
"Chaperonin-mediated Protein Folding R-HSA-390466",1.38381152466634e-06,1.04187616082943e-05,0.643551836150722,0.488394003858997,2.19322963661953,85,"TUBA4A;GNB1;TUBA1C;FBXW7;TUBB2A;TUBB4A;GNG7;PFDN5;GNG2;USP11;TUBB2B;TUBB4B;FBXL5;GNAQ;PFDN6;GNG3;TUBA8;CCT8;NOP56;RGS7;GNB2;CCT2;FBXL3;CCT7;XRN2;PFDN2;VBP1"
"CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017",1.42046800519682e-06,1.06261933465685e-05,0.643551836150722,0.510636733326146,2.2286909461265,71,"PSMD7;PSMD2;PSMA1;PSMD8;ANAPC5;PSMC5;PSMC3;PSMB7;SEM1;CDC16;PSMA5;PSMB3;PSMB5;PSMD14;UBE2E1;ANAPC11;PSMB2;ANAPC16;PSMD3;UBB;PSMC2;PSMF1;PSMB6;FZR1;PSMA3;PSMC4;PSMA4;PSMC1;CDC27;PSMC6;ANAPC7;ANAPC15;PSMB1;PSMA7;UBE2D1;PSMD11;PSMA2"
