"gene","statistic","p.value","p_adj"
"CPE",0.652693688846899,1.92141303821869e-24,3.58843099017722e-20
"SPARCL1",0.641062516675633,2.22687692936559e-23,2.07945767664159e-19
"ALDOC",0.620230331500654,1.39081292241418e-21,8.55554375578786e-18
"ITM2C",0.618783433277784,1.83241459751293e-21,8.55554375578786e-18
"UCHL1",0.616376018580483,2.89007441238709e-21,9.34643976544413e-18
"MDH1",0.616173067922861,3.00271142603688e-21,9.34643976544413e-18
"OLFM1",0.60635795422238,1.84682454831934e-20,4.92732789491601e-17
"SNRPN",0.60543592838991,2.18342738067091e-20,5.09721122017625e-17
"DKK3",0.597435123585578,9.12689844317662e-20,1.89393283694185e-16
"TSPAN7",0.590211129919038,3.20999729926271e-19,5.99499095610304e-16
"PKM",0.589028417466003,3.93215390768342e-19,6.13810147444811e-16
"RTN1",0.589010921719657,3.94395040123031e-19,6.13810147444811e-16
"STXBP1",0.587443302846995,5.15438863314878e-19,7.4048740086682e-16
"NRGN",0.584467276393427,8.53380310022795e-19,1.07006134744935e-15
"PCSK1N",0.584425286602195,8.59441005126382e-19,1.07006134744935e-15
"SLC1A2",0.580556977084946,1.64235351933858e-18,1.91703714544796e-15
"SNAP25",0.579559719543186,1.9380781414667e-18,2.10936343460402e-15
"PLD3",0.579271039728466,2.03301251996532e-18,2.10936343460402e-15
"CKB",0.576879371202876,3.01592609977431e-18,2.96449662312552e-15
"CST3",0.57523127189702,3.95038628636886e-18,3.68887071421124e-15
"SNCB",0.573096790842726,5.59084428681984e-18,4.97212418574511e-15
"NTRK2",0.571931574136038,6.75086382762663e-18,5.73086967476159e-15
"ARF3",0.570498672510246,8.5037207635273e-18,6.77161115674389e-15
"CLU",0.570355207390203,8.70200619842865e-18,6.77161115674389e-15
"CHGA",0.569893319686651,9.37162577582551e-18,7.00097931957269e-15
"SYT1",0.568938051936123,1.09204753168726e-17,7.79836998027777e-15
"PI4KA",0.568738600427771,1.12741480760066e-17,7.79836998027777e-15
"COX6C",0.567629370109392,1.34553657819943e-17,8.38587262602951e-15
"ATP6V0C",0.567463160519099,1.38159371491556e-17,8.38587262602951e-15
"ALDOA",0.567347688593211,1.4071989144675e-17,8.38587262602951e-15
"RGS4",0.567268957734651,1.42492269501057e-17,8.38587262602951e-15
"GPM6A",0.567216470495611,1.4368597345949e-17,8.38587262602951e-15
"STMN3",0.566901547061371,1.51056461057228e-17,8.54888020213575e-15
"FBXL16",0.566194718908965,1.68972334342017e-17,9.28155092991622e-15
"SNCA",0.562634334527418,2.95969172663542e-17,1.57929150533266e-14
"PRRT2",0.55965830807385,4.70430560647164e-17,2.4404892085129e-14
"GRIN1",0.558608563293049,5.53355071267388e-17,2.79309711107831e-14
"ENC1",0.5579752172753,6.10132148415788e-17,2.99863894837191e-14
"PRKAR1B",0.557208903585316,6.86482409699662e-17,3.15741918539353e-14
"RAB3A",0.557182659965796,6.89256224752283e-17,3.15741918539353e-14
"ATRNL1",0.557145918898468,6.93157992081468e-17,3.15741918539353e-14
"FXYD6",0.555637785563385,8.73377375702555e-17,3.88361806395736e-14
"RTN3",0.554885468470478,9.79672918759249e-17,4.25497010017389e-14
"DLG4",0.554495313326947,1.03967893700153e-16,4.41296450623648e-14
"LDHB",0.553029169783096,1.29903001654596e-16,5.39126324200276e-14
"ARF1",0.552219116727246,1.46843439134576e-16,5.9618436288638e-14
"PACSIN1",0.551311087491853,1.68406069456553e-16,6.69181224078847e-14
"DMTN",0.549272833042467,2.28701871967603e-16,8.89840866847283e-14
"VAMP2",0.548340309762189,2.62892278276543e-16,1.00199514063117e-13
"MAPK10",0.547766449282018,2.86365209096595e-16,1.05660938100448e-13
"RAB6B",0.547715711617613,2.88536509055625e-16,1.05660938100448e-13
"KIF5A",0.54691615600957,3.24955669671811e-16,1.1670907859213e-13
"SEPTIN5",0.54597138570685,3.73806161666484e-16,1.31720827835533e-13
"AQP4",0.545777182922402,3.84702630741897e-16,1.33050117254364e-13
"ATP1A2",0.543285788642636,5.55264295432289e-16,1.88547563299881e-13
"FAM171B",0.542568463042423,6.16798188804942e-16,2.05702195966448e-13
"TUBA4A",0.542157313003276,6.55021516125283e-16,2.11437156026725e-13
"SPTAN1",0.542010348733964,6.6923823930496e-16,2.11437156026725e-13
"NDUFA4",0.541996352136887,6.70607835383883e-16,2.11437156026725e-13
"IDS",0.541887878509537,6.81315486292936e-16,2.11437156026725e-13
"SEPTIN3",0.5417951510539,6.9060112002732e-16,2.11437156026725e-13
"NCS1",0.541473229321121,7.23808073607344e-16,2.18029670688561e-13
"DNM1",0.540852130325814,7.92342956597e-16,2.31745932643186e-13
"THY1",0.540836384154103,7.94160403146494e-16,2.31745932643186e-13
"PDZD4",0.540040327695329,8.91548113123982e-16,2.56162347087746e-13
"PRDX2",0.538551439681227,1.10598390100914e-15,3.12959929321919e-13
"PJA2",0.537550682990198,1.27763259531372e-15,3.56135318657896e-13
"ENO2",0.535365464271499,1.74784660010143e-15,4.80040927992562e-13
