"gene","statistic","p.value","p_adj"
"CXCL14",0.365840430045445,2.09670190614784e-07,0.000135027602755921
"SCN1A",0.344000489880898,1.17644507858911e-06,0.000448393638525105
"SCGB2B2",0.321392486451731,6.14341080440075e-06,0.00171245283855207
"FLG2",0.320876361934505,6.36996917715189e-06,0.0017494932993013
"BEX5",0.31722325009732,8.21547332998836e-06,0.00210181068371045
"ABCC6",0.315946060614013,8.97271174498635e-06,0.00220492584933375
"NHLH2",0.312740839883303,1.11750081216631e-05,0.00267569809846385
"RNF157",0.310863546300306,1.26931525004459e-05,0.0029632164512291
"FAM106A",0.306657568878566,1.68328420344572e-05,0.00374250187899432
"FBP2",0.305100447453713,1.86667224935653e-05,0.00410140834458619
"OIT3",0.304797771041915,1.90444449588555e-05,0.00413574481455333
"GAD1",0.303006206616016,2.14323194642847e-05,0.00443753058658855
"PAPPA",0.302540819763195,2.20973626340081e-05,0.00443753058658855
"KPNA7",0.302208400582608,2.25842710091483e-05,0.00447610778153268
"NIPAL2",0.302084180783547,2.27688069846651e-05,0.00447610778153268
"PNCK",0.300266372738128,2.56374710104053e-05,0.00493613823288999
"ADAMDEC1",0.299036421769957,2.77683149886637e-05,0.00523839445180083
"AKR1C4",0.298464310864421,2.88154122653518e-05,0.00538156639467711
"UHRF1BP1L",0.297530038009509,3.06057800855541e-05,0.00560385832233145
"JPH4",0.296497788975055,3.27056333073741e-05,0.00585917761389361
"ADCY6",0.296385816198437,3.29414033764633e-05,0.00585917761389361
"SLC12A5",0.29610588425689,3.35378548279231e-05,0.00587085018549336
"PGBD3",0.295358815887887,3.51798388539286e-05,0.00603376135924708
"GTF2H5",0.295343069716175,3.52152488840186e-05,0.00603376135924708
"FLT3",0.293836685955727,3.87624606939966e-05,0.00655602755974132
"RLN2",0.293754455947898,3.89654668628875e-05,0.00655602755974132
"POM121L12",0.293075620989647,4.06800041248001e-05,0.0067233606817236
"HTT",0.291906905133689,4.37993123149559e-05,0.00698166602402815
"KCNAB1",0.291660215110201,4.44858779641974e-05,0.00698166602402815
"PDGFA",0.29035503243274,4.82900289844706e-05,0.00739233263372108
"B3GALNT1",0.288159316266233,5.53880499428174e-05,0.00820973984707983
"EPHA6",0.287240789583033,5.86389284379792e-05,0.00843099057104598
"HAPLN4",0.28701859360443,5.94518228650617e-05,0.00843099057104598
"FAM13A",0.286635436759438,6.08785021792004e-05,0.00848482766193094
"CALB2",0.285750151994296,6.42987670533303e-05,0.00882266811576086
"OR1Q1",0.285526206441059,6.51921289341936e-05,0.00882266811576086
"ZNF79",0.285062569162872,6.70788322192098e-05,0.00901269259371196
"TRIM23",0.284906857020387,6.77238936888393e-05,0.00903436741809117
"LAMP5",0.284219274188963,7.06425575599044e-05,0.00930694106095865
"GRIN1",0.284191280994808,7.07638482895764e-05,0.00930694106095865
"SYT5",0.282970077899811,7.6249454150678e-05,0.00982302606169517
"AFM",0.282966578750541,7.62657302926643e-05,0.00982302606169517
"PAGE4",0.28257992275628,7.80844557832758e-05,0.00989655221599699
"NIM1K",0.282508190196259,7.84263079871254e-05,0.00989655221599699
"GAL3ST3",0.281974569932685,8.10137605441956e-05,0.0100867532794893
"ZNF233",0.28150393435596,8.33620266753393e-05,0.0103103921204546
"ENC1",0.280853092591864,8.6714725886581e-05,0.0106527791019172
"OSR2",0.280653641083512,8.77672011899309e-05,0.0106527791019172
"ATP1A3",0.280326470626829,8.95195933395236e-05,0.0107862446787674
"SPATA2",0.279840088878391,9.21854483929223e-05,0.011036252783245
"TRAPPC11",0.279294221592375,9.52658483425661e-05,0.0112547877376091
"MS4A10",0.279197994987469,9.58187647397651e-05,0.0112547877376091
"ARSB",0.278443928319927,0.000100256849370247,0.0114375199682258
"KRT2",0.27811150913934,0.00010227381852076,0.0114375199682258
"OLFM1",0.277920805504162,0.00010344800720934,0.0114518413209375
"KLHDC8A",0.277793086555831,0.000104241434170024,0.0114518413209375
"ACP2",0.276050510219703,0.0001156518474871,0.0124132982969488
"SLC5A8",0.275411915478049,0.00012011837727598,0.0126029821011584
"DRC1",0.274372668145057,0.000127733645381556,0.0131798539289831
"PTEN",0.273221448035446,0.000136695208032806,0.0139503809028453
"IL17C",0.273049989721249,0.000138079119583714,0.0139859184149743
"DSC1",0.272960761414881,0.000138804487221805,0.0139859184149743
"ATP2B2",0.272901275877302,0.000139290042042472,0.0139859184149743
"CYP21A2",0.272637090107468,0.000141465714274548,0.0141153863726433
"NECTIN3",0.272561858398177,0.000142091060080153,0.0141153863726433
"MAP2",0.271781548111115,0.000148731292151875,0.0145303494063051
"NF2",0.27159959234911,0.000150320810824694,0.0145303494063051
"SNCB",0.271592594050571,0.000150382261819495,0.0145303494063051
"TLE7",0.271578597453494,0.000150505234194889,0.0145303494063051
"ZCCHC12",0.270583089486369,0.000159496506074492,0.0151205926266356
"ZNF675",0.269258661487926,0.000172237070657017,0.0160034802566689
"SMPD2",0.268924492732704,0.000175598423213896,0.0160799162219508
"GRK7",0.268837014000971,0.000176488410511613,0.0160799162219508
"FAM83D",0.26881776867999,0.000176684771555508,0.0160799162219508
"SLC12A3",0.268751284843872,0.000177364678824259,0.0160799162219508
"NPS",0.268448608432075,0.000180491005680502,0.016206009721582
"EGR4",0.266826752745739,0.000198136943849752,0.0173280739216191
"C1QTNF9",0.266790011678411,0.000198554712959226,0.0173280739216191
"METTL7B",0.266553819102731,0.000201260035564221,0.0174824763916158
"NCDN",0.265964212450848,0.000208163956601359,0.0179137421626102
"NRIP3",0.265885481592288,0.000209102366215947,0.0179137421626102
"ATF1",0.265798002860554,0.000210149665219097,0.0179212563818806
"H4C12",0.265498825598026,0.000213768477695982,0.0181470004065916
"ANGEL2",0.264980951506165,0.000220170154383172,0.0185811746737935
"DGKE",0.264924965117856,0.000220872819532135,0.0185811746737935
"OR2D2",0.264442082518688,0.000227020574753793,0.0189353656718027
"PXDN",0.264435084220149,0.00022711083264531,0.0189353656718027
"C10orf143",0.263859474165343,0.000234649986330731,0.0193130461559813
"RIBC1",0.263726506493109,0.000236424364390277,0.0193660589006702
"VSTM2A",0.263633779037471,0.000237669142328418,0.0193830083062251
"NR2E3",0.263476317320351,0.000239796899526967,0.019446800495716
"C19orf38",0.263422080506677,0.00024053388918989,0.019446800495716
"TRIM39",0.263261119640287,0.000242733513999477,0.0195400478769579
"OR2F2",0.262729248951349,0.000250135672351962,0.0198847058191459
"TDRD1",0.262661015540597,0.000251100345637671,0.0198847058191459
"MYOZ2",0.262648768518154,0.000251273858070166,0.0198847058191459
"RPTN",0.262368836576607,0.000255270399266005,0.0201157382982781
"TNNT1",0.261504546707082,0.000267985940494746,0.0208264833947536
"ADGRG4",0.261219366041631,0.000272309141833741,0.0209347441691707
"GRIN2B",0.261214117317727,0.000272389314259396,0.0209347441691707
"NSG2",0.260694493651231,0.000280435907745898,0.0212056550705233
"KCND3",0.260685745778058,0.000280573244215072,0.0212056550705233
"PTPRN",0.260657752583903,0.000281013141142958,0.0212056550705233
"TMEM106A",0.260650754285364,0.000281123215498363,0.0212056550705233
"CMC1",0.260621011516575,0.000281591478768997,0.0212056550705233
"TKTL1",0.260493292568244,0.000283610508953876,0.0212719271695686
"ORC4",0.26030783765697,0.000286566214827984,0.0214076425125097
"CD160",0.260155624663754,0.000289013487780984,0.0215044458079588
"CBLL1",0.260055898909578,0.000290627389242293,0.0215387187360677
"SMCO2",0.259686738661663,0.000296674819094643,0.0218999957368046
"NAT10",0.259436549488905,0.000300839559224082,0.0220332533649763
"ZNF479",0.259083135412703,0.000306815227655105,0.0223831296550263
"OR5K4",0.258416547476895,0.000318387314764671,0.0229020612839669
"DIRAS1",0.258322070446623,0.000320059862664134,0.0229020612839669
"CCDC42",0.258190852349023,0.000322396382553738,0.0229812016815787
"KHDRBS2",0.258000148713844,0.000325820369851982,0.0231369628416563
"ARMH1",0.257867181041609,0.000328227679606383,0.0232196217588212
"SCRT1",0.257781451884511,0.000329788504334726,0.0232420004036051
"LHFPL1",0.257401794188788,0.000336783901848452,0.023645775003465
"RIPPLY1",0.257240833322398,0.000339791058441016,0.0237017548387355
"CCL22",0.256871673074484,0.000346782266654643,0.0239603948924879
"C8B",0.256808688387636,0.000347988325144803,0.0239603948924879
"KRTAP1-4",0.25675795072323,0.000348962701368425,0.0239603948924879
"PLA2G4B",0.256005633630324,0.00036371059887707,0.0246418546414249
"FABP1",0.255982889160073,0.000364165339528447,0.0246418546414249
"ATXN7L2",0.25528830803011,0.000378309007989174,0.025196302661964
