"gene","statistic","p.value","p_adj"
"NPTN",0.45648589186754,3.60722099342744e-11,7.74350106589091e-09
"MDH1",0.455966268201044,3.82021746773074e-11,8.10754334401583e-09
"EPB41L1",0.455586610505321,3.98350800040572e-11,8.35910060849183e-09
"RGS4",0.454029489080467,4.72699671970606e-11,9.80904341524783e-09
"PNMA2",0.453207189002174,5.17227419055616e-11,1.06150981080029e-08
"KCNAB2",0.452593088305406,5.53109339809704e-11,1.1228119598137e-08
"H4C12",0.451336893717715,6.34186879549383e-11,1.2735563615553e-08
"SPARCL1",0.450904748782952,6.64657262086494e-11,1.320546704971e-08
"CAMK2G",0.450645811737021,6.83590260531454e-11,1.34386649533531e-08
"ATP2A2",0.449370371828349,7.84748399943259e-11,1.52666261638962e-08
"PSD",0.449247901603922,7.95192779959726e-11,1.53103302665235e-08
"SNRPN",0.448787763475005,8.35652110676266e-11,1.59251416520305e-08
"CLSTN1",0.444627274993767,1.30451721775636e-10,2.4609256120018e-08
"CPE",0.443689502989586,1.44107890636283e-10,2.66088197278688e-08
"PRRT2",0.44356353361589,1.46044704045789e-10,2.66088197278688e-08
"LY6H",0.443546037869543,1.46315693548058e-10,2.66088197278688e-08
"BTBD2",0.443518044675388,1.46750290852992e-10,2.66088197278688e-08
"TLE5",0.442858455038119,1.5736024141139e-10,2.82582679672992e-08
"CLU",0.442176120930599,1.69117334886459e-10,3.00803366318048e-08
"NAPB",0.440424796721297,2.03324697373044e-10,3.58235098881034e-08
"CALM3",0.440027643279228,2.11967447161986e-10,3.69972340485724e-08
"SLC1A2",0.439266578313148,2.29534957289696e-10,3.96925450216886e-08
"ENO2",0.438878172744252,2.39036063826154e-10,4.06507202317854e-08
"ARF3",0.438862426572539,2.39429172493917e-10,4.06507202317854e-08
"GNB1",0.437882664777126,2.65160753362689e-10,4.46138939621763e-08
"FKBP8",0.437357792386726,2.80027418837835e-10,4.66945720912089e-08
"GIT1",0.436901153407078,2.93615588078082e-10,4.85271214420023e-08
"ATP6V1A",0.436719197645073,2.99206121025343e-10,4.9017311546222e-08
"RAP1GAP",0.436176829508326,3.16488753053333e-10,5.13977734958613e-08
"SREBF2",0.435686948610619,3.32926986636983e-10,5.36012448485542e-08
"GNAS",0.435009863227003,3.57014317476733e-10,5.69880290016707e-08
"VSNL1",0.43250097320089,4.6186429181982e-10,7.30998094409064e-08
"TPI1",0.431697918443578,5.01321406456381e-10,7.86779713191543e-08
"CKB",0.431117059664869,5.31874868290032e-10,8.27774586682053e-08
"CHL1",0.430448722154426,5.69261765501658e-10,8.78639068802394e-08
"SHANK1",0.430014827645029,5.94882384806795e-10,9.10657657266533e-08
"ATP1A2",0.429810127412773,6.0735360835027e-10,9.22189917849565e-08
"RNF157",0.429705152934693,6.1384688426535e-10,9.245326137532e-08
"PFKP",0.428513692608484,6.92418489081854e-10,1.03452861616742e-07
"ALDOC",0.428322988973306,7.05865967008755e-10,1.04625022221075e-07
"GABBR1",0.42712103119929,7.96623939196387e-10,1.17147627467966e-07
"CAMK2N1",0.42654367156985,8.44137999955264e-10,1.23165010055973e-07
"TUBB2A",0.426368714106383,8.59069625700278e-10,1.24371971547119e-07
"ATP5IF1",0.423529154474318,1.14028089143917e-09,1.63814507142445e-07
"HPCAL4",0.422755842485796,1.23113966557495e-09,1.75517285452502e-07
"MAPK1",0.422306201804686,1.28714726981136e-09,1.82111836446947e-07
"NAP1L3",0.422150489662201,1.30711115345932e-09,1.83545924075235e-07
"SYNGR3",0.421958036452387,1.33219956800668e-09,1.85672829343976e-07
"SPTAN1",0.421480402577123,1.39649261013727e-09,1.9319182212536e-07
"ADGRL1",0.42120921850875,1.43432051064071e-09,1.96965954828867e-07
"CA11",0.421009767000398,1.46277259927523e-09,1.99406869080761e-07
"NUDCD3",0.420362424385571,1.55892616856677e-09,2.10974674812703e-07
"KIFC2",0.42015947372795,1.59030983108958e-09,2.13673571262079e-07
"RTN3",0.41850262654892,1.87039963512391e-09,2.49511311325529e-07
"NRSN1",0.417683825619896,2.02586577022128e-09,2.68333823579097e-07
"ID2",0.417349656864675,2.09283996097828e-09,2.75252669797397e-07
"GPI",0.416765298936696,2.21513270547827e-09,2.89299429423162e-07
"FAM168A",0.413399117339597,3.06590000504116e-09,3.97630197876032e-07
"NEGR1",0.412730779829154,3.26888124588323e-09,4.20890514900409e-07
"RNF187",0.412662546418402,3.29031993871598e-09,4.20890514900409e-07
"EEF1A2",0.411556815249292,3.65725851673832e-09,4.64645986793231e-07
"PDE4DIP",0.411126419889164,3.81051404300011e-09,4.80845677480203e-07
"NRXN2",0.410867482843234,3.90568447115662e-09,4.89547403914906e-07
"EVL",0.410713520275383,3.96335592191241e-09,4.93464234650908e-07
"CEND1",0.410407344714316,4.08049644873603e-09,5.04684448189365e-07
"GABBR2",0.410220140228407,4.1537586746451e-09,5.10365769787315e-07
"EIF4A2",0.409985697227362,4.24729994594168e-09,5.18448194708542e-07
"CADM3",0.40981248933853,4.31771161727186e-09,5.23620663403696e-07
"MT3",0.408701509445516,4.79687586354764e-09,5.77977120178166e-07
"TCEAL3",0.408477563892279,4.89949376715099e-09,5.86557343559692e-07
"ITM2C",0.4074995516715,5.37301758488018e-09,6.39149531307148e-07
"SLC8A1",0.407370083148534,5.43891967359221e-09,6.42894074835494e-07
"CYFIP2",0.406684249891745,5.80124146705974e-09,6.7870953705657e-07
"SLC1A3",0.40665975584686,5.81460301611968e-09,6.7870953705657e-07
"FAM171B",0.406199617717942,6.07119803998376e-09,7.04258972638116e-07
"PINK1",0.405704488096332,6.35950302491226e-09,7.33148632674453e-07
"NPTX1",0.40350702235519,7.80640109232333e-09,8.94431575461537e-07
"TSPAN13",0.403332064891723,7.93435001662813e-09,9.03548298235042e-07
"B4GAT1",0.402980400390155,8.19767355082156e-09,9.27877280212991e-07
"PKM",0.402791446329611,8.34262137722626e-09,9.38595161693239e-07
"APLP2",0.402296316708,8.73425884440338e-09,9.76772563940584e-07
"AP2M1",0.400466261640139,1.03414993693478e-08,1.14282746876888e-06
"CAMKV",0.399082348104117,1.17425798522551e-08,1.29002600776892e-06
"HK1",0.398798917013301,1.20512884357285e-08,1.31619802822027e-06
"LDHB",0.398690443385952,1.21714937149348e-08,1.32159777104722e-06
"ARRB1",0.397640698605152,1.33960743456869e-08,1.44615655768814e-06
"SYP",0.396851640444917,1.43938527492378e-08,1.54494019508486e-06
"HPCA",0.396601451272159,1.47249071638457e-08,1.57144209252561e-06
"KLC1",0.395740660551903,1.59208907855266e-08,1.68942361540053e-06
"ZMIZ2",0.395523713297205,1.62367736813076e-08,1.71320895633955e-06
"USP22",0.394452973620788,1.78863337222015e-08,1.8766582505384e-06
"MAPK8IP1",0.393803881431327,1.89636800865649e-08,1.97857926981389e-06
"IQSEC1",0.393259763719946,1.99146994724909e-08,2.06626070749023e-06
"ATP1A1",0.391816364646345,2.26653085920001e-08,2.33865913405632e-06
"SULT4A1",0.391525935256991,2.32613430567322e-08,2.37801282949983e-06
"SRI",0.391506689936009,2.33013679480868e-08,2.37801282949983e-06
"PRDX2",0.390995814142687,2.43884182101915e-08,2.47542444833443e-06
"PTPRN",0.390246996199049,2.60704222522178e-08,2.63184435666173e-06
"GUK1",0.390084285758025,2.64503973828648e-08,2.65584742753969e-06
"UBXN6",0.38958740656178,2.76440338672927e-08,2.76085548933454e-06
"ATP1B2",0.38932497036658,2.82952290540948e-08,2.81086009475678e-06
"REEP5",0.388563905400499,3.02682635021388e-08,2.9872058361052e-06
"NR1D2",0.388518416459998,3.03902928282281e-08,2.9872058361052e-06
"AQP4",0.388439685601438,3.06026170955903e-08,2.99232710406934e-06
"MAP2K1",0.388002291942771,3.18084403260871e-08,3.09403349755209e-06
"SLC25A4",0.387664624038281,3.27704760441361e-08,3.17109539171133e-06
"GABRB2",0.387381192947465,3.35995438779419e-08,3.23456227558991e-06
"BEX1",0.387157247394227,3.42688453771262e-08,3.28207669878569e-06
"EPHB6",0.386704107563848,3.56625886582706e-08,3.39813523358093e-06
"PKIA",0.386060264098291,3.77370217884654e-08,3.57754628894101e-06
"SIRPA",0.385985032389,3.79868561499582e-08,3.58304305786172e-06
"GDI1",0.385824071522611,3.8526740217445e-08,3.61570552915077e-06
"VAMP2",0.384525887143688,4.31591671982965e-08,4.03020303297692e-06
"OAZ1",0.384419163090973,4.35629623836042e-08,4.04767107202086e-06
"TSPYL4",0.382375659917683,5.20330270760312e-08,4.81073670134633e-06
"MAPK8IP3",0.381920770512669,5.41232468965414e-08,4.97933871448181e-06
"SPTBN2",0.38136615535348,5.67810309917073e-08,5.19824771961336e-06
"SUGP2",0.381198196188552,5.76103599162033e-08,5.24844430143909e-06
"TCEAL2",0.380533357827378,6.10088332941997e-08,5.53107267282755e-06
"PTPRU",0.37692748450533,8.3068668020058e-08,7.49463982580968e-06
"PDXK",0.376598564474012,8.54247909899471e-08,7.67016056023198e-06
"PLCB1",0.376357123174428,8.71949956976614e-08,7.7916446873183e-06
"NAP1L2",0.375725526731313,9.19939457950566e-08,8.18132824604037e-06
"SHC3",0.375132420930161,9.6730626020573e-08,8.56180650028541e-06
"COX6B1",0.374730018764188,1.00076710520342e-07,8.77480115341736e-06
"MAPK10",0.374672282801244,1.00565823679073e-07,8.77648281789894e-06
"KIAA0513",0.372627030053318,1.19451720682395e-07,1.03761876068112e-05
"ATP6V1B2",0.372368093007388,1.22072642725911e-07,1.05547623868015e-05
"MAP1B",0.371930699348721,1.26625696895948e-07,1.08979793328513e-05
"NEFM",0.371642019534001,1.29719512964145e-07,1.10865800047998e-05
"AGAP3",0.371615775914481,1.30004338244333e-07,1.10865800047998e-05
"NPIPA1",0.371363837167089,1.32769369828195e-07,1.12709125041426e-05
"PLEKHG5",0.371089153949446,1.35848307393266e-07,1.14350657618612e-05
"GRINA",0.371082155650907,1.35927639705139e-07,1.14350657618612e-05
"ACO2",0.370688501358107,1.40462367341348e-07,1.17212959127729e-05
"PPIA",0.370678003910299,1.40585258324113e-07,1.17212959127729e-05
"GLS",0.37051704304391,1.42482553560117e-07,1.17738218828394e-05
"CLTB",0.370466305379505,1.43085689292044e-07,1.17738218828394e-05
"PDE2A",0.37046455580487,1.43106530702749e-07,1.17738218828394e-05
"SLC22A17",0.370338586431174,1.44614790485834e-07,1.18457273119011e-05
"DYNLL1",0.369764725951003,1.51680875888718e-07,1.23702709087235e-05
"HSPA9",0.368769217983878,1.64731437229671e-07,1.33356559507582e-05
"NUDT21",0.368753471812166,1.64946269256005e-07,1.33356559507582e-05
"SPRYD3",0.368569766475526,1.67472581515338e-07,1.34815428119847e-05
"ZNF428",0.368436798803291,1.69324257338605e-07,1.35721022749175e-05
"TMOD2",0.368344071347654,1.70627161458091e-07,1.36180891768859e-05
"BSG",0.367507774672283,1.82820412708553e-07,1.44801240461693e-05
"KCNQ2",0.367497277224475,1.82978650401369e-07,1.44801240461693e-05
"EHD3",0.366701220765701,1.95368598913944e-07,1.53953753304507e-05
"GOT1",0.366405542652443,2.00172299968006e-07,1.57076381269012e-05
"MAP3K10",0.365721458970288,2.11724073037797e-07,1.65445974395561e-05
"BAIAP3",0.365581492999514,2.14165099816104e-07,1.66656141840231e-05
"NDRG3",0.36437253692696,2.36402378613569e-07,1.83197129584523e-05
"PEBP1",0.36373919090921,2.48918773182282e-07,1.91554200510753e-05
"BEX2",0.363723444737498,2.49237902784928e-07,1.91554200510753e-05
"LONRF2",0.363163580854405,2.60842976194205e-07,1.99651779647662e-05
"ATP2B2",0.363027114032901,2.63749216878994e-07,2.01052260180902e-05
"GABRA2",0.36192838116233,2.8830548416955e-07,2.18877773266281e-05
"NTRK2",0.361818157960346,2.90886398619982e-07,2.19273205945674e-05
"PDP1",0.361805910937903,2.91174529206078e-07,2.19273205945674e-05
"MAOB",0.361525978996356,2.97835399044577e-07,2.23388510544438e-05
"CTSB",0.361132324703556,3.07449630729069e-07,2.29677172139843e-05
"PTPRN2",0.36100635532986,3.10588463659218e-07,2.30437750419387e-05
"GRIA1",0.360950368941551,3.11993330641781e-07,2.30437750419387e-05
"MAPK8IP2",0.360943370643012,3.12169366331682e-07,2.30437750419387e-05
"NDUFA4",0.360645942955119,3.19739441685307e-07,2.35096606807669e-05
"SYNGR1",0.360570711245828,3.21681902773513e-07,2.35597302596005e-05
"CDK16",0.360138566311066,3.33060530544294e-07,2.42978065173642e-05
"GDA",0.359729165846554,3.44195069859983e-07,2.50124012634438e-05
"AK5",0.35964168711482,3.46620031291523e-07,2.50909911023275e-05
"STMN1",0.359547210084548,3.49257360703586e-07,2.51842875231667e-05
"SLIT1",0.359319765382041,3.55685520439991e-07,2.55406552413445e-05
"PNCK",0.359276026016175,3.56934622938044e-07,2.55406552413445e-05
"COX6A1",0.359211291754692,3.58791004875133e-07,2.55754992635419e-05
"YWHAB",0.358630432975983,3.75867019959362e-07,2.66908458736161e-05
"PDXP",0.358570947438404,3.77659040146305e-07,2.67165160370166e-05
"EIF3C",0.358451976363247,3.81267647421728e-07,2.68700172952762e-05
"CST3",0.358000586107503,3.95261637774706e-07,2.76862129828735e-05
"CNKSR2",0.357983090361156,3.95813818078133e-07,2.76862129828735e-05
"HNRNPUL2",0.357920105674308,3.97807787120924e-07,2.77218590756357e-05
"TNIK",0.357858870562095,3.99755583377239e-07,2.77540344801238e-05
"NSF",0.357599933516164,4.08093354107383e-07,2.82279684492944e-05
"ELK1",0.357512454784431,4.10947591995672e-07,2.8320506376794e-05
"MYT1L",0.356049810389849,4.61596542332049e-07,3.1694033178652e-05
"MOAP1",0.354735879839214,5.12143263661327e-07,3.50358519858569e-05
"GAP43",0.354588915569902,5.18115455224506e-07,3.53150519772733e-05
"CAP2",0.354350973419587,5.27926189815782e-07,3.58529073490893e-05
"MAP6",0.354280990434201,5.30845351641392e-07,3.59205354610675e-05
"NDUFB8",0.354181264680025,5.3503184490306e-07,3.60731217884821e-05
"MAPRE3",0.353869840395054,5.4830970085681e-07,3.68353668100784e-05
"ELMOD1",0.353689634207683,5.56136286942164e-07,3.7227244784702e-05
"GABARAPL1",0.353117523302147,5.81698054764124e-07,3.86611845935046e-05
"RAPGEF2",0.351509664212888,6.5969233148688e-07,4.36894112866984e-05
"CALY",0.351285718659651,6.7131814504174e-07,4.430225327491e-05
"SV2B",0.350669868388248,7.04307598180928e-07,4.62097359821529e-05
"TOLLIP",0.350340948356931,7.22556035769792e-07,4.70190122788733e-05
"FGF12",0.350038271945133,7.39746995332675e-07,4.79705377945592e-05
"PJA2",0.349670861271853,7.61140068820898e-07,4.91870308833879e-05
"PIP5K1C",0.349392678904941,7.77729603892941e-07,5.00857864907054e-05
"ISCU",0.349256212083437,7.85993637564903e-07,5.04440452754712e-05
"PFN2",0.349124993985837,7.9401889999971e-07,5.06112524791624e-05
"DOC2A",0.349079505045336,7.96819220447997e-07,5.0616992384649e-05
"PGBD5",0.34871384394669,8.19674805940213e-07,5.1892361612676e-05
"CACNA1B",0.348096244100653,8.59706684866955e-07,5.40608480914084e-05
"ATP5F1B",0.34805775345869,8.6226244462746e-07,5.40608480914084e-05
"LMO4",0.348052504734786,8.62611519128277e-07,5.40608480914084e-05
"KIF3C",0.347961526853784,8.6868363481502e-07,5.42593162669074e-05
"TAGLN3",0.347707838531757,8.85831904329143e-07,5.51459888175036e-05
