ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_B_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_B,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,0.01314449,0.07802262,0.0032491256,0.044129416,0.007300293,0.006038656,0.030598966,0.0024701955,0.0035749825,0.0075217304,0.00561373,0.0065979897,0.0024176138,0.14056103,0.104789525,0.0029802576,0.007965273,0.018622164,0.005243134,0.0060473825,0.35450858,0.0030879837,0.0036420247,0.0039554643,0.003189146,0.004818992,0.003656945,0.0044612414,0.00713485,0.0023583272,0.013795001,0.0017874545,0.0022884011,0.0017903856,0.0019105835,0.010999617,0.006685307,0.003342246,0.0058558206,0.004008047,0.0044847853,0.021340897,0.004364286,0.020991115,0.0044692284,0.0041846414
2534_C_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0042391284,0.0046442687,0.0073034726,0.0039946996,0.0070747645,0.032101255,0.0029927206,0.0021521768,0.0028027333,0.0026445386,0.0026473906,0.00383153,0.0019526621,0.002700272,0.002646487,0.0018993075,0.0022874838,0.0026584645,0.0019226959,0.002734279,0.32494244,0.002184278,0.0024757483,0.0026769666,0.0025413209,0.0028526417,0.015608797,0.02965406,0.008013408,0.022931011,0.0680335,0.0055009807,0.0049772784,0.005839056,0.037026953,0.16734743,0.014312873,0.007758083,0.007146936,0.055173475,0.07381057,0.01966071,0.0042849947,0.0065234387,0.006483082,0.0070096357
2534_C_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0073063266,0.051810313,0.0028373394,0.007201592,0.0059359674,0.02402185,0.026143653,0.00073939894,0.009767947,0.0039678076,0.003797526,0.005211676,0.00086776644,0.124359794,0.042275377,0.0029478562,0.019646669,0.012476377,0.0026527455,0.0035737283,0.35445446,0.0014400131,0.0032724508,0.0018990639,0.0026314089,0.0018687268,0.015734985,0.024327114,0.008776069,0.003267669,0.008854977,0.0013977196,0.0020447373,0.001938091,0.0034062855,0.14760628,0.0030143058,0.0015527206,0.002176188,0.0025524946,0.0069727204,0.02306856,0.0055580176,0.0075406753,0.0021633513,0.0049391603
2534_C_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.01088819,0.03258554,0.0040404922,0.0064891065,0.003956961,0.013640544,0.035064436,0.0010613699,0.0059391037,0.0065393504,0.004388406,0.007440146,0.0012434341,0.13048312,0.041408867,0.004087397,0.016273592,0.041423406,0.0044301483,0.0046672844,0.36024272,0.0015609224,0.0037632152,0.0015296004,0.001929803,0.0028564825,0.004667271,0.0176462,0.0066086883,0.0041903136,0.012678082,0.0014591948,0.0024903042,0.0018375114,0.004975339,0.12055747,0.0057399482,0.002440101,0.0046287165,0.003954715,0.00887601,0.026655868,0.0041142604,0.0078016664,0.0039673583,0.0067773014
2534_C_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0035905233,0.019770706,0.0043697045,0.01821974,0.003822888,0.008369894,0.0213737,0.0020945396,0.0044899876,0.005965852,0.007269949,0.018013086,0.0018676373,0.08918453,0.04418696,0.0028066197,0.011769986,0.015285238,0.0043215333,0.0062966445,0.4044667,0.002846579,0.004977788,0.0034657528,0.0031331945,0.0060983635,0.0045196516,0.007881359,0.010026739,0.00591735,0.03266744,0.0030404082,0.005208472,0.0029196248,0.0062265787,0.07078739,0.020911241,0.0105064865,0.012077922,0.0112371035,0.015500823,0.034334,0.0037691724,0.0133580435,0.0039625685,0.007089472
2534_C_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0014076739,0.0015520676,0.0033924084,0.0031813718,0.002118933,0.011585827,0.0034056813,0.0040131793,0.0037324731,0.003323196,0.0029338263,0.0056810556,0.003309284,0.003009591,0.0035422996,0.002574748,0.0030234796,0.003962065,0.0023759936,0.0027736924,0.48691776,0.004067207,0.004140015,0.0056536435,0.0027074353,0.00918817,0.03585131,0.0056540202,0.010162134,0.034042347,0.086228445,0.0039053336,0.0058499263,0.004216942,0.030823879,0.009327376,0.018853454,0.032680914,0.02685119,0.034033988,0.02663667,0.022285951,0.0040761754,0.0098111145,0.0047236574,0.010412167
2534_C_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.011875268,0.014116019,0.005501594,0.010561434,0.022053668,0.0077658356,0.0051001175,0.0074504022,0.005800402,0.005953576,0.0053866473,0.0047678393,0.006820541,0.00483573,0.005280451,0.0053714826,0.004687142,0.0045409948,0.0053019472,0.0047664274,0.5478383,0.004978663,0.004347674,0.0051906514,0.004538362,0.005165575,0.018624142,0.010561955,0.014471019,0.0046268413,0.13938558,0.0047337734,0.0043467046,0.005239797,0.002789781,0.004005357,0.007061157,0.0053192643,0.0074023404,0.005238779,0.0037726252,0.0064398497,0.007820503,0.014690293,0.008564826,0.004908576
2534_C_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.008600522,0.008824421,0.0076946737,0.0085165175,0.010766095,0.013235203,0.0055383025,0.005316842,0.0063417754,0.0047367834,0.004820882,0.0062647383,0.0051438804,0.004476151,0.0047852104,0.0054166075,0.0052249297,0.005339189,0.004971887,0.005350373,0.5981974,0.0059691695,0.005412009,0.006000374,0.006022588,0.0051256446,0.005383651,0.005422014,0.009236706,0.006139669,0.08146345,0.0045641507,0.0054704896,0.0049016844,0.006359157,0.007779305,0.010784638,0.008438984,0.022782896,0.0069604656,0.006527759,0.013200619,0.008690857,0.010444461,0.009134918,0.0082218945
2534_C_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.0022102376,0.0015248602,0.0052324133,0.0034768349,0.0038692025,0.003935193,0.003350032,0.00511524,0.0038480754,0.0028250336,0.0024880029,0.0045483494,0.0050913575,0.00218825,0.0026324752,0.0031093422,0.0022898193,0.0027529655,0.003141051,0.0037144662,0.50063646,0.002451911,0.0051162103,0.003149691,0.003816366,0.003823338,0.012069986,0.004348896,0.0099161435,0.017096033,0.08793207,0.006724492,0.0087708365,0.005814401,0.018437788,0.008559144,0.025756564,0.043874994,0.07829247,0.020398846,0.013469975,0.019873708,0.0027699017,0.010015822,0.01467458,0.004866143
2534_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.001499374,0.0024857633,0.0052925246,0.0022690948,0.0028696,0.021931509,0.0017743768,0.013103922,0.0046808384,0.003014858,0.0021173754,0.0024257156,0.005087031,0.0011808033,0.0015257425,0.0020717788,0.0013069011,0.0010236698,0.00084532355,0.0017103672,0.452429,0.0022868635,0.009433249,0.0017537503,0.00192427,0.0023007412,0.020024693,0.0053190542,0.003985729,0.02458628,0.08328366,0.006604172,0.0073969383,0.007325177,0.025923945,0.018074505,0.013880517,0.018203106,0.02688578,0.07368178,0.04176075,0.012614222,0.01223171,0.008714927,0.029760031,0.011398446
2534_D_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.0011967254,0.0010311485,0.0030922676,0.0021447747,0.0014664488,0.037579354,0.0015596837,0.008873652,0.0030263374,0.0019517216,0.0027406467,0.002698798,0.0067113577,0.0010510758,0.0011353923,0.0024691813,0.0013348826,0.0015870142,0.0015718143,0.002285933,0.47230333,0.0027138016,0.0034296964,0.0048688604,0.0016143683,0.002125253,0.011881533,0.008571918,0.004396709,0.03443694,0.08284938,0.010746409,0.00790613,0.005505863,0.018637475,0.0062399046,0.012003117,0.02690682,0.051980272,0.027359074,0.07799156,0.0057247025,0.005390089,0.0064009046,0.011928663,0.010579036
2534_D_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.0014721482,0.0029446671,0.0035079857,0.0011181504,0.0037110976,0.16712686,0.0012285949,0.005675767,0.0062055807,0.0022592156,0.0021479044,0.0021752378,0.005999548,0.0013126459,0.0014271472,0.004127553,0.0027874245,0.0009009783,0.0009963961,0.0010516344,0.48054674,0.0035598816,0.002514759,0.0021356854,0.004298646,0.001686674,0.029134238,0.0047832844,0.001853365,0.0059537464,0.080977865,0.0092619825,0.003875822,0.004147054,0.010327808,0.0047519985,0.0014577174,0.0028006986,0.004220941,0.002128927,0.005201211,0.007327233,0.061703805,0.004042507,0.032095198,0.011035643
