Scan Name,ROI,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,ROI_ID,Scan_ID,disease_status,pathology,region,AnnData_ROI,celltype,rel_abundance
BRC 2534 BRC 2732,34,Full ROI,,,HW0110125,2534_F 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,34,Oligodendrocytes4,0.03866275
BRC 2534 BRC 2732,35,Full ROI,,,HW0110125,2534_F 005,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,35,Oligodendrocytes4,0.046128497
BRC 2534 BRC 2732,36,Full ROI,,,HW0110125,2534_F 006,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,36,Oligodendrocytes4,0.0439874
BRC 2534 BRC 2732,37,Full ROI,,,HW0110125,2534_F 007,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,37,Oligodendrocytes4,0.035931963
BRC 2845 BRC 2497,67,Full ROI,,,HW0110125,2845_A,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,67,Oligodendrocytes4,0.008290548
BRC 2845 BRC 2497,68,Full ROI,,,HW0110125,2845_A 002,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,68,Oligodendrocytes4,0.01269861
BRC 2845 BRC 2497,69,Full ROI,,,HW0110125,2845_A 003,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,69,Oligodendrocytes4,0.013098801
BRC 2845 BRC 2497,70,Full ROI,,,HW0110125,2845_A 004,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,70,Oligodendrocytes4,0.024621217
BRC 2845 BRC 2497,71,Full ROI,,,HW0110125,2845_A 005,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,71,Oligodendrocytes4,0.016275018
BRC 2845 BRC 2497,72,Full ROI,,,HW0110125,2845_A 006,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,72,Oligodendrocytes4,0.011354664
BRC 2845 BRC 2497,73,Full ROI,,,HW0110125,2845_A 007,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,73,Oligodendrocytes4,0.043707576
BRC 2845 BRC 2497,74,Full ROI,,,HW0110125,2845_A 008,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,74,Oligodendrocytes4,0.016020374
BRC 2845 BRC 2497,75,Full ROI,,,HW0110125,2845_A 009,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,75,Oligodendrocytes4,0.017457668
BRC 2845 BRC 2497,76,Full ROI,,,HW0110125,2845_A1,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,76,Oligodendrocytes4,0.029619467
BRC 2845 BRC 2497,77,Full ROI,,,HW0110125,2845_A2,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,77,Oligodendrocytes4,0.010032798
BRC 2845 BRC 2497,78,Full ROI,,,HW0110125,2845_A3,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,78,Oligodendrocytes4,0.02315358
BRC 2845 BRC 2497,79,Full ROI,,,HW0110125,2845_B,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,79,Oligodendrocytes4,-0.0052328203
BRC 2845 BRC 2497,80,Full ROI,,,HW0110125,2845_B 002,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,80,Oligodendrocytes4,0.011322607
BRC 2845 BRC 2497,81,Full ROI,,,HW0110125,2845_B1,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,81,Oligodendrocytes4,0.019676164
BRC 2845 BRC 2497,82,Full ROI,,,HW0110125,2845_B2,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,82,Oligodendrocytes4,0.022840906
BRC 2845 BRC 2497,83,Full ROI,,,HW0110125,2845_B3,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,83,Oligodendrocytes4,0.01225188
BRC 2845 BRC 2497,84,Full ROI,,,HW0110125,2845_C,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,84,Oligodendrocytes4,0.004351416
BRC 2845 BRC 2497,85,Full ROI,,,HW0110125,2845_C 002,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,85,Oligodendrocytes4,0.008782154
BRC 2845 BRC 2497,86,Full ROI,,,HW0110125,2845_C 003,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,86,Oligodendrocytes4,-0.0031943389
BRC 2845 BRC 2497,87,Full ROI,,,HW0110125,2845_C 004,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,87,Oligodendrocytes4,0.039803423
BRC 2845 BRC 2497,88,Full ROI,,,HW0110125,2845_C 005,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,88,Oligodendrocytes4,0.016365295
BRC 2845 BRC 2497,89,Full ROI,,,HW0110125,2845_C 006,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,89,Oligodendrocytes4,0.043948285
BRC 2845 BRC 2497,90,Full ROI,,,HW0110125,2845_C 007,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,90,Oligodendrocytes4,0.035266235
BRC 2845 BRC 2497,91,Full ROI,,,HW0110125,2845_D,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,91,Oligodendrocytes4,0.025278075
BRC 2845 BRC 2497,92,Full ROI,,,HW0110125,2845_D 002,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,92,Oligodendrocytes4,0.026903488
BRC 2845 BRC 2497,93,Full ROI,,,HW0110125,2845_D 003,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,93,Oligodendrocytes4,0.021759445
BRC 2845 BRC 2497,94,Full ROI,,,HW0110125,2845_D 004,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,94,Oligodendrocytes4,0.028721157
BRC 2845 BRC 2497,95,Full ROI,,,HW0110125,2845_D 005,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,95,Oligodendrocytes4,0.028418634
BRC 2845 BRC 2497,96,Full ROI,,,HW0110125,2845_D 006,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,96,Oligodendrocytes4,0.056302257
BRC 2845 BRC 2497,97,Full ROI,,,HW0110125,2845_D 007,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,97,Oligodendrocytes4,0.038501285
BRC 2845 BRC 2497,98,Full ROI,,,HW0110125,2845_D 008,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,98,Oligodendrocytes4,0.062432785
BRC 2845 BRC 2497,99,Full ROI,,,HW0110125,2845_D 009,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,99,Oligodendrocytes4,0.05408067
BRC 2845 BRC 2497,100,Full ROI,,,HW0110125,2845_E,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,100,Oligodendrocytes4,0.038907066
BRC 2845 BRC 2497,101,Full ROI,,,HW0110125,2845_E 002,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,101,Oligodendrocytes4,0.001096366
BRC 2845 BRC 2497,102,Full ROI,,,HW0110125,2845_E 003,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,102,Oligodendrocytes4,0.02671219
BRC 2845 BRC 2497,103,Full ROI,,,HW0110125,2845_E 004,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,103,Oligodendrocytes4,0.027207589
BRC 2845 BRC 2497,104,Full ROI,,,HW0110125,2845_E 005,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,104,Oligodendrocytes4,0.02152384
BRC 2845 BRC 2497,105,Full ROI,,,HW0110125,2845_E 006,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,105,Oligodendrocytes4,0.011612909
BRC 2845 BRC 2497,106,Full ROI,,,HW0110125,2845_E 007,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,106,Oligodendrocytes4,-0.0058076177
BRC 2845 BRC 2497,107,Full ROI,,,HW0110125,2845_E 008,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,107,Oligodendrocytes4,0.018165668
BRC 2845 BRC 2497,108,Full ROI,,,HW0110125,2845_F,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,108,Oligodendrocytes4,0.00903645
BRC 2845 BRC 2497,109,Full ROI,,,HW0110125,2845_F 002,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,109,Oligodendrocytes4,0.046547268
BRC 2845 BRC 2497,110,Full ROI,,,HW0110125,2845_F 003,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,110,Oligodendrocytes4,-0.029271549
BRC 2845 BRC 2497,111,Full ROI,,,HW0110125,2845_F 004,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,111,Oligodendrocytes4,-0.0100895455
BRC 2845 BRC 2497,112,Full ROI,,,HW0110125,2845_F 005,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,112,Oligodendrocytes4,0.028067399
BRC 2845 BRC 2497,113,Full ROI,,,HW0110125,2845_F 006,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,113,Oligodendrocytes4,-0.009801442
BRC 2845 BRC 2497,114,Full ROI,,,HW0110125,2845_F 007,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,114,Oligodendrocytes4,0.010831884
BRC 2845 BRC 2497,115,Full ROI,,,HW0110125,2845_F 008,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,115,Oligodendrocytes4,0.017419137
BRC 2845 BRC 2497,116,Full ROI,,,HW0110125,2845_F 009,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,116,Oligodendrocytes4,0.024359185
BRC 2845 BRC 2497,117,Full ROI,,,HW0110125,2845_F 010,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,117,Oligodendrocytes4,0.02860228
BRC 2613 BRC 2509,118,Full ROI,,,HW0110125,2509_A,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,118,Oligodendrocytes4,0.084010966
BRC 2613 BRC 2509,119,Full ROI,,,HW0110125,2509_A 002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,119,Oligodendrocytes4,0.116887815
BRC 2613 BRC 2509,120,Full ROI,,,HW0110125,2509_A 003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,120,Oligodendrocytes4,0.0213101
BRC 2613 BRC 2509,121,Full ROI,,,HW0110125,2509_C,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,121,Oligodendrocytes4,0.01524507
BRC 2613 BRC 2509,122,Full ROI,,,HW0110125,2509_C 002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,122,Oligodendrocytes4,0.022161467
BRC 2613 BRC 2509,123,Full ROI,,,HW0110125,2509_C 003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,123,Oligodendrocytes4,0.03152606
BRC 2613 BRC 2509,124,Full ROI,,,HW0110125,2509_C 004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,124,Oligodendrocytes4,0.0029671935
BRC 2613 BRC 2509,125,Full ROI,,,HW0110125,2509_C 005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,125,Oligodendrocytes4,0.008464434
BRC 2613 BRC 2509,126,Full ROI,,,HW0110125,2509_C 006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,126,Oligodendrocytes4,-0.0062968745
BRC 2613 BRC 2509,127,Full ROI,,,HW0110125,2509_C 007,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,127,Oligodendrocytes4,-0.017241416
BRC 2613 BRC 2509,128,Full ROI,,,HW0110125,2509_D,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,128,Oligodendrocytes4,-0.005913111
