ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_B_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_B,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,0.12525393,0.743478,0.030960936,0.42050946,0.069564536,0.057542387,0.29157773,0.023538508,0.03406603,0.071674615,0.053493265,0.06287228,0.023037456,1.3394068,0.99854,0.028398892,0.075901136,0.1774507,0.049961857,0.057625543,3.3781145,0.029425414,0.034704875,0.037691645,0.030389393,0.045920204,0.03484705,0.042511195,0.06798803,0.022472514,0.13145265,0.017032664,0.021806188,0.017060595,0.018205961,0.104815416,0.06370433,0.03184828,0.05580015,0.038192704,0.042735547,0.20335753,0.041587308,0.20002446,0.042587306,0.039875474
2534_C_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.06589112,0.07218844,0.11352192,0.062091824,0.10996698,0.4989676,0.046517514,0.033452474,0.043564435,0.041105527,0.04114986,0.05955559,0.030351307,0.04197182,0.04113581,0.029521987,0.035555627,0.041321985,0.029885527,0.04250041,5.0507603,0.033951443,0.038481925,0.041609574,0.039501157,0.04434019,0.24261616,0.46092945,0.124556825,0.3564294,1.0574824,0.085504785,0.077364594,0.09075968,0.5755304,2.6011736,0.2224729,0.120588176,0.11108878,0.85759187,1.1472785,0.30559728,0.06660404,0.10139742,0.10077013,0.108954646
2534_C_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 002,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.2955287,2.0956407,0.11476564,0.29129237,0.24009997,0.97164375,1.0574671,0.029907452,0.39509714,0.1604912,0.15360358,0.2108036,0.035099704,5.030146,1.7099684,0.11923586,0.79467493,0.5046486,0.10729913,0.14455134,14.3370905,0.058246125,0.13236517,0.076813966,0.106436096,0.07558688,0.63645387,0.98399115,0.3549773,0.13217175,0.35816902,0.056535423,0.08270621,0.07839254,0.13777857,5.9704275,0.12192363,0.06280495,0.08802316,0.10324415,0.2820349,0.9330847,0.22481254,0.30500773,0.08750395,0.19978078
2534_C_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 003,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.33702403,1.0086259,0.12506606,0.20085844,0.122480504,0.42221814,1.0853556,0.03285277,0.1838341,0.20241365,0.1358351,0.23029613,0.038488235,4.038867,1.2817359,0.1265179,0.50371933,1.2821859,0.13712715,0.14446726,11.150656,0.048315503,0.11648346,0.04734599,0.059733532,0.0884172,0.14446685,0.5462059,0.20455988,0.1297035,0.39242688,0.045166712,0.07708282,0.056876812,0.15400253,3.7316365,0.17766961,0.075528875,0.14327347,0.12241099,0.2747407,0.82508373,0.12734942,0.24148634,0.12280234,0.209779
2534_C_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 004,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.06535826,0.35988596,0.07954168,0.3316537,0.06958799,0.15235709,0.38906524,0.038126882,0.0817312,0.10859635,0.13233481,0.32789204,0.033996582,1.6234251,0.8043348,0.05108887,0.21424893,0.27823702,0.078664824,0.11461776,7.362503,0.051816247,0.09061062,0.06308706,0.057033505,0.11100845,0.08227117,0.1434643,0.18251662,0.10771345,0.5946451,0.05534452,0.094809756,0.0531459,0.113342345,1.2885422,0.3806471,0.19124946,0.2198543,0.20454888,0.28216133,0.62498146,0.068610206,0.24315633,0.07213059,0.12904958
2534_C_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 005,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.038385313,0.04232273,0.09250627,0.086751595,0.05778036,0.3159294,0.0928682,0.10943383,0.101779364,0.09061894,0.08000137,0.1549145,0.090239584,0.08206737,0.096593596,0.0702098,0.08244609,0.10804002,0.06479005,0.07563474,13.277572,0.1109071,0.11289247,0.15416701,0.073828004,0.25054863,0.9776155,0.15417728,0.27710727,0.92828757,2.35133,0.106493026,0.15951937,0.11499015,0.8405244,0.2543446,0.5141075,0.8911631,0.73219466,0.9280596,0.726345,0.60770696,0.11115165,0.26753548,0.12880757,0.28392532
2534_C_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 006,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.10095705,0.12000669,0.04677155,0.08978754,0.18748826,0.0660209,0.043358415,0.063339256,0.04931185,0.050614055,0.045794338,0.04053357,0.057984516,0.04111074,0.044891514,0.045665413,0.039847523,0.03860506,0.04507426,0.040521566,4.657422,0.042325877,0.03696155,0.044128086,0.038582675,0.0439149,0.15833229,0.089791976,0.1230247,0.03933488,1.1849802,0.040243957,0.03695331,0.044545893,0.023717195,0.034051362,0.060030103,0.04522148,0.06293066,0.04453724,0.0320728,0.054748088,0.06648565,0.12488885,0.07281348,0.041730035
2534_C_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 007,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.038294673,0.039291605,0.034261294,0.03792063,0.0479371,0.058931045,0.024659837,0.023673763,0.02823738,0.021090996,0.021465452,0.027894365,0.022903634,0.019930502,0.02130662,0.024117978,0.023264514,0.023773264,0.022137817,0.023823064,2.663533,0.026578316,0.024097504,0.026717257,0.026816167,0.022822438,0.023971235,0.024142051,0.041127346,0.027337482,0.36272404,0.02032233,0.024357894,0.021825233,0.028314775,0.03463812,0.048019662,0.03757541,0.10144309,0.03099216,0.029065492,0.058777057,0.0386969,0.046504993,0.040674124,0.036608797
2534_C_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_C 008,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,0.055205166,0.038086478,0.13069014,0.08684101,0.09664118,0.09828944,0.08367385,0.1277635,0.096113496,0.07056095,0.06214292,0.11360426,0.12716699,0.054655984,0.06575141,0.07766213,0.057192884,0.0687609,0.07845412,0.092776336,12.504412,0.06124146,0.12778774,0.07866993,0.095321484,0.09549563,0.3014724,0.1086225,0.24767582,0.42700815,2.196282,0.16795784,0.21906944,0.14522646,0.46052116,0.213782,0.64332247,1.095867,1.9555132,0.5095026,0.33643997,0.49638623,0.069183916,0.2501655,0.3665274,0.121541806
2534_D_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.17306021,0.28691086,0.61087185,0.26190263,0.33121392,2.5313706,0.20480148,1.5124761,0.54027003,0.34797987,0.24439093,0.27998006,0.58715343,0.13629025,0.1761037,0.2391281,0.15084466,0.118153654,0.09756863,0.19741338,52.220097,0.26395354,1.088801,0.20242073,0.22210239,0.26555532,2.3112829,0.613934,0.46003938,2.8377888,9.612737,0.7622643,0.85376674,0.84548396,2.9921842,2.086189,1.602112,2.1010323,3.1032007,8.504472,4.820094,1.4559542,1.4118041,1.0058912,3.4349515,1.3156273
