ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2732_F_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.074954145,0.3363299,0.119677104,0.29143354,0.1322097,0.06261606,0.30045643,0.04497251,0.09738615,0.11363571,0.09779367,0.24019982,0.042864606,0.9504897,0.7609378,0.04852141,0.22252053,0.2756831,0.10541558,0.09185105,17.19174,0.04751893,0.04822111,0.04521348,0.032068294,0.07651421,0.13847731,0.19212495,0.38699794,0.13082363,0.51359326,0.02986092,0.05834752,0.030232284,0.17731863,0.8135446,0.25633985,0.17595436,0.20557596,0.29592863,0.32546005,0.65622807,0.035555206,0.089436874,0.0396411,0.07047547
2732_F_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 002,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.049521685,0.14172973,0.020021722,0.16385746,0.0308158,0.03769541,0.159093,0.01519475,0.02644066,0.05206436,0.02999754,0.046199054,0.013785372,2.5619032,6.7148466,0.017291967,0.068289794,0.04047722,0.024878453,0.033152312,26.264614,0.044780564,0.06345953,0.04052185,0.0515151,0.05329057,0.053006627,0.093540624,0.12767483,0.019894106,0.28120315,0.016512286,0.017940095,0.020408535,0.015149159,0.03672066,0.038410638,0.035756677,0.034633473,0.0221608,0.018405931,0.0761503,0.036530185,0.14656647,0.026245914,0.022852775
2732_F_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 003,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.019408276,0.025340265,0.057213712,0.02588346,0.042997047,0.033393413,0.02624905,0.041425362,0.07516672,0.03483539,0.036177203,0.048064355,0.04250716,0.026247734,0.028838702,0.04633045,0.035665464,0.025154002,0.028170368,0.033100452,15.498824,0.033321977,0.04081264,0.06195458,0.052289262,0.030670976,0.068986915,0.079251096,0.033608723,0.23775722,0.15603295,0.03239039,0.053019848,0.031739563,2.12665,3.4117603,0.116706595,0.076261126,0.15935378,0.2995365,1.3788142,0.14998674,0.020941962,0.031429447,0.039114133,0.0718671
2732_F_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 004,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.120064154,0.13960636,0.33986548,0.06792317,0.3971284,0.1104897,0.0655281,0.1160977,0.13621068,0.089807965,0.11462032,0.1238348,0.07930046,0.07501257,0.08882556,0.062578335,0.078823075,0.12479754,0.056171533,0.048477713,24.284548,0.04242611,0.1006036,0.051918563,0.10284603,0.07059362,0.32507348,0.1251065,0.07592327,0.30063316,1.2749158,0.0766854,0.11165087,0.064250395,1.5325307,5.7755523,0.11607465,0.12274527,0.118209444,0.4703979,1.74919,0.3086902,0.055776104,0.061038375,0.06704907,0.14926267
2732_F_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 005,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.046692662,0.07671711,0.097454,0.08498846,0.08620563,0.075034246,0.1754673,0.052699875,0.059818428,0.08467482,0.09773237,0.21424201,0.0388896,1.0169766,0.6812862,0.040623095,0.1947121,0.16666366,0.10267553,0.10487198,18.318113,0.07310608,0.089775786,0.05370811,0.050483316,0.11518664,0.072293,0.13573882,0.09468098,0.14228703,0.43175647,0.038984627,0.06449554,0.029268892,0.32798028,3.6135163,0.11313724,0.1360639,0.11360155,0.19510049,0.28573456,0.3328432,0.033556834,0.13126625,0.029522642,0.060537748
2732_F_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2732_F 006,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,0.043215614,0.10146923,0.028890496,0.11954211,0.04068869,0.025401758,0.2680959,0.022324616,0.0380835,0.048349287,0.04028096,0.07446144,0.021698667,2.8962922,0.88719994,0.027510006,0.23892213,0.32278976,0.07940037,0.5454298,14.165188,0.020984631,0.03970718,0.026026404,0.035203967,0.03782763,0.026818046,0.022251211,0.06566704,0.021924457,0.12871218,0.024773184,0.026095036,0.02099105,0.023626877,0.049032584,0.045681987,0.03800836,0.0677957,0.033646584,0.02513393,0.09843476,0.02774561,0.05779751,0.023557961,0.03143412
2497_D_001,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2497_D,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,0.031767063,0.025456613,0.026256116,0.032727994,0.032125577,0.039448623,0.036155663,0.056020565,0.056499917,0.05514196,0.046088006,0.038669452,0.05137542,0.03800427,0.04279909,0.05465213,0.041828938,0.041747954,0.042619966,0.036096886,16.065285,0.042901486,0.051810432,0.03777184,0.03809139,0.046962287,0.0588698,0.03998401,0.049129266,0.029645136,0.33793867,0.039253533,0.029097822,0.046838928,0.020460976,0.0225924,0.03700646,0.026273336,0.0662854,0.023355953,0.02287956,0.058130145,0.038734525,0.050077856,0.0481466,0.03330896
2497_D_002,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2497_D 002,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,0.040786088,0.033749003,0.0301312,0.043252394,0.047097344,0.04288594,0.03362508,0.049487896,0.047955226,0.041061528,0.040862083,0.034204587,0.04730089,0.036907095,0.03676426,0.03861706,0.035326116,0.03700192,0.035899118,0.036489606,17.680023,0.05170603,0.051245034,0.055619024,0.03985497,0.04756097,0.063620225,0.06503966,0.066012494,0.03182575,0.40076435,0.042793754,0.03459363,0.04592595,0.02111594,0.02641043,0.04193909,0.034875367,0.059603997,0.02683707,0.021177005,0.053031962,0.048878595,0.07372627,0.06819918,0.038005713
2497_D_003,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2497_D 003,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,0.021609452,0.019689303,0.02335863,0.026932647,0.025353204,0.03595607,0.028562715,0.038589824,0.03409599,0.038112506,0.034708325,0.031852055,0.03581314,0.0321883,0.03467109,0.033239394,0.03239083,0.03470912,0.03406755,0.03526108,14.566416,0.03454899,0.031263474,0.03739395,0.030652132,0.037461653,0.037659105,0.03095233,0.034981687,0.025171388,0.2389317,0.041946102,0.029751636,0.040385757,0.023224026,0.024363039,0.031494986,0.031230316,0.050513335,0.021545684,0.023934834,0.045954823,0.043137863,0.052150395,0.062965825,0.035243433
2497_D_004,BRC 2845 BRC 2497,Full ROI,,,HW0110125,2497_D 004,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,0.033759005,0.029823488,0.031029971,0.03920992,0.03148392,0.045436915,0.047379006,0.084461875,0.08032555,0.0684215,0.062110566,0.0467896,0.08610851,0.052790105,0.051925126,0.077428184,0.060450878,0.05438477,0.07410428,0.06283294,16.407753,0.05989633,0.05577621,0.058961485,0.08047066,0.06258525,0.094246924,0.054545764,0.05637689,0.035642814,0.38853085,0.04169435,0.033368327,0.039464887,0.027931452,0.027513102,0.04750765,0.03500683,0.06257199,0.022786725,0.023355346,0.063443616,0.044515613,0.056547005,0.06758654,0.037340518
