ROI,Scan_ID,disease_status,pathology,region,celltype,rel_abundance
89,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.043948285
90,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.03526624
91,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.025278077
92,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.026903488
93,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.021759443
94,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.028721157
95,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.028418634
96,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.056302257
97,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.03850128
98,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.062432785
99,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.05408067
100,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.03890707
101,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.0010963662
102,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.02671219
103,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.027207593
104,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.021523843
105,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.011612909
106,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,-0.005807619
107,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.01816567
108,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.009036449
109,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.046547268
110,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,-0.029271549
111,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,-0.0100895455
112,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.028067403
113,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,-0.009801442
114,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.010831886
115,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.017419135
116,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.024359183
117,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.02860228
118,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.08401097
119,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.116887815
120,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.0213101
121,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.015245069
122,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.02216147
123,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.031526063
124,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.0029671933
125,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.008464432
126,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,-0.0062968745
127,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,-0.017241416
128,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,-0.0059131114
129,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.02771861
130,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.03227565
131,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.03805279
132,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.011272807
133,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.011537701
134,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.029320164
135,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.019401293
136,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,0.04316997
137,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,-0.045399122
138,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,-0.026393063
139,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes4,-0.021551792
140,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.022278866
141,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.00127965
142,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,-0.13847902
