ROI,Scan_ID,disease_status,pathology,region,celltype,rel_abundance
148,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Endothelial,0.022867514
149,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Endothelial,0.022359146
150,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Endothelial,0.02615312
151,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Endothelial,0.02296654
152,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Endothelial,0.024053995
153,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Endothelial,0.029962821
154,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Endothelial,0.027803203
155,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Endothelial,0.02151872
156,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Endothelial,0.026979394
157,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Endothelial,0.020141939
158,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Endothelial,0.021580592
159,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Endothelial,0.026174748
160,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Endothelial,0.017303117
161,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Endothelial,0.035374425
162,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Endothelial,0.016504698
163,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Endothelial,0.04127174
164,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Endothelial,0.03098477
165,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Endothelial,0.02489927
166,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Endothelial,0.03194624
167,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Endothelial,0.030277427
184,BRC 2495 BRC 2052,AD-CAA,Amyloid,Arteries,Endothelial,0.023477882
185,BRC 2495 BRC 2052,AD-CAA,Amyloid,Capillaries,Endothelial,0.0229981
186,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Endothelial,0.020737415
187,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Endothelial,0.02543901
188,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Endothelial,0.08377717
189,BRC 2495 BRC 2052,AD-CAA,AmyloidFree,Parenchyma,Endothelial,0.023466635
38,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Endothelial,0.020649856
39,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Endothelial,0.028868904
40,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Endothelial,0.018368429
41,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Endothelial,0.0263754
42,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Endothelial,0.029159993
43,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Endothelial,0.020503817
44,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Endothelial,0.020433085
45,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Endothelial,0.022564547
46,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Endothelial,0.025711576
47,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Endothelial,0.021372534
48,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Endothelial,0.01579924
49,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Endothelial,0.023859125
50,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Endothelial,0.026300024
51,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Endothelial,0.026380759
52,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Endothelial,0.013295947
53,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Endothelial,0.019577522
54,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Endothelial,0.02308401
55,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Endothelial,0.024340803
56,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Endothelial,0.02321696
57,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Endothelial,0.0237978
58,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Endothelial,0.023773072
59,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Endothelial,0.02382991
60,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Endothelial,0.02404384
61,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Endothelial,0.023504246
62,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Endothelial,0.023217725
63,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Endothelial,0.023643073
64,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Endothelial,0.023252027
65,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Endothelial,0.022906192
66,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Endothelial,0.022593271
168,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Endothelial,0.029285457
169,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Endothelial,0.028132044
170,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Endothelial,0.027085174
171,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Endothelial,0.029959684
172,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Endothelial,0.028918067
173,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Endothelial,0.028768403
174,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Endothelial,0.022032002
175,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Endothelial,0.024173746
176,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Endothelial,0.032523874
177,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Endothelial,0.033938218
178,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Endothelial,0.030012162
179,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Endothelial,0.026371015
180,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Endothelial,0.027921436
181,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Endothelial,0.027882138
182,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Endothelial,0.025151415
183,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Endothelial,0.025192318
0,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.029733106
1,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.023310663
2,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.021550884
3,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.023126854
4,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.02968469
5,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.033409473
6,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.037605338
7,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.028048865
8,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.042877503
9,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,Astrocytes5,0.03921322
10,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.03279454
11,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.03743681
12,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.0723909
13,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.06247222
14,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.04637072
15,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.033816606
16,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.022889584
17,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.024496041
18,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.027417373
19,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.109495886
20,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.020537095
21,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.025547052
22,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes5,-0.20508382
23,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.03498066
24,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.03143045
25,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.028611593
26,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.03080881
27,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.04629756
28,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.026507065
29,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.017132437
30,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.057537273
31,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.027633963
32,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.038921848
33,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,-0.11235705
34,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.031367265
35,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.019704163
36,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.06079692
37,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.03112289
67,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.030264635
68,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.03244697
69,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.027830645
70,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.03088558
71,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.033578306
72,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.031990394
73,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.065871805
74,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.028680287
75,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.0253021
76,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.015077259
77,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.027769655
78,BRC 2845 BRC 2497,AD-CAA,Amyloid,Arteries,Astrocytes5,0.022855923
79,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.041372385
80,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.033305183
81,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.022956498
82,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.023999413
83,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.033623666
84,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.031898946
85,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.09199894
86,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.057167724
87,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.077674635
88,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.03157711
89,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.064246625
90,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.09734071
91,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.034241613
92,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.04438182
93,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.02726982
94,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.036049046
95,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.037230175
96,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.04451054
97,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.059287973
98,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.034950446
99,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.009071273
100,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.06701774
101,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.02897402
102,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.05362315
103,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.052561928
104,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.048405062
105,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.036280002
106,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.07005084
107,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.06140203
108,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.049334355
109,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.07952343
110,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.08647348
111,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.08162491
112,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.052864403
113,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.08040833
114,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.06795344
115,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.034662034
116,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.042695608
117,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.060428448
118,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,Astrocytes5,0.038224608
119,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,Astrocytes5,0.004181301
120,BRC 2613 BRC 2509,AD-CAA,Amyloid,Arteries,Astrocytes5,0.058420002
121,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.031798717
122,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.043262642
123,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.06364391
124,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.054315865
125,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.15472174
126,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.077371806
127,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.04147966
128,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.028228777
129,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.03569704
130,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.03775443
131,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.034052342
132,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.0485544
133,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.059006292
134,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.05690458
135,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.044181008
136,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.083246514
137,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.2583006
138,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.099094935
139,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Astrocytes5,0.047617212
140,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.052902143
141,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.07263083
142,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.115012065
143,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.12376065
144,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.058739495
145,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.063003756
146,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.060746904
147,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.019779151
148,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.02093099
149,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.021689326
150,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.02699147
151,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.02325347
152,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.022899041
153,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.028895188
154,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.030142745
155,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.016024165
156,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.020489637
157,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.027192472
158,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.023504643
159,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.023189608
160,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.029996635
161,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.025857575
162,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.045278672
163,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.028616488
164,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Astrocytes5,0.025675526
165,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.016994555
166,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.014868284
167,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.027629314
184,BRC 2495 BRC 2052,AD-CAA,Amyloid,Arteries,Astrocytes5,0.021183461
185,BRC 2495 BRC 2052,AD-CAA,Amyloid,Capillaries,Astrocytes5,0.021913858
186,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.04903356
187,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Astrocytes5,0.03714971
188,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Astrocytes5,-0.2020614
189,BRC 2495 BRC 2052,AD-CAA,AmyloidFree,Parenchyma,Astrocytes5,0.022739684
38,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Astrocytes5,0.034436915
39,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Astrocytes5,0.034378506
40,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Astrocytes5,0.042472232
41,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Astrocytes5,0.051546853
42,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Astrocytes5,0.04009093
43,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Astrocytes5,0.037667304
44,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Astrocytes5,0.031647727
45,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Astrocytes5,0.022978807
46,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Astrocytes5,0.03186188
47,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Astrocytes5,0.028301043
48,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Astrocytes5,0.038784973
49,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Astrocytes5,0.036173474
50,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Astrocytes5,0.027395511
51,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Astrocytes5,0.03441569
52,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Astrocytes5,0.040112387
53,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Astrocytes5,0.03297067
54,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Astrocytes5,0.019832384
55,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Astrocytes5,0.021662144
56,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Astrocytes5,0.022202343
57,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Astrocytes5,0.017848218
58,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Astrocytes5,0.021552326
59,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Astrocytes5,0.02201707
60,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Astrocytes5,0.021713814
61,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Astrocytes5,0.020916276
62,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Astrocytes5,0.022564862
63,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Astrocytes5,0.021976644
64,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Astrocytes5,0.022922758
65,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Astrocytes5,0.022208707
66,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Astrocytes5,0.022870949
168,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Astrocytes5,0.03830882
169,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Astrocytes5,0.03549722
170,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Astrocytes5,0.03317864
171,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Astrocytes5,0.034400675
172,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Astrocytes5,0.03206981
173,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Astrocytes5,0.0410511
174,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Astrocytes5,0.030396037
175,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Astrocytes5,0.040724814
176,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Astrocytes5,0.040282216
177,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Astrocytes5,0.03962707
178,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Astrocytes5,0.032789577
179,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Astrocytes5,0.029352915
180,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Astrocytes5,0.041156184
181,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Astrocytes5,0.034625433
182,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Astrocytes5,0.032048818
183,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Astrocytes5,0.03226173
0,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.017900303
1,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.025362307
2,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.022457121
3,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.02441036
4,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.036465168
5,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.043992247
6,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.045375824
7,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.05398012
8,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.031885885
9,BRC 2534 BRC 2732,AD-CAA,Amyloid,Arteries,ExNeuron12,0.04775619
10,BRC 2534 BRC 2732,AD-CAA,Amyloid,Capillaries,ExNeuron12,-0.0012841639
11,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,ExNeuron12,0.035293285
12,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,ExNeuron12,-0.033672057
13,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,ExNeuron12,-0.024593549
14,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,ExNeuron12,-0.007643067
15,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,ExNeuron12,0.03344325
16,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,ExNeuron12,0.026668105
17,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,ExNeuron12,0.025617061
18,BRC 2534 BRC 2732,AD-CAA,Amyloid,Parenchyma,ExNeuron12,0.03640176
19,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,ExNeuron12,0.33994398
20,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,ExNeuron12,0.052891575
21,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,ExNeuron12,0.092302196
22,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,ExNeuron12,-0.61975074
23,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,ExNeuron12,0.037765417
24,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,ExNeuron12,0.058550503
25,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,ExNeuron12,0.09225596
