"gene","statistic","p.value","p_adj"
"SPANXC",0.446380348777703,1.08209787846765e-10,3.6744109051385e-08
"OR2L5",0.44608292108981,1.11705031417443e-10,3.72536279777173e-08
"PPP1R3B",0.442034405385191,1.71663817225546e-10,5.34332241750715e-08
"MRGPRX1",0.438430281637777,2.5046563183083e-10,6.87896491187144e-08
"ZNF81",0.435202316436816,3.5000126962551e-10,9.33803387360862e-08
"MST1",0.435048353868966,3.55600908938857e-10,9.35380644414378e-08
"IL32",0.433916379080336,3.99519407890862e-10,1.00830060294186e-07
"SYNDIG1",0.433277784338683,4.26566965335415e-10,1.06220861928056e-07
"SYCN",0.432885879620517,4.44035051443899e-10,1.09115771325872e-07
"PITX3",0.432014591452453,4.85387174933297e-10,1.14074217178571e-07
"CTRB1",0.431253526486373,5.24538635877525e-10,1.14074217178571e-07
"PRF1",0.43118879222489,5.28006348607791e-10,1.14074217178571e-07
"OR10Z1",0.428903847752015,6.65674752695274e-10,1.3813490757041e-07
"KRTAP15-1",0.423789841094884,1.11114010270098e-09,2.16915777551485e-07
"ASF1B",0.42375484960219,1.11500935130342e-09,2.16915777551485e-07
"BIK",0.421674605361571,1.36999756684313e-09,2.63773964519198e-07
"C22orf15",0.416427631032205,2.28891688676654e-09,3.99512259600484e-07
"SLC25A47",0.416075966530637,2.36828200785056e-09,4.0953735906127e-07
"NOTUM",0.413448105429367,3.05151050066204e-09,5.13423514507787e-07
"FOSL1",0.412807761113079,3.2448559475206e-09,5.41079729249059e-07
"DEFB119",0.411681035048354,3.61414453318987e-09,5.86937072190036e-07
"FOXE1",0.411175407978935,3.79276247451498e-09,6.05415657897793e-07
"ULBP1",0.410814995604194,3.92525356771133e-09,6.1603391286199e-07
"PTGFRN",0.410661033036343,3.98320390295534e-09,6.16641191734858e-07
"BAAT",0.410629540692919,3.99515871706563e-09,6.16641191734858e-07
"NMRK2",0.409487068456481,4.4530594872702e-09,6.81683106428347e-07
"TNNI1",0.408503807511799,4.8873595143388e-09,7.25733815386714e-07
"CTSE",0.407933446180897,5.15772827929724e-09,7.52544791751213e-07
"GOLGA6L6",0.407566035507617,5.33947610728631e-09,7.62603045186218e-07
"POPDC2",0.407546790186636,5.34916464550196e-09,7.62603045186218e-07
"INSL3",0.407093650356257,5.58225042474403e-09,7.83865480695635e-07
"ZNF480",0.405641503409484,6.39711145312357e-09,8.65742416656057e-07
"AVIL",0.404957419727329,6.81965128060588e-09,9.15108179630749e-07
"AP4B1",0.403797451744545,7.59838751486059e-09,9.85468647413447e-07
"LRP2",0.403711722587446,7.65922640855027e-09,9.86508361421275e-07
"CCDC88C",0.403253334033163,7.99258470010411e-09,1.01087459999739e-06
"VWA1",0.403228839988278,8.01078607836868e-09,1.01087459999739e-06
"ARHGEF19",0.402530759709046,8.54665876726161e-09,1.0712577123314e-06
"FCF1",0.402054875408416,8.93160704630057e-09,1.10097017608335e-06
"HOXD1",0.40159123813023,9.322696625005e-09,1.13058884525061e-06
"UGT2B10",0.401447773010187,9.44702243534628e-09,1.13827478066147e-06
"CCL26",0.399437511754955,1.13664897050381e-08,1.35210548873434e-06
"PHOX2B",0.398987871073845,1.1844625926763e-08,1.39125933212721e-06
"HLA-DOB",0.398861901700149,1.19820177613717e-08,1.39817330195565e-06
"C1R",0.398797167438666,1.20532181203073e-08,1.39817330195565e-06
"TMEM82",0.398335279735114,1.25732089876121e-08,1.44567184470085e-06
"CFI",0.398296789093152,1.26175043203169e-08,1.44567184470085e-06
"LILRB3",0.397840150113504,1.31546192324341e-08,1.49802237063987e-06
"NPW",0.39714906813281,1.4009617689918e-08,1.58571890895096e-06
"OR2T5",0.396744916392202,1.45341850994934e-08,1.63518337902493e-06
"TMEM202",0.396564710204831,1.47741371326215e-08,1.652226258017e-06
"PDZD9",0.39588937439585,1.57077873070683e-08,1.73584991566158e-06
