"gene","statistic","p.value","p_adj"
"FCF1",0.408328850048332,4.96880569733936e-09,2.7293357412797e-06
"PRSS22",0.405447300625035,6.51442642228509e-09,3.47609793893132e-06
"ZNF720",0.40508163952639,6.74097458094665e-09,3.48128719599492e-06
"DNAH12",0.404224347955403,7.3023086385291e-09,3.58889252982025e-06
"VWA1",0.40274595738911,8.37788361286091e-09,3.98590957557407e-06
"DEUP1",0.399579227300363,1.12196882525618e-08,4.87299762336846e-06
"SLC25A47",0.394871121958474,1.72237889729995e-08,6.70148922624455e-06
"BRWD3",0.393796883132788,1.89756294294782e-08,7.23242561683542e-06
"SOX14",0.39082085667922,2.47717954223617e-08,8.63071747423657e-06
"SPATA46",0.390682640283081,2.50787589248452e-08,8.63071747423657e-06
"SERTAD4",0.389240990784116,2.85067117072327e-08,9.02358216685217e-06
"CPSF4L",0.385960538344115,3.80685403529151e-08,1.12852072957308e-05
"OR5H15",0.38525371019171,4.04998526159942e-08,1.17492743367996e-05
"DPPA5",0.384788323338888,4.2181478705085e-08,1.19360802469116e-05
"PGAM5",0.383120978712051,4.87750004466791e-08,1.35958493782415e-05
"ROPN1B",0.382664339732402,5.07470313767169e-08,1.37877317730978e-05
"POTEG",0.380346153341469,6.20000187708443e-08,1.6308624655835e-05
"LEUTX",0.379550096882695,6.63904108624601e-08,1.69977893762794e-05
"SGO2",0.37752758860502,7.89298722328137e-08,1.93959775502635e-05
"MAP3K21",0.375204153490183,9.61455433694352e-08,2.24451770995947e-05
"GPAM",0.374962712190599,9.8128489290744e-08,2.26252798270856e-05
"REG3G",0.374163156582556,1.04979419017388e-07,2.39097027996187e-05
"KCTD4",0.371988435311665,1.26015489443087e-07,2.8017443819513e-05
"AQR",0.370160129818438,1.46777621815632e-07,3.02066683164617e-05
"IMMP2L",0.369698242114886,1.52520598448115e-07,3.07759288814466e-05
"GIPC2",0.368435049228656,1.69348751879691e-07,3.36463541500543e-05
"C4orf46",0.36697065525944,1.91087665127064e-07,3.75658235148743e-05
"IL12A",0.366722215661317,1.95031743403252e-07,3.77273787594992e-05
"TMSB15B",0.366540259899312,1.97969753610565e-07,3.77273787594992e-05
"CHST8",0.366307566472901,2.01788887354795e-07,3.80667602044258e-05
"BAAT",0.365623482790746,2.13429973404135e-07,3.98601818329563e-05
"C12orf54",0.364727700577797,2.29649838355725e-07,4.17593210631228e-05
"DACT2",0.364692709085104,2.30306814601716e-07,4.17593210631228e-05
"ANKRD66",0.364181833291781,2.40106223511114e-07,4.31175368297457e-05
"HOXA13",0.362892396786031,2.66648612249098e-07,4.63141202010076e-05
