"gene","statistic","p.value","p_adj"
"FCF1",0.469621698224619,8.18806014319041e-12,1.16185619548555e-07
"XRCC2",0.465853114461546,1.26110597573783e-11,1.16185619548555e-07
"RPS28",0.462392455834175,1.86633571774291e-11,1.16185619548555e-07
"LYRM2",0.426031046201892,8.88613384407349e-10,2.76595726119861e-06
"C4orf46",0.41868633188556,1.83713764422387e-09,4.90148323478929e-06
"DMRTA2",0.415360390505058,2.53806699808952e-09,5.92511740703998e-06
"KLF2",0.41070477240221,3.96665727473263e-09,8.11344319459443e-06
"GPR4",0.409747755077047,4.34431526804157e-09,8.11344319459443e-06
"VIM",0.407882708516492,5.18246669899316e-09,8.79888618821784e-06
"GOLGA6L6",0.406701745638092,5.79171564759478e-09,9.01384011954001e-06
"CD151",0.400621973782624,1.01943389117923e-08,1.20619808288357e-05
"MAZ",0.400398028229387,1.04066288272836e-08,1.20619808288357e-05
"PTMS",0.399678953054539,1.11174809158215e-08,1.20619808288357e-05
"RPL17",0.398643204870816,1.22242016237181e-08,1.20619808288357e-05
"APBA3",0.398601215079584,1.22712377247739e-08,1.20619808288357e-05
"HSPB1",0.395668927991882,1.60246750114494e-08,1.42512776435157e-05
"CCDC86",0.394857125361396,1.72455786546399e-08,1.46399284979115e-05
"CBLC",0.388976805014281,2.91819675022623e-08,2.27084343780105e-05
"CLDN5",0.383932781342536,4.54496743775843e-08,3.19982781365321e-05
"SERPINH1",0.383365919160904,4.77477843610564e-08,3.19982781365321e-05
"RAX2",0.383357171287731,4.77841097435708e-08,3.19982781365321e-05
"LRRC75B",0.382207700752754,5.27955993954735e-08,3.40003660106849e-05
"TDG",0.381570855585736,5.57857956073569e-08,3.47285172920999e-05
"ZNF117",0.380493117610781,6.12205983601846e-08,3.68824482249938e-05
"ZNF587",0.378729546379037,7.12279172696043e-08,4.15703932164728e-05
"APOM",0.3778949992783,7.64944642017854e-08,4.32912307100771e-05
"RPL6",0.377191670275164,8.12215757608852e-08,4.42134124582509e-05
"SLC36A1",0.373811492080988,1.081359375371e-07,5.60985213734132e-05
"C22orf15",0.371307850778779,1.33391439864767e-07,6.55583823924838e-05
"OR10Z1",0.363768933678,2.48317040815287e-07,0.000113111440347959
"FOXD4L5",0.35840823699738,3.82602620869483e-07,0.000158788589941299
"CCL3",0.357963845040175,3.9642206919505e-07,0.00016094736009319
"ICAM2",0.355143530729091,4.95920222935667e-07,0.000192954293407219
"SPDYE5",0.354707886645059,5.13275723352775e-07,0.000195631375700743
"IFITM3",0.353743871021358,5.53769543365105e-07,0.00019751219954798
"PRAMEF6",0.353698382080857,5.5575390091134e-07,0.00019751219954798
"POPDC2",0.353598656326681,5.60128046213737e-07,0.00019751219954798
"MKNK2",0.353589908453507,5.6051330991877e-07,0.00019751219954798
"HSPA1A",0.351912066378862,6.39284153024638e-07,0.000217077651670694
"NPAP1L",0.350955049053699,6.88843091559248e-07,0.000229729171035009
"KRTAP9-4",0.350012028325613,7.41255815722879e-07,0.000241357081693892
"C5orf38",0.349027017806296,8.00062084612804e-07,0.000249032658203812
"SP7",0.348295695609005,8.46578682496685e-07,0.000259191860234559
"SPANXC",0.34730018764188,9.14066471846168e-07,0.000275340410132243
"OR4C3",0.34490501996702,1.09812986081752e-06,0.000325534496517904
"TIMP3",0.343563096222231,1.21620036314167e-06,0.00035490246846928
"PODXL",0.338426345094849,1.79011017734117e-06,0.00049122382262253
"CTBP2",0.338230392735766,1.81645399885048e-06,0.00049122382262253
"FAM131C",0.337819242696619,1.8729350722278e-06,0.00049122382262253
"USP17L3",0.337705520345366,1.8888506085806e-06,0.00049122382262253
"RRN3",0.337696772472193,1.89008020472465e-06,0.00049122382262253
"EEF2KMT",0.337670528852673,1.89377357190095e-06,0.00049122382262253
"BRD4",0.335131896057771,2.28545986537172e-06,0.000584702033502497
"EEF1G",0.334215118949205,2.44500834561785e-06,0.000617067241388635
"HES7",0.333618513998784,2.55447435363124e-06,0.000636098173712227
"UPK3BL2",0.333287844392832,2.61713993676277e-06,0.000643127703407652
"RPSA",0.331818201699712,2.91379384675887e-06,0.000706727453013879
"KLRC2",0.330904923740416,3.11398123331584e-06,0.000745598891197521
"CWC15",0.329711713839573,3.39530392763843e-06,0.000782848100649078
"RPS24",0.328898161634453,3.60080066221004e-06,0.000820104306919936
"HSPD1",0.328219326676202,3.78126841303601e-06,0.000850830950383861
"TGM2",0.325271293416788,4.66962478167505e-06,0.00102881467481247
"DNAJB1",0.325232802774825,4.6824398885768e-06,0.00102881467481247
"FLAD1",0.324718427832233,4.85693578082337e-06,0.00105474572840299
"KLHL25",0.324123572456447,5.06643620069174e-06,0.00107523593731953
"COL1A2",0.323952114142249,5.12839756007672e-06,0.00107615677339318
"AJM1",0.322839384674601,5.54835080687462e-06,0.00113572952480507
"AHNAK",0.322625936569172,5.63255481766926e-06,0.00113572952480507
"PPT2",0.322568200606228,5.65553897016876e-06,0.00113572952480507
"ZNF845",0.32181938266259,5.96182098864065e-06,0.00118449966791333
"SPDYE11",0.321287511973651,6.18886162316805e-06,0.00121666504920302
"SPATA31A6",0.320960341516969,6.33257304016898e-06,0.00123194931352287
"ANXA1",0.31966390671268,6.93378685911135e-06,0.00133500415856457
"RPL14",0.319485450099944,7.02066678726893e-06,0.00133793849917382
"MRGPRD",0.319137284747646,7.19314954226857e-06,0.0013569622308223
"OR1L8",0.318358724035219,7.59351076604029e-06,0.00141816407066568
"RPL7A",0.31798781421267,7.791593539618e-06,0.00144075050441491
"BAGE3",0.317655395032083,7.97327559203354e-06,0.00145989112702763
"RPL7",0.316988807096275,8.3497703231332e-06,0.00151398359761976
"ZNF692",0.316661636639592,8.5406675905259e-06,0.00152351075339118
"PPP1R3B",0.31661964684836,8.5654652551978e-06,0.00152351075339118
"SLC35E4",0.31349315697621,1.06162827267559e-05,0.00187046883212164
