"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Cap-dependent Translation Initiation R-HSA-72737",4.4221679361572e-23,1.29016749537386e-20,1.24623277191648,-0.652913588354949,-3.21802878091248,115,"RPLP2;PABPC1;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;EIF3G;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;RPL7A;RPS6;FAU;EIF4A1;RPL7;RPS10;EIF5B;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;EIF4B;EIF3B;RSL24D1;RPL21;RPL36A;EIF3A;EIF3J;RPSA;RPL4;RPS29;EIF3F;RPS15A;RPL38"
"Eukaryotic Translation Elongation R-HSA-156842",1.32853387215487e-23,1.29016749537386e-20,1.25451347943706,-0.713153934403845,-3.29392131999209,87,"RPLP2;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;EEF1D;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;EEF1B2;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;RPL7A;RPS6;FAU;RPL7;RPS10;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;RSL24D1;RPL21;RPL36A;EEF1G;RPSA;RPL4;RPS29;RPS15A;RPL38"
"Formation Of A Pool Of Free 40S Subunits R-HSA-72689",3.70421254199264e-23,1.29016749537386e-20,1.24623277191648,-0.689422596279262,-3.27290687294537,97,"RPLP2;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;EIF3G;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;RPL7A;RPS6;FAU;RPL7;RPS10;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;EIF3B;RSL24D1;RPL21;RPL36A;EIF3A;EIF3J;RPSA;RPL4;RPS29;EIF3F;RPS15A;RPL38"
"GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706",4.24264610688993e-23,1.29016749537386e-20,1.24623277191648,-0.664237855533482,-3.21924043673147,108,"RPLP2;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;EIF3G;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;RPL7A;RPS6;FAU;EIF4A1;RPL7;RPS10;EIF5B;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;EIF4B;EIF3B;RSL24D1;RPL21;RPL36A;EIF3A;EIF3J;RPSA;RPL4;RPS29;EIF3F;RPS15A;RPL38"
"L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827",7.51722836794881e-23,1.75452110107925e-20,1.23789667319529,-0.666913016363947,-3.22606757921187,107,"RPLP2;PABPC1;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;EIF3G;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;RPL7A;RPS6;FAU;EIF4A1;RPL7;RPS10;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;EIF4B;EIF3B;RSL24D1;RPL21;RPL36A;EIF3A;EIF3J;RPSA;RPL4;RPS29;EIF3F;RPS15A;RPL38"
"Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956",2.75635559860225e-22,5.36111163928138e-20,1.22105375677186,-0.694100026143163,-3.24415589059432,91,"RPLP2;PABPC1;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;RPL7A;RPS6;FAU;RPL7;RPS10;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;RSL24D1;RPL21;RPL36A;RPSA;RPL4;ETF1;RPS29;RPS15A;RPL38"
"Peptide Chain Elongation R-HSA-156902",7.0535256250593e-22,1.17592348634917e-19,1.21254456769062,-0.715901130246267,-3.26432258109294,83,"RPLP2;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;RPL7A;RPS6;FAU;RPL7;RPS10;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;RSL24D1;RPL21;RPL36A;RPSA;RPL4;RPS29;RPS15A;RPL38"
"SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339",7.11663981095884e-21,1.03813983242362e-18,1.1778932614942,-0.649087929148,-3.12887941723878,106,"RPLP2;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPN1;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;SEC61G;RPS17;RPS20;RPL7A;RPS6;FAU;RPL7;RPS10;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;RSL24D1;RPL21;RPL36A;RPSA;RPL4;RPS29;RPS15A;RPL38;SSR4;SSR3;SRP54;RPL37A;RPS3A;SPCS3;RPS4X"
"Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012",8.92452800379731e-21,1.15721379782572e-18,1.1778932614942,-0.664614638148384,-3.1551356581513,97,"RPLP2;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;DDIT3;RPS7;RPS2;RPS5;RPS9;ATF3;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;CEBPB;RPL7A;RPS6;FAU;RPL7;RPS10;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;RSL24D1;RPL21;RPL36A;RPSA;RPL4;RPS29;RPS15A;RPL38;CEBPG;EIF2S2"
"Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957",1.2661511105521e-20,1.4775983460143e-18,1.1778932614942,-0.631890761545834,-3.05156426637775,111,"RPLP2;PABPC1;RPL8;RPS19;RPS28;RPL29;RPL18;RPS3;RPL12;RPL39;RPS7;RPS2;RPS5;RPS9;RPL34;RPL6;RPL11;RPL22;RPS13;RPS14;RPLP1;RPL32;RPL18A;RPL37;RPS23;RPL28;RPL27A;RPL19;RPL30;RPL36;RPS27;RPS8;RPS27A;RPS16;RPL5;RPS17;RPS20;RPL7A;RPS6;FAU;RPL7;RPS10;RPL15;RPL9;RPL14;RPS12;RPL35;RPLP0;RSL24D1;RBM8A;RPL21;RPL36A;RPSA;RPL4;ETF1;RPS29;RPS15A;CASC3;RPL38;SMG9"
