"gene","statistic","p.value","p_adj"
"CFAP20DC",0.35604281209131,4.61852663538062e-07,4.7393188704598e-05
"SPANXN2",0.355852108456132,4.68884533675378e-07,4.78518445405539e-05
"FRAS1",0.355722639933166,4.73716716337268e-07,4.80822467082327e-05
"GPNMB",0.35552143885018,4.81320864661919e-07,4.85899917212216e-05
"TMEM60",0.354821608996313,5.08689954329511e-07,5.06702585487751e-05
"ZNF675",0.354767372182638,5.10872103358642e-07,5.06702585487751e-05
"ATP13A2",0.354720133667502,5.12779977817439e-07,5.06702585487751e-05
"MRTFA",0.354604661741614,5.174724052874e-07,5.08648139007763e-05
"ADRA2B",0.354380716188377,5.26690200998519e-07,5.13093570542233e-05
"KRTAP1-1",0.354361470867395,5.27489642022429e-07,5.13093570542233e-05
"GIN1",0.354067542328771,5.39844453349118e-07,5.19697680966398e-05
"OTC",0.353813854006745,5.50729911263807e-07,5.24766929732799e-05
"TMEM51",0.353724625700377,5.54608250885669e-07,5.2577988292085e-05
"ZBTB4",0.353516426318851,5.63759545063888e-07,5.31756225435008e-05
"TWNK",0.353430697161753,5.67569544125493e-07,5.32659738999382e-05
"OR52N1",0.353133269473859,5.80979724639555e-07,5.42518866868416e-05
"LHX3",0.352902325622083,5.91600750650574e-07,5.45992653793359e-05
"RIPPLY1",0.35289007859964,5.92169139629052e-07,5.45992653793359e-05
"CCDC69",0.35220774449212,6.24674750720551e-07,5.71883610022402e-05
"PLCH1",0.35160764039243,6.54666783821396e-07,5.92964110188793e-05
"F5",0.351434432503598,6.63576242393755e-07,5.92964110188793e-05
"OR51I2",0.351033779912259,6.84631250938236e-07,6.05015084978957e-05
"GP1BB",0.350993539695661,6.86780884640923e-07,6.05015084978957e-05
"PAEP",0.350760846269251,6.99338447755383e-07,6.13185204238476e-05
"CASP3",0.350613881999939,7.07382290901156e-07,6.17339797423831e-05
"RASD1",0.350382938148163,7.20201535953459e-07,6.2270758729013e-05
"TPBG",0.349861564907032,7.49963312418023e-07,6.42254815239891e-05
"FNDC8",0.349807328093357,7.53125961327565e-07,6.42254815239891e-05
