"gene","statistic","p.value","p_adj"
"C19orf38",0.504896622008774,1.10072128647412e-13,9.78908130770987e-11
"POTEG",0.493669601578116,4.57870702286974e-13,2.94868732272812e-10
"MED18",0.473804931176108,5.03815842549029e-12,2.24030111320135e-09
"HOXC4",0.451639570129512,6.1365690107922e-11,2.15243789189928e-08
"IFNA6",0.448126424263101,8.97318497599575e-11,2.79627399957576e-08
"OXLD1",0.446049679171751,1.12102410546967e-10,3.27128846777367e-08
"LHX9",0.443278352950439,1.50523113440686e-10,4.32487641018192e-08
"C12orf40",0.441605759599697,1.79594386429064e-10,5.01258579082241e-08
"CLDN18",0.441593512577255,1.79826112649979e-10,5.01258579082241e-08
"NEU2",0.440912928044369,1.93169092907084e-10,5.30533232225396e-08
"MOB3A",0.435776176916987,3.29872536098719e-10,8.32526957321578e-08
"PVRIG",0.434827907464997,3.63769864121157e-10,9.05835464310231e-08
"SPANXC",0.433151814964987,4.32107851687916e-10,1.05824808780709e-07
"SPRR2B",0.429810127412773,6.0735360835027e-10,1.40036246784564e-07
"PHOX2B",0.429479457806821,6.28035724271905e-10,1.41315604656652e-07
"TRIM60",0.429309749067258,6.38913389721349e-10,1.42051743648047e-07
"DEUP1",0.428253005987919,7.1086392643653e-10,1.54373194071263e-07
"OR9A2",0.427761375515578,7.46952521050603e-10,1.58551612982907e-07
"ABCC10",0.427759625940943,7.47084062031262e-10,1.58551612982907e-07
"ADGRL4",0.427198012483215,7.90487649258972e-10,1.65878059972591e-07
"CARD17",0.42580535107402,9.08905737178485e-10,1.84507864647233e-07
"KCTD4",0.424218486880377,1.0647830553319e-09,2.11552003631687e-07
"C2orf50",0.42325971998058,1.17117579892609e-09,2.30240833902564e-07
"LST1",0.422801331426297,1.2256066136691e-09,2.38431553300876e-07
"RIBC1",0.421093746582862,1.45072688743021e-09,2.76467095404557e-07
"DMBX1",0.420843557410105,1.48689877842383e-09,2.78650919418472e-07
"ADAMDEC1",0.418311922913742,1.90554420550866e-09,3.38932796019807e-07
"CPSF4L",0.417815043717496,2.00013740322312e-09,3.52395833314002e-07
"TSPAN16",0.417718817112589,2.0189737719318e-09,3.52395833314002e-07
"PAGE4",0.417179948125112,2.12766724125898e-09,3.6792882775697e-07
"CA6",0.41482502066685,2.67272380724131e-09,4.53779907491261e-07
"PERP",0.412792014941367,3.24975629834024e-09,5.46778816466688e-07
"GIPC2",0.412254895528525,3.42125936982637e-09,5.70494999918547e-07
"TRDC",0.412153420199714,3.45462774435932e-09,5.70961307554465e-07
"TENT5D",0.41185599251182,3.55425208515773e-09,5.76554544265676e-07
"SPINK14",0.410853486246156,3.91089366728024e-09,6.1899103378245e-07
"CYLC1",0.410755510066615,3.94754631935350e-09,6.1899103378245e-07
"ZNF286A",0.410718768999287,3.96137638370156e-09,6.1899103378245e-07
"TWNK",0.410540312386551,4.02921910831183e-09,6.21898314601915e-07
"CATSPER3",0.410076675108364,4.21076138659464e-09,6.4459163652493e-07
"COLEC11",0.409976949354188,4.25082935539808e-09,6.45434870255403e-07
"RBP7",0.409110909910028,4.61461525917993e-09,6.89460436643555e-07
"HTR6",0.407573033806156,5.33595720293903e-09,7.84679816709365e-07
"GIMAP5",0.407482055925153,5.38187802890472e-09,7.85249641154879e-07
"C5AR2",0.406234609210636,6.05130737610628e-09,8.59546450368153e-07
"ZNF233",0.406192619419404,6.0751837357355e-09,8.59546450368153e-07
"OR2D3",0.405429804878689,6.52509666993459e-09,9.09423174684316e-07
"ANKRD53",0.405114881444449,6.72006922097088e-09,9.29659353858163e-07
"MRAP",0.404509528620854,7.11075230342451e-09,9.76473603079089e-07
"CCER1",0.404313576261771,7.24184503502574e-09,9.87216772803947e-07
"HAS3",0.403255083607798,7.9912861290185e-09,1.06463708359839e-06
"REEP6",0.403249834883894,7.99518245285179e-09,1.06463708359839e-06
"RIPPLY1",0.403094122741408,8.11161044776779e-09,1.06463708359839e-06
"ENKD1",0.403024139756022,8.16446864979385e-09,1.06463708359839e-06
"THEGL",0.402943659322827,8.2256662823773e-09,1.06463708359839e-06
"WNT4",0.402891172083787,8.26581586644714e-09,1.06463708359839e-06
"TRPV6",0.4026899710008,8.4214806375298e-09,1.06992906385379e-06
"PRB3",0.402369798842656,8.67503564890817e-09,1.09034751436363e-06
"TRIM49",0.40145652088336,9.43939604620056e-09,1.15613800283151e-06
"REG3G",0.401419779816032,9.47146682550981e-09,1.15613800283151e-06
"IGLL1",0.400639469528971,1.01779307560844e-08,1.22634216000408e-06
"B9D1",0.400021869682933,1.07728357059582e-08,1.28602710891937e-06
"OSR2",0.399860908816544,1.09333054667827e-08,1.29234438542806e-06
"TMEM232",0.399203068753909,1.16134203097494e-08,1.34715675593093e-06
"BHLHA9",0.398874148722592,1.19685931029646e-08,1.37978669624053e-06
"OR4D10",0.398730683602549,1.21267672167681e-08,1.38944481313105e-06
"DIAPH3",0.398414010593674,1.2483071227313e-08,1.42154779415425e-06
"BRWD3",0.398293289943882,1.26215386181987e-08,1.42860518323321e-06
"INSYN2A",0.39796262033793,1.3008441512074e-08,1.46352803421382e-06
"OR3A1",0.397785913299829,1.32198596540605e-08,1.4705460668545e-06
"CREB3L4",0.39777891500129,1.32283004514648e-08,1.4705460668545e-06
"TRMT5",0.397026597908383,1.41666198190218e-08,1.55632818670619e-06
"PPP1R14D",0.396132565270069,1.53652092026524e-08,1.6683758550508e-06
"SLC5A4",0.395189544541983,1.67351782600871e-08,1.79624246658269e-06
"CFAP20DC",0.394575443845215,1.76897825518702e-08,1.85618622169626e-06
"ASB11",0.394571944695946,1.76953693148491e-08,1.85618622169626e-06
"PTAFR",0.394549200225695,1.7731724722026e-08,1.85618622169626e-06
"PLN",0.394512459158367,1.77906047164077e-08,1.85618622169626e-06
"OR5B12",0.393852869521098,1.88802373775293e-08,1.95025572912603e-06
"MYOM2",0.393571188004916,1.93649074395519e-08,1.97783427528784e-06
"KIF4A",0.393562440131743,1.93801495169027e-08,1.97783427528784e-06
"LHX3",0.393119797749172,2.01666648924174e-08,2.04097638139326e-06
"MCM2",0.393091804555018,2.0217425067346e-08,2.04097638139326e-06
"RIPPLY3",0.392640414299273,2.10531202473434e-08,2.10392980034249e-06
"CTSE",0.392633416000735,2.10663350109256e-08,2.10392980034249e-06
